entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,reference_model,reference_mean_r,be_mean_r,be_minus_unmanaged_mean_r,reference_win_rate,be_win_rate,reference_drawdown_r,be_drawdown_r,reference_zero_r_outcomes,be_zero_r_outcomes,eligible_identity_set_equal
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_2R_BE1R,NATURAL,0,stop_first,USD025_TARGET_2R,-0.0085291452733313198429477499244941105406221685291452733313198429477499244941105406,-0.0019600120809423135004530353367562669888251283600120809423135004530353367562669888,0.0065691331923890063424947145877378435517970401691331923890063424947145877378435518,0.33192389006342494714587737843551797040169133192389006342494714587737843551797040,0.26608275445484747810329205678042887345212926608275445484747810329205678042887345,136.0000000000,112.1796000000,0,615,True
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_2R_BE1R,NATURAL,0,target_first,USD025_TARGET_2R,0.062144367260646330413772274237390516460283902144367260646330413772274237390516460,0.082908607671398369072787677438840229537903956508607671398369072787677438840229538,0.020764240410752038659015403201449713077620054364240410752038659015403201449713078,0.35548172757475083056478405315614617940199335548172757475083056478405315614617940,0.29749320446994865599516762307459981878586529749320446994865599516762307459981879,107.0800000000,86.1796000000,0,584,True
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_2R_BE1R,NATURAL,0.01,stop_first,USD025_TARGET_2R,-0.048529145273331319842947749924494110540622168529145273331319842947749924494110541,-0.041960012080942313500453035336756266988825128360012080942313500453035336756266989,0.006569133192389006342494714587737843551797040169133192389006342494714587737843552,0.33192389006342494714587737843551797040169133192389006342494714587737843551797040,0.26608275445484747810329205678042887345212926608275445484747810329205678042887345,189.3600000000,171.4896000000,0,0,True
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_2R_BE1R,NATURAL,0.01,target_first,USD025_TARGET_2R,0.022144367260646330413772274237390516460283902144367260646330413772274237390516460,0.042908607671398369072787677438840229537903956508607671398369072787677438840229538,0.020764240410752038659015403201449713077620054364240410752038659015403201449713078,0.35548172757475083056478405315614617940199335548172757475083056478405315614617940,0.29749320446994865599516762307459981878586529749320446994865599516762307459981879,138.4800000000,111.5396000000,0,0,True
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_2R_BE1R,NATURAL,0.02,stop_first,USD025_TARGET_2R,-0.088529145273331319842947749924494110540622168529145273331319842947749924494110541,-0.081960012080942313500453035336756266988825128360012080942313500453035336756266989,0.006569133192389006342494714587737843551797040169133192389006342494714587737843552,0.33192389006342494714587737843551797040169133192389006342494714587737843551797040,0.26608275445484747810329205678042887345212926608275445484747810329205678042887345,310.6400000000,290.9296000000,0,0,True
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_2R_BE1R,NATURAL,0.02,target_first,USD025_TARGET_2R,-0.017855632739353669586227725762609483539716097855632739353669586227725762609483540,0.0029086076713983690727876774388402295379039565086076713983690727876774388402295379,0.020764240410752038659015403201449713077620054364240410752038659015403201449713078,0.35548172757475083056478405315614617940199335548172757475083056478405315614617940,0.29749320446994865599516762307459981878586529749320446994865599516762307459981879,174.9600000000,140.8996000000,0,0,True
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_2R_BE1R,NATURAL,0,stop_first,USD030_TARGET_2R,-0.019007349239907379442263163193395751535286419007349239907379442263163193395751535,0.0066645525017618040873854827343199436222692036645525017618040873854827343199436216,0.025671901741669183529648645927715695157555622671901741669183529648645927715695157,0.32950770160072485653881002718212020537601932950770160072485653881002718212020538,0.26276049531863485351857444880700694654183026276049531863485351857444880700694654,179.78333333333333333333333333333333333333333333333333333333333333333333333333334,105.19600000000000000000000000000000000000000000000000000000000000000000000000000,0,690,True
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_2R_BE1R,NATURAL,0,target_first,USD030_TARGET_2R,0.016329407027081445686096848887546561965166616329407027081445686096848887546561958,0.053780227524413570925198832175576361622873250780227524413570925198832175576361613,0.037450820497332125239101983288029799657706634450820497332125239101983288029799655,0.34128662035638779824826336454243430987617034128662035638779824826336454243430988,0.28088190878888553307157958320749018423437028088190878888553307157958320749018423,146.78333333333333333333333333333333333333333333333333333333333333333333333333335,70.63366666666666666666666666666666666666666666666666666666666666666666666666669,0,666,True
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_2R_BE1R,NATURAL,0.01,stop_first,USD030_TARGET_2R,-0.052340682573240712775596496526729084868619752340682573240712775596496526729084213,-0.026668780831571529245947850599013389711064129668780831571529245947850599013389445,0.025671901741669183529648645927715695157555622671901741669183529648645927715694768,0.32950770160072485653881002718212020537601932950770160072485653881002718212020538,0.26276049531863485351857444880700694654183026276049531863485351857444880700694654,216.28333333333333333333333333333333333333333333333333333333333333333333333333181,140.46266666666666666666666666666666666666666666666666666666666666666666666666624,0,0,True
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_2R_BE1R,NATURAL,0.01,target_first,USD030_TARGET_2R,-0.017003926306251887647236484445786771368166717003926306251887647236484445786771112,0.020446894191080237591865498842243028289539917446894191080237591865498842243029140,0.037450820497332125239101983288029799657706634450820497332125239101983288029800252,0.34128662035638779824826336454243430987617034128662035638779824826336454243430988,0.28088190878888553307157958320749018423437028088190878888553307157958320749018423,177.18333333333333333333333333333333333333333333333333333333333333333333333333308,101.03366666666666666666666666666666666666666666666666666666666666666666666666526,0,0,True
