left_variant,right_variant,exact_pair_count,confirmed_both_count,executable_pair_count,additional_wait_mean_minutes,additional_wait_median_minutes,directional_entry_disadvantage_mean,directional_entry_disadvantage_median,right_worse_pct,right_better_pct,effectively_tied_pct,remaining_mfe_delta_mean_right_minus_left,mae_delta_mean_right_minus_left,left_favorable_025_pct,right_favorable_025_pct,survivor_selection_guard,paired_difference_note,immediate_signals_never_later_momentum,immediate_signals_never_valid_retest,move_gone_by_retest_entry_mean_directional,move_gone_by_retest_entry_median_directional
IMMEDIATE_CLOSE_BACK_1M,IMMEDIATE_CLOSE_BACK_5M,6370,2411,2337,2.062214848610535047698050601,2,0.1869952075310226786478391100,0.054100000000,59.31,18.06,22.64,-0.1724810012836970474967907574,0.1419866495507060333761232349,59.86,46.68,Paired subset is not a valid live filter for the earlier signal; later confirmation is future information.,Positive directional disadvantage means the 5M wait entered worse.,,,,
IMMEDIATE_CLOSE_BACK_1M,MOMENTUM_AWAY_025,6370,3299,3210,2.609578660200060624431645953,2,0.02614915887850467289719626168,0E-12,44.30,39.53,16.17,-0.03968317757009345794392523364,0.001019781931464174454828660436,48.38,45.36,Paired subset is not a valid live filter for the earlier signal; later confirmation is future information.,,57,,,
IMMEDIATE_CLOSE_BACK_1M,ONE_RETEST_HOLD,6370,1045,1031,8.728229665071770334928229665,6,-0.01277070805043646944713870029,-0.015000000000,43.74,54.22,2.04,-0.01973646944713870029097963143,0.04276032977691561590688651794,52.28,44.71,Paired subset is not a valid live filter for the earlier signal; later confirmation is future information.,,,2311,-0.01277070805043646944713870029,-0.015000000000
