variant,executable_paths,mean_mfe_from_entry,median_mfe_from_entry,mean_mae_from_entry,median_mae_from_entry,mean_eod_directional_excursion,median_eod_directional_excursion,censored_30m,same_minute_ambiguity,+0.25_before_-0.25_favorable_first_pct,+0.25_before_-0.25_ambiguous_n,+0.25_before_-0.25_unresolved_n,+0.25_before_-0.25_censored_n,+0.50_before_-0.25_favorable_first_pct,+0.50_before_-0.25_ambiguous_n,+0.50_before_-0.25_unresolved_n,+0.50_before_-0.25_censored_n,+0.50_before_-0.30_favorable_first_pct,+0.50_before_-0.30_ambiguous_n,+0.50_before_-0.30_unresolved_n,+0.50_before_-0.30_censored_n,+0.75_before_-0.30_favorable_first_pct,+0.75_before_-0.30_ambiguous_n,+0.75_before_-0.30_unresolved_n,+0.75_before_-0.30_censored_n,+1.00_before_-0.30_favorable_first_pct,+1.00_before_-0.30_ambiguous_n,+1.00_before_-0.30_unresolved_n,+1.00_before_-0.30_censored_n
IMMEDIATE_CLOSE_BACK_1M,3311,1.082530292962851102385986107,0.760000000000,1.098896526729084868619752341,0.750000000000,-0.007911476895197825430383569918,-0.010000000000,241,211,47.54,206,8,1,32.11,78,49,15,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0
IMMEDIATE_CLOSE_BACK_5M,3233,1.087627961645530467058459635,0.760000000000,1.076396721311475409836065574,0.780000000000,0.002499876275904732446643983916,0E-12,190,185,46.92,176,6,0,33.00,56,46,1,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0
MOMENTUM_AWAY_025,6024,1.112736039176626826029216467,0.780000000000,1.130716666666666666666666667,0.810050000000,-0.009629963479415670650730411687,-0.015000000000,393,468,45.04,452,6,0,30.68,135,72,7,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0
ONE_RETEST_HOLD,1031,1.013322405431619786614936954,0.689900000000,1.012806789524733268671193016,0.710000000000,-0.01540640155189136760426770126,0.020000000000,85,40,44.71,38,2,1,30.16,14,18,5,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0
