variant,metric,draws,seed,sessions,undefined_draws,lower_2_5_pct,upper_97_5_pct
IMMEDIATE_CLOSE_BACK_1M,signal_rate,2000,20260908,170,0,0.5103482260183968,0.5437801491010086
IMMEDIATE_CLOSE_BACK_1M,executable_rate,2000,20260908,170,0,0.503780718336484,0.5363403944485026
IMMEDIATE_CLOSE_BACK_1M,mean_mfe,2000,20260908,170,0,1.004142914762032804517343372,1.165287703537338573834924200
IMMEDIATE_CLOSE_BACK_1M,mean_mae,2000,20260908,170,0,1.010897954122752634841909485,1.183677010192525481313703284
IMMEDIATE_CLOSE_BACK_5M,signal_rate,2000,20260908,170,0,0.5036300505050505,0.5391602144133413
IMMEDIATE_CLOSE_BACK_5M,executable_rate,2000,20260908,170,0,0.4909408773045137,0.5258080893552208
IMMEDIATE_CLOSE_BACK_5M,mean_mfe,2000,20260908,170,0,1.005407916402786573780873971,1.174605703194983577187220066
IMMEDIATE_CLOSE_BACK_5M,mean_mae,2000,20260908,170,0,1.005463850746268656716417910,1.150545787009947337624341720
MOMENTUM_AWAY_025,signal_rate,2000,20260908,170,0,0.9624035989717223,0.9738273783267166
MOMENTUM_AWAY_025,executable_rate,2000,20260908,170,0,0.936753226063406,0.9537903113220717
MOMENTUM_AWAY_025,mean_mfe,2000,20260908,170,0,1.034335164262124109160438032,1.195932573396752501230113170
MOMENTUM_AWAY_025,mean_mae,2000,20260908,170,0,1.048911333694279011008843169,1.210263236956872879987078016
ONE_RETEST_HOLD,signal_rate,2000,20260908,170,0,0.15385750110635787,0.174952057825638
ONE_RETEST_HOLD,executable_rate,2000,20260908,170,0,0.15168452103710603,0.17261989469190267
ONE_RETEST_HOLD,mean_mfe,2000,20260908,170,0,0.9122242484969939879759519038,1.122702264492753623188405797
ONE_RETEST_HOLD,mean_mae,2000,20260908,170,0,0.9250311926605504587155963303,1.107765668662674650698602794
