dimension,category,variant,eligible_interactions,signals,signal_rate_pct,executable_signals,contributing_sessions,mean_mfe_from_entry,mean_mae_from_entry
level_family,1H_HIGH,IMMEDIATE_CLOSE_BACK_1M,2298,1254,54.57,1234,140,0.9987270664505672609400324149,1.075292868719611021069692058
level_family,1H_LOW,IMMEDIATE_CLOSE_BACK_1M,2560,1343,52.46,1324,140,1.162639199395770392749244713,1.183278096676737160120845921
level_family,ORH5,IMMEDIATE_CLOSE_BACK_1M,439,211,48.06,207,154,1.091554589371980676328502415,1.013164734299516908212560386
level_family,ORL5,IMMEDIATE_CLOSE_BACK_1M,422,221,52.37,220,145,1.124240909090909090909090909,1.076815454545454545454545455
level_family,PDH,IMMEDIATE_CLOSE_BACK_1M,233,120,51.50,120,86,0.850937500000,0.9772183333333333333333333333
level_family,PDL,IMMEDIATE_CLOSE_BACK_1M,213,111,52.11,111,66,1.238386486486486486486486486,0.9020396396396396396396396396
level_family,PMH,IMMEDIATE_CLOSE_BACK_1M,3,1,33.33,1,2,1.885000000000,0.360000000000
level_family,PML,IMMEDIATE_CLOSE_BACK_1M,8,4,50.00,4,2,0.798125000000,1.583750000000
level_family,PWH,IMMEDIATE_CLOSE_BACK_1M,104,59,56.73,59,39,0.8737898305084745762711864407,0.6929305084745762711864406780
level_family,PWL,IMMEDIATE_CLOSE_BACK_1M,90,32,35.56,31,34,1.387258064516129032258064516,1.073541935483870967741935484
level_family,1H_HIGH,IMMEDIATE_CLOSE_BACK_5M,2298,1211,52.70,1176,140,1.035779081632653061224489796,1.035295153061224489795918367
level_family,1H_LOW,IMMEDIATE_CLOSE_BACK_5M,2560,1330,51.95,1293,140,1.146068522815158546017014695,1.146159938128383604021655066
level_family,ORH5,IMMEDIATE_CLOSE_BACK_5M,439,218,49.66,212,154,1.016515094339622641509433962,1.150171698113207547169811321
level_family,ORL5,IMMEDIATE_CLOSE_BACK_5M,422,238,56.40,236,145,1.109906355932203389830508475,0.9549012711864406779661016949
level_family,PDH,IMMEDIATE_CLOSE_BACK_5M,233,116,49.79,113,86,0.9075991150442477876106194690,0.9107787610619469026548672566
level_family,PDL,IMMEDIATE_CLOSE_BACK_5M,213,100,46.95,99,66,1.112439393939393939393939394,1.079726262626262626262626263
level_family,PMH,IMMEDIATE_CLOSE_BACK_5M,3,2,66.67,2,2,1.987500000000,0.855000000000
level_family,PML,IMMEDIATE_CLOSE_BACK_5M,8,4,50.00,4,2,1.347500000000,1.795000000000
level_family,PWH,IMMEDIATE_CLOSE_BACK_5M,104,57,54.81,56,39,1.026958928571428571428571429,0.9023053571428571428571428571
level_family,PWL,IMMEDIATE_CLOSE_BACK_5M,90,43,47.78,42,34,1.413200000000,1.001800000000
level_family,1H_HIGH,MOMENTUM_AWAY_025,2298,2213,96.30,2157,140,1.043451089476124246638850255,1.101022114047287899860917942
level_family,1H_LOW,MOMENTUM_AWAY_025,2560,2501,97.70,2437,140,1.181126138695116947066064834,1.196635207221994255231842429
level_family,ORH5,MOMENTUM_AWAY_025,439,419,95.44,411,154,1.065178102189781021897810219,1.094940875912408759124087591
level_family,ORL5,MOMENTUM_AWAY_025,422,409,96.92,404,145,1.147814603960396039603960396,1.078782425742574257425742574
level_family,PDH,MOMENTUM_AWAY_025,233,223,95.71,219,86,0.9572584474885844748858447489,0.9942721461187214611872146119
level_family,PDL,MOMENTUM_AWAY_025,213,207,97.18,204,66,1.194170588235294117647058824,1.051988725490196078431372549
level_family,PMH,MOMENTUM_AWAY_025,3,3,100.00,3,2,1.753333333333333333333333333,0.7883333333333333333333333333
level_family,PML,MOMENTUM_AWAY_025,8,7,87.50,7,2,1.073928571428571428571428571,1.352857142857142857142857143
level_family,PWH,MOMENTUM_AWAY_025,104,98,94.23,95,39,0.9082673684210526315789473684,0.9164947368421052631578947368
level_family,PWL,MOMENTUM_AWAY_025,90,88,97.78,87,34,1.381320689655172413793103448,1.186556321839080459770114943
level_family,1H_HIGH,ONE_RETEST_HOLD,2298,393,17.10,390,140,0.9974361538461538461538461538,0.9305210256410256410256410256
level_family,1H_LOW,ONE_RETEST_HOLD,2560,412,16.09,403,140,1.062861538461538461538461538,1.132582133995037220843672457
level_family,ORH5,ONE_RETEST_HOLD,439,82,18.68,80,154,0.987433750000,0.915008750000
level_family,ORL5,ONE_RETEST_HOLD,422,61,14.45,61,145,0.8590786885245901639344262295,1.232590163934426229508196721
level_family,PDH,ONE_RETEST_HOLD,233,35,15.02,35,86,0.7635714285714285714285714286,0.7895228571428571428571428571
level_family,PDL,ONE_RETEST_HOLD,213,36,16.90,36,66,1.120277777777777777777777778,0.8310833333333333333333333333
level_family,PMH,ONE_RETEST_HOLD,3,1,33.33,1,2,2.175000000000,0.010000000000
level_family,PML,ONE_RETEST_HOLD,8,2,25.00,2,2,1.140000000000,2.085000000000
level_family,PWH,ONE_RETEST_HOLD,104,14,13.46,14,39,0.7956785714285714285714285714,0.5632142857142857142857142857
level_family,PWL,ONE_RETEST_HOLD,90,9,10.00,9,34,1.483788888888888888888888889,0.7626666666666666666666666667
approach_side,ABOVE,IMMEDIATE_CLOSE_BACK_1M,3193,1686,52.80,1667,169,1.103159508098380323935212957,1.154010977804439112177564487
approach_side,BELOW,IMMEDIATE_CLOSE_BACK_1M,3173,1670,52.63,1644,170,1.061612469586374695863746959,1.043011009732360097323600973
approach_side,UNKNOWN,IMMEDIATE_CLOSE_BACK_1M,4,0,0.00,0,4,,
approach_side,ABOVE,IMMEDIATE_CLOSE_BACK_5M,3193,1661,52.02,1625,169,1.102666523076923076923076923,1.085536492307692307692307692
approach_side,BELOW,IMMEDIATE_CLOSE_BACK_5M,3173,1658,52.25,1608,170,1.072430410447761194029850746,1.067160323383084577114427861
approach_side,UNKNOWN,IMMEDIATE_CLOSE_BACK_5M,4,0,0.00,0,4,,
approach_side,ABOVE,MOMENTUM_AWAY_025,3193,3097,96.99,3036,169,1.131478656126482213438735178,1.200894532279314888010540184
approach_side,BELOW,MOMENTUM_AWAY_025,3173,3071,96.79,2988,170,1.093692336010709504685408300,1.059411445783132530120481928
approach_side,UNKNOWN,MOMENTUM_AWAY_025,4,0,0.00,0,4,,
approach_side,ABOVE,ONE_RETEST_HOLD,3193,518,16.22,511,169,1.052495499021526418786692759,1.027148140900195694716242661
approach_side,BELOW,ONE_RETEST_HOLD,3173,527,16.61,520,170,0.9748273076923076923076923077,0.9987136538461538461538461538
approach_side,UNKNOWN,ONE_RETEST_HOLD,4,0,0.00,0,4,,
creation_first_touch,True,IMMEDIATE_CLOSE_BACK_1M,737,359,48.71,351,170,1.278500569800569800569800570,1.184901994301994301994301994
creation_first_touch,False,IMMEDIATE_CLOSE_BACK_1M,5633,2997,53.20,2960,168,1.059291925675675675675675676,1.088697905405405405405405405
creation_first_touch,UNKNOWN,IMMEDIATE_CLOSE_BACK_1M,0,0,,0,0,,
creation_first_touch,True,IMMEDIATE_CLOSE_BACK_5M,737,361,48.98,353,170,1.194407082152974504249291785,1.182305949008498583569405099
creation_first_touch,False,IMMEDIATE_CLOSE_BACK_5M,5633,2958,52.51,2880,168,1.074540104166666666666666667,1.063415486111111111111111111
creation_first_touch,UNKNOWN,IMMEDIATE_CLOSE_BACK_5M,0,0,,0,0,,
creation_first_touch,True,MOMENTUM_AWAY_025,737,720,97.69,710,170,1.256483098591549295774647887,1.251002676056338028169014085
creation_first_touch,False,MOMENTUM_AWAY_025,5633,5448,96.72,5314,168,1.093530090327436958976289048,1.114645333082423786225065864
creation_first_touch,UNKNOWN,MOMENTUM_AWAY_025,0,0,,0,0,,
creation_first_touch,True,ONE_RETEST_HOLD,737,100,13.57,99,170,1.004479797979797979797979798,1.059771717171717171717171717
creation_first_touch,False,ONE_RETEST_HOLD,5633,945,16.78,932,168,1.014261695278969957081545064,1.007818025751072961373390558
creation_first_touch,UNKNOWN,ONE_RETEST_HOLD,0,0,,0,0,,
same_session_touch,1,IMMEDIATE_CLOSE_BACK_1M,2362,1210,51.23,1195,170,1.313622928870292887029288703,1.322295481171548117154811715
same_session_touch,REPEATED,IMMEDIATE_CLOSE_BACK_1M,4008,2146,53.54,2116,168,0.9520219281663516068052930057,0.9727331285444234404536862004
same_session_touch,UNKNOWN,IMMEDIATE_CLOSE_BACK_1M,0,0,,0,0,,
same_session_touch,1,IMMEDIATE_CLOSE_BACK_5M,2362,1215,51.44,1194,170,1.304194472361809045226130653,1.249250083752093802345058626
same_session_touch,REPEATED,IMMEDIATE_CLOSE_BACK_5M,4008,2104,52.50,2039,168,0.9608106915154487493869543894,0.9751770475723393820500245218
same_session_touch,UNKNOWN,IMMEDIATE_CLOSE_BACK_5M,0,0,,0,0,,
same_session_touch,1,MOMENTUM_AWAY_025,2362,2317,98.09,2288,170,1.330775393356643356643356643,1.333245323426573426573426573
same_session_touch,REPEATED,MOMENTUM_AWAY_025,4008,3851,96.08,3736,168,0.9792044432548179871520342612,1.006684127408993576017130621
same_session_touch,UNKNOWN,MOMENTUM_AWAY_025,0,0,,0,0,,
same_session_touch,1,ONE_RETEST_HOLD,2362,345,14.61,343,170,1.175302915451895043731778426,1.235816909620991253644314869
same_session_touch,REPEATED,ONE_RETEST_HOLD,4008,700,17.47,688,168,0.9325675872093023255813953488,0.9016258720930232558139534884
same_session_touch,UNKNOWN,ONE_RETEST_HOLD,0,0,,0,0,,
breach_history,NEVER_BREACHED,IMMEDIATE_CLOSE_BACK_1M,637,308,48.35,300,170,1.313869666666666666666666667,1.149806333333333333333333333
breach_history,PENETRATED_NO_CLOSE_THROUGH,IMMEDIATE_CLOSE_BACK_1M,48,21,43.75,20,37,1.343475000000,1.079945000000
breach_history,COMPLETED_CLOSE_THROUGH,IMMEDIATE_CLOSE_BACK_1M,5685,3027,53.25,2991,168,1.057581878970244065529923103,1.093916950852557673019057172
breach_history,UNKNOWN,IMMEDIATE_CLOSE_BACK_1M,0,0,,0,0,,
breach_history,NEVER_BREACHED,IMMEDIATE_CLOSE_BACK_5M,637,309,48.51,301,170,1.204632890365448504983388704,1.138263787375415282392026578
breach_history,PENETRATED_NO_CLOSE_THROUGH,IMMEDIATE_CLOSE_BACK_5M,48,25,52.08,24,37,1.626954166666666666666666667,1.046170833333333333333333333
breach_history,COMPLETED_CLOSE_THROUGH,IMMEDIATE_CLOSE_BACK_5M,5685,2985,52.51,2908,168,1.071065955983493810178817056,1.070242469050894085281980743
breach_history,UNKNOWN,IMMEDIATE_CLOSE_BACK_5M,0,0,,0,0,,
breach_history,NEVER_BREACHED,MOMENTUM_AWAY_025,637,620,97.33,610,170,1.260947213114754098360655738,1.230313770491803278688524590
breach_history,PENETRATED_NO_CLOSE_THROUGH,MOMENTUM_AWAY_025,48,47,97.92,46,37,1.330345652173913043478260870,0.939750000000
breach_history,COMPLETED_CLOSE_THROUGH,MOMENTUM_AWAY_025,5685,5501,96.76,5368,168,1.094029098360655737704918033,1.121035264530551415797317437
breach_history,UNKNOWN,MOMENTUM_AWAY_025,0,0,,0,0,,
breach_history,NEVER_BREACHED,ONE_RETEST_HOLD,637,80,12.56,79,170,1.056056962025316455696202532,0.9867772151898734177215189873
breach_history,PENETRATED_NO_CLOSE_THROUGH,ONE_RETEST_HOLD,48,5,10.42,5,37,1.142020000000,0.517000000000
breach_history,COMPLETED_CLOSE_THROUGH,ONE_RETEST_HOLD,5685,960,16.89,947,168,1.009077930306230200633579725,1.017595987328405491024287223
breach_history,UNKNOWN,ONE_RETEST_HOLD,0,0,,0,0,,
time_of_day,09:30-10:00,IMMEDIATE_CLOSE_BACK_1M,1080,558,51.67,558,170,1.587707706093189964157706093,1.568100537634408602150537634
time_of_day,10:00-11:00,IMMEDIATE_CLOSE_BACK_1M,1324,660,49.85,660,160,1.265243181818181818181818182,1.270259848484848484848484848
time_of_day,11:00-12:00,IMMEDIATE_CLOSE_BACK_1M,906,475,52.43,475,152,0.9560892631578947368421052632,1.044691789473684210526315789
time_of_day,12:00-14:00,IMMEDIATE_CLOSE_BACK_1M,1471,758,51.53,758,156,0.8967542216358839050131926121,0.8445353562005277044854881266
time_of_day,14:00-15:00,IMMEDIATE_CLOSE_BACK_1M,714,417,58.40,417,139,0.9668889688249400479616306954,0.8926604316546762589928057554
time_of_day,15:00-close,IMMEDIATE_CLOSE_BACK_1M,875,488,55.77,443,141,0.7363015801354401805869074492,0.9400654627539503386004514673
time_of_day,09:30-10:00,IMMEDIATE_CLOSE_BACK_5M,1080,549,50.83,549,170,1.535863023679417122040072860,1.514201275045537340619307832
time_of_day,10:00-11:00,IMMEDIATE_CLOSE_BACK_5M,1324,683,51.59,683,160,1.307286090775988286969253294,1.232100585651537335285505124
time_of_day,11:00-12:00,IMMEDIATE_CLOSE_BACK_5M,906,484,53.42,484,152,0.9200225206611570247933884298,1.029738016528925619834710744
time_of_day,12:00-14:00,IMMEDIATE_CLOSE_BACK_5M,1471,759,51.60,759,156,0.8756989459815546772068511199,0.8170267457180500658761528327
time_of_day,14:00-15:00,IMMEDIATE_CLOSE_BACK_5M,714,388,54.34,388,139,0.9045569587628865979381443299,0.8985644329896907216494845361
time_of_day,15:00-close,IMMEDIATE_CLOSE_BACK_5M,875,456,52.11,370,141,0.8630310810810810810810810811,0.9189456756756756756756756757
time_of_day,09:30-10:00,MOMENTUM_AWAY_025,1080,1060,98.15,1060,170,1.521936132075471698113207547,1.545749905660377358490566038
time_of_day,10:00-11:00,MOMENTUM_AWAY_025,1324,1309,98.87,1309,160,1.275205347593582887700534759,1.335833842627960275019098549
time_of_day,11:00-12:00,MOMENTUM_AWAY_025,906,885,97.68,885,152,0.9730737853107344632768361582,1.033179661016949152542372881
time_of_day,12:00-14:00,MOMENTUM_AWAY_025,1471,1398,95.04,1398,156,0.9329673104434907010014306152,0.8540394849785407725321888412
time_of_day,14:00-15:00,MOMENTUM_AWAY_025,714,681,95.38,681,139,1.002167400881057268722466960,0.9432925110132158590308370044
time_of_day,15:00-close,MOMENTUM_AWAY_025,875,835,95.43,691,141,0.8287861070911722141823444284,0.9748804630969609261939218524
time_of_day,09:30-10:00,ONE_RETEST_HOLD,1080,158,14.63,158,170,1.439305063291139240506329114,1.563001265822784810126582278
time_of_day,10:00-11:00,ONE_RETEST_HOLD,1324,188,14.20,188,160,1.200112234042553191489361702,1.248941489361702127659574468
time_of_day,11:00-12:00,ONE_RETEST_HOLD,906,154,17.00,154,152,0.8598383116883116883116883117,1.021492857142857142857142857
time_of_day,12:00-14:00,ONE_RETEST_HOLD,1471,255,17.34,255,156,0.9077349019607843137254901961,0.7689003921568627450980392157
time_of_day,14:00-15:00,ONE_RETEST_HOLD,714,146,20.45,146,139,0.8762534246575342465753424658,0.7513075342465753424657534247
time_of_day,15:00-close,ONE_RETEST_HOLD,875,144,16.46,130,141,0.7683353846153846153846153846,0.7644476923076923076923076923
confluence,ISOLATED,IMMEDIATE_CLOSE_BACK_1M,2003,1038,51.82,1023,167,1.173864516129032258064516129,1.099154252199413489736070381
confluence,TWO_IDENTITIES,IMMEDIATE_CLOSE_BACK_1M,2019,1060,52.50,1050,144,1.060799809523809523809523810,1.081408857142857142857142857
confluence,THREE_PLUS_IDENTITIES,IMMEDIATE_CLOSE_BACK_1M,2348,1258,53.58,1238,104,1.025488368336025848142164782,1.113515589660743134087237480
confluence,ISOLATED,IMMEDIATE_CLOSE_BACK_5M,2003,1053,52.57,1029,167,1.144999805636540330417881438,1.099862585034013605442176871
confluence,TWO_IDENTITIES,IMMEDIATE_CLOSE_BACK_5M,2019,1048,51.91,1023,144,1.065638807429130009775171065,1.083398924731182795698924731
confluence,THREE_PLUS_IDENTITIES,IMMEDIATE_CLOSE_BACK_5M,2348,1218,51.87,1181,104,1.056687468247248094834885690,1.049885605419136325148179509
confluence,ISOLATED,MOMENTUM_AWAY_025,2003,1947,97.20,1905,167,1.184993070866141732283464567,1.131643884514435695538057743
confluence,TWO_IDENTITIES,MOMENTUM_AWAY_025,2019,1943,96.24,1906,144,1.112632528856243441762854145,1.130742654774396642182581322
confluence,THREE_PLUS_IDENTITIES,MOMENTUM_AWAY_025,2348,2278,97.02,2213,104,1.050624717577948486217803886,1.129896113872571170356981473
confluence,ISOLATED,ONE_RETEST_HOLD,2003,338,16.87,332,167,1.187947289156626506024096386,1.059452409638554216867469880
confluence,TWO_IDENTITIES,ONE_RETEST_HOLD,2019,324,16.05,322,144,0.9855583850931677018633540373,0.9877055900621118012422360248
confluence,THREE_PLUS_IDENTITIES,ONE_RETEST_HOLD,2348,383,16.31,377,104,0.8832549071618037135278514589,0.9931681697612732095490716180
