variant,family,approach_side,episodes,valid_next_level,no_next_level,next_distance_mean,next_distance_median,reached_before_signal,reached_first,invalidated_first,ambiguous,censored
IMMEDIATE_CLOSE_BACK_5M,PDH,BELOW,108,108,0,0.6336092592592592592592592593,0.305000000000,28,5,50,52,1
IMMEDIATE_CLOSE_BACK_5M,PDH,UNKNOWN,0,0,0,,,0,0,0,0,0
IMMEDIATE_CLOSE_BACK_5M,PDL,ABOVE,123,123,0,0.7326024390243902439024390244,0.450000000000,28,12,64,45,0
IMMEDIATE_CLOSE_BACK_5M,PDL,BELOW,90,86,4,0.8512209302325581395348837209,0.380100000000,20,7,39,39,0
IMMEDIATE_CLOSE_BACK_5M,PDL,UNKNOWN,0,0,0,,,0,0,0,0,0
IMMEDIATE_CLOSE_BACK_5M,PMH,ABOVE,1,1,0,0.160000000000,0.160000000000,1,0,0,1,0
IMMEDIATE_CLOSE_BACK_5M,PMH,BELOW,2,2,0,0.110000000000,0.110000000000,1,0,0,2,0
IMMEDIATE_CLOSE_BACK_5M,PMH,UNKNOWN,0,0,0,,,0,0,0,0,0
IMMEDIATE_CLOSE_BACK_5M,PML,ABOVE,5,5,0,1.008000000000,0.700000000000,1,0,3,2,0
IMMEDIATE_CLOSE_BACK_5M,PML,BELOW,3,2,1,0.240000000000,0.240000000000,0,0,1,1,0
IMMEDIATE_CLOSE_BACK_5M,PML,UNKNOWN,0,0,0,,,0,0,0,0,0
IMMEDIATE_CLOSE_BACK_5M,PWH,ABOVE,52,46,6,0.5608695652173913043478260870,0.420000000000,14,4,21,21,0
IMMEDIATE_CLOSE_BACK_5M,PWH,BELOW,52,52,0,0.6976403846153846153846153846,0.580000000000,12,7,27,18,0
IMMEDIATE_CLOSE_BACK_5M,PWH,UNKNOWN,0,0,0,,,0,0,0,0,0
IMMEDIATE_CLOSE_BACK_5M,PWL,ABOVE,50,50,0,0.406120000000,0.307500000000,19,1,13,35,1
IMMEDIATE_CLOSE_BACK_5M,PWL,BELOW,40,39,1,1.096666666666666666666666667,1.300000000000,6,6,23,10,0
IMMEDIATE_CLOSE_BACK_5M,PWL,UNKNOWN,0,0,0,,,0,0,0,0,0
MOMENTUM_AWAY_025,1H_HIGH,ABOVE,1127,1113,14,0.5028625336927223719676549865,0.325000000000,644,89,433,583,4
MOMENTUM_AWAY_025,1H_HIGH,BELOW,1170,1170,0,0.4478137606837606837606837607,0.280000000000,712,90,419,652,5
MOMENTUM_AWAY_025,1H_HIGH,UNKNOWN,1,0,1,,,0,0,0,0,0
MOMENTUM_AWAY_025,1H_LOW,ABOVE,1246,1246,0,0.4639196629213483146067415730,0.269700000000,834,98,382,761,2
MOMENTUM_AWAY_025,1H_LOW,BELOW,1313,1310,3,0.4775739694656488549618320611,0.255000000000,831,100,432,774,1
MOMENTUM_AWAY_025,1H_LOW,UNKNOWN,1,0,1,,,0,0,0,0,0
MOMENTUM_AWAY_025,ORH5,ABOVE,162,149,13,0.8975771812080536912751677852,0.590000000000,57,12,84,49,1
MOMENTUM_AWAY_025,ORH5,BELOW,275,275,0,0.6680090909090909090909090909,0.600000000000,112,19,159,97,0
MOMENTUM_AWAY_025,ORH5,UNKNOWN,2,0,2,,,0,0,0,0,0
MOMENTUM_AWAY_025,ORL5,ABOVE,302,302,0,0.7308089403973509933774834437,0.660000000000,125,30,165,106,0
MOMENTUM_AWAY_025,ORL5,BELOW,120,116,4,0.8154103448275862068965517241,0.420000000000,48,15,56,41,0
MOMENTUM_AWAY_025,ORL5,UNKNOWN,0,0,0,,,0,0,0,0,0
MOMENTUM_AWAY_025,PDH,ABOVE,125,116,9,0.8031681034482758620689655172,0.360000000000,62,10,54,50,0
MOMENTUM_AWAY_025,PDH,BELOW,108,108,0,0.6336092592592592592592592593,0.305000000000,56,5,50,52,1
MOMENTUM_AWAY_025,PDH,UNKNOWN,0,0,0,,,0,0,0,0,0
MOMENTUM_AWAY_025,PDL,ABOVE,123,123,0,0.7326024390243902439024390244,0.450000000000,56,12,64,45,0
MOMENTUM_AWAY_025,PDL,BELOW,90,86,4,0.8512209302325581395348837209,0.380100000000,40,7,39,39,0
MOMENTUM_AWAY_025,PDL,UNKNOWN,0,0,0,,,0,0,0,0,0
MOMENTUM_AWAY_025,PMH,ABOVE,1,1,0,0.160000000000,0.160000000000,1,0,0,1,0
MOMENTUM_AWAY_025,PMH,BELOW,2,2,0,0.110000000000,0.110000000000,2,0,0,2,0
MOMENTUM_AWAY_025,PMH,UNKNOWN,0,0,0,,,0,0,0,0,0
MOMENTUM_AWAY_025,PML,ABOVE,5,5,0,1.008000000000,0.700000000000,2,0,3,2,0
MOMENTUM_AWAY_025,PML,BELOW,3,2,1,0.240000000000,0.240000000000,2,0,1,1,0
MOMENTUM_AWAY_025,PML,UNKNOWN,0,0,0,,,0,0,0,0,0
MOMENTUM_AWAY_025,PWH,ABOVE,52,46,6,0.5608695652173913043478260870,0.420000000000,23,4,21,21,0
MOMENTUM_AWAY_025,PWH,BELOW,52,52,0,0.6976403846153846153846153846,0.580000000000,21,7,27,18,0
MOMENTUM_AWAY_025,PWH,UNKNOWN,0,0,0,,,0,0,0,0,0
MOMENTUM_AWAY_025,PWL,ABOVE,50,50,0,0.406120000000,0.307500000000,37,1,13,35,1
MOMENTUM_AWAY_025,PWL,BELOW,40,39,1,1.096666666666666666666666667,1.300000000000,11,6,23,10,0
MOMENTUM_AWAY_025,PWL,UNKNOWN,0,0,0,,,0,0,0,0,0
ONE_RETEST_HOLD,1H_HIGH,ABOVE,1127,1113,14,0.5028625336927223719676549865,0.325000000000,124,89,433,583,4
ONE_RETEST_HOLD,1H_HIGH,BELOW,1170,1170,0,0.4478137606837606837606837607,0.280000000000,154,90,419,652,5
ONE_RETEST_HOLD,1H_HIGH,UNKNOWN,1,0,1,,,0,0,0,0,0
ONE_RETEST_HOLD,1H_LOW,ABOVE,1246,1246,0,0.4639196629213483146067415730,0.269700000000,153,98,382,761,2
ONE_RETEST_HOLD,1H_LOW,BELOW,1313,1310,3,0.4775739694656488549618320611,0.255000000000,157,100,432,774,1
ONE_RETEST_HOLD,1H_LOW,UNKNOWN,1,0,1,,,0,0,0,0,0
ONE_RETEST_HOLD,ORH5,ABOVE,162,149,13,0.8975771812080536912751677852,0.590000000000,19,12,84,49,1
ONE_RETEST_HOLD,ORH5,BELOW,275,275,0,0.6680090909090909090909090909,0.600000000000,29,19,159,97,0
ONE_RETEST_HOLD,ORH5,UNKNOWN,2,0,2,,,0,0,0,0,0
ONE_RETEST_HOLD,ORL5,ABOVE,302,302,0,0.7308089403973509933774834437,0.660000000000,22,30,165,106,0
ONE_RETEST_HOLD,ORL5,BELOW,120,116,4,0.8154103448275862068965517241,0.420000000000,8,15,56,41,0
ONE_RETEST_HOLD,ORL5,UNKNOWN,0,0,0,,,0,0,0,0,0
ONE_RETEST_HOLD,PDH,ABOVE,125,116,9,0.8031681034482758620689655172,0.360000000000,9,10,54,50,0
ONE_RETEST_HOLD,PDH,BELOW,108,108,0,0.6336092592592592592592592593,0.305000000000,7,5,50,52,1
ONE_RETEST_HOLD,PDH,UNKNOWN,0,0,0,,,0,0,0,0,0
ONE_RETEST_HOLD,PDL,ABOVE,123,123,0,0.7326024390243902439024390244,0.450000000000,12,12,64,45,0
ONE_RETEST_HOLD,PDL,BELOW,90,86,4,0.8512209302325581395348837209,0.380100000000,11,7,39,39,0
ONE_RETEST_HOLD,PDL,UNKNOWN,0,0,0,,,0,0,0,0,0
ONE_RETEST_HOLD,PMH,ABOVE,1,1,0,0.160000000000,0.160000000000,0,0,0,1,0
ONE_RETEST_HOLD,PMH,BELOW,2,2,0,0.110000000000,0.110000000000,1,0,0,2,0
ONE_RETEST_HOLD,PMH,UNKNOWN,0,0,0,,,0,0,0,0,0
ONE_RETEST_HOLD,PML,ABOVE,5,5,0,1.008000000000,0.700000000000,1,0,3,2,0
ONE_RETEST_HOLD,PML,BELOW,3,2,1,0.240000000000,0.240000000000,0,0,1,1,0
ONE_RETEST_HOLD,PML,UNKNOWN,0,0,0,,,0,0,0,0,0
ONE_RETEST_HOLD,PWH,ABOVE,52,46,6,0.5608695652173913043478260870,0.420000000000,2,4,21,21,0
ONE_RETEST_HOLD,PWH,BELOW,52,52,0,0.6976403846153846153846153846,0.580000000000,4,7,27,18,0
ONE_RETEST_HOLD,PWH,UNKNOWN,0,0,0,,,0,0,0,0,0
ONE_RETEST_HOLD,PWL,ABOVE,50,50,0,0.406120000000,0.307500000000,4,1,13,35,1
ONE_RETEST_HOLD,PWL,BELOW,40,39,1,1.096666666666666666666666667,1.300000000000,0,6,23,10,0
ONE_RETEST_HOLD,PWL,UNKNOWN,0,0,0,,,0,0,0,0,0
