family,distance,horizon,draws,seed,contributing_sessions,resampling_sessions,undefined_draws,REJECTION_FIRST_lower_pct,REJECTION_FIRST_upper_pct,CONTINUATION_FIRST_lower_pct,CONTINUATION_FIRST_upper_pct,AMBIGUOUS_lower_pct,AMBIGUOUS_upper_pct,UNRESOLVED_lower_pct,UNRESOLVED_upper_pct,CENSORED_lower_pct,CENSORED_upper_pct
PDH,0.25,5,2000,20260907,86,170,0,12.931034482758620689655172413793103448275862068966,21.660649819494584837545126353790613718411552346570,6.7226890756302521008403361344537815126050420168067,14.859437751004016064257028112449799196787148594378,53.9062500,67.692307692307692307692307692307692307692307692308,6.2271062271062271062271062271062271062271062271062,15.675675675675675675675675675675675675675675675676,0,1.500
PDH,0.25,15,2000,20260907,86,170,0,16.731517509727626459143968871595330739299610894942,26.339285714285714285714285714285714285714285714286,10.526315789473684210526315789473684210526315789474,21.145374449339207048458149779735682819383259911894,53.9062500,67.692307692307692307692307692307692307692307692308,0,4.0909090909090909090909090909090909090909090909091,0,1.500
PDH,0.25,30,2000,20260907,86,170,0,17.241379310344827586206896551724137931034482758621,27.272727272727272727272727272727272727272727272727,10.958904109589041095890410958904109589041095890411,21.395348837209302325581395348837209302325581395349,53.9062500,67.692307692307692307692307692307692307692307692308,0,1.500,0,1.500
PDH,0.50,5,2000,20260907,86,170,0,15.246636771300448430493273542600896860986547085202,25.423728813559322033898305084745762711864406779661,11.162790697674418604651162790697674418604651162791,20.087336244541484716157205240174672489082969432314,20.737327188940092165898617511520737327188940092166,35.576923076923076923076923076923076923076923076923,28.054298642533936651583710407239819004524886877828,42.647058823529411764705882352941176470588235294118,0,2.2935779816513761467889908256880733944954128440367
PDH,0.50,15,2000,20260907,86,170,0,20.547945205479452054794520547945205479452054794521,31.330472103004291845493562231759656652360515021459,23.979591836734693877551020408163265306122448979592,34.913793103448275862068965517241379310344827586207,20.737327188940092165898617511520737327188940092166,35.576923076923076923076923076923076923076923076923,9.8039215686274509803921568627450980392156862745098,21.126760563380281690140845070422535211267605633803,0.38461538461538461538461538461538461538461538461538,3.6585365853658536585365853658536585365853658536585
PDH,0.50,30,2000,20260907,86,170,0,25.974025974025974025974025974025974025974025974026,37.435897435897435897435897435897435897435897435897,26.511627906976744186046511627906976744186046511628,39.45312500,20.737327188940092165898617511520737327188940092166,35.576923076923076923076923076923076923076923076923,2.3346303501945525291828793774319066147859922178988,10.162601626016260162601626016260162601626016260163,0.38461538461538461538461538461538461538461538461538,3.6585365853658536585365853658536585365853658536585
PDH,1.00,5,2000,20260907,86,170,0,3.1674208144796380090497737556561085972850678733032,9.4827586206896551724137931034482758620689655172414,4.0540540540540540540540540540540540540540540540541,10.859728506787330316742081447963800904977375565611,4.2735042735042735042735042735042735042735042735043,12.89062500,70.558375634517766497461928934010152284263959390863,83.739837398373983739837398373983739837398373983740,0,2.2935779816513761467889908256880733944954128440367
PDH,1.00,15,2000,20260907,86,170,0,13.574660633484162895927601809954751131221719457014,23.348017621145374449339207048458149779735682819383,16.528925619834710743801652892561983471074380165289,27.196652719665271966527196652719665271966527196653,4.2735042735042735042735042735042735042735042735043,12.89062500,40.090090090090090090090090090090090090090090090090,56.164383561643835616438356164383561643835616438356,1.3888888888888888888888888888888888888888888888889,5.6872037914691943127962085308056872037914691943128
PDH,1.00,30,2000,20260907,86,170,0,22.695035460992907801418439716312056737588652482270,34.199134199134199134199134199134199134199134199134,26.696832579185520361990950226244343891402714932127,36.974789915966386554621848739495798319327731092437,4.2735042735042735042735042735042735042735042735043,12.89062500,20.434782608695652173913043478260869565217391304348,34.939759036144578313253012048192771084337349397590,1.7021276595744680851063829787234042553191489361702,6.400
PDL,0.25,5,2000,20260907,66,170,0,17.187500,30.841121495327102803738317757009345794392523364486,7.8703703703703703703703703703703703703703703703704,17.045454545454545454545454545454545454545454545455,53.636363636363636363636363636363636363636363636364,69.565217391304347826086956521739130434782608695652,0.40983606557377049180327868852459016393442622950820,4.9450549450549450549450549450549450549450549450549,0,0
