family,breach_history,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
PDH,PENETRATED_NO_CLOSE_THROUGH,1.00,5,1,1,0,0,0,1,0,0.00,0.00,0.00,100.00,0.00,0,0.260000000000,0.540000000000,0.780000000000,0.540000000000,0,,0,0,
PDH,PENETRATED_NO_CLOSE_THROUGH,1.00,15,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.210000000000,1.150000000000,1.210000000000,1.150000000000,1,100.00,1,0,180
PDH,PENETRATED_NO_CLOSE_THROUGH,1.00,30,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.210000000000,1.200000000000,1.210000000000,1.200000000000,1,100.00,1,0,180
PDH,COMPLETED_CLOSE_THROUGH,0.25,5,63,168,31,18,97,21,1,18.45,10.71,57.74,12.50,0.60,2,0.277500000000,0.294800000000,0.412500000000,0.299800000000,8,25.81,8,0,90
PDH,COMPLETED_CLOSE_THROUGH,0.25,15,63,168,38,28,97,4,1,22.62,16.67,57.74,2.38,0.60,8,0.422500000000,0.495000000000,0.510000000000,0.495000000000,19,50.00,12,7,180
PDH,COMPLETED_CLOSE_THROUGH,0.25,30,63,168,40,29,97,1,1,23.81,17.26,57.74,0.60,0.60,13,0.565000000000,0.605000000000,0.617500000000,0.605000000000,21,52.50,13,8,180
PDH,COMPLETED_CLOSE_THROUGH,0.50,5,63,168,36,28,37,65,2,21.43,16.67,22.02,38.69,1.19,2,0.277500000000,0.294800000000,0.412500000000,0.299800000000,6,16.67,6,0,60
PDH,COMPLETED_CLOSE_THROUGH,0.50,15,63,168,47,51,37,30,3,27.98,30.36,22.02,17.86,1.79,8,0.422500000000,0.495000000000,0.510000000000,0.495000000000,16,34.04,13,3,180
PDH,COMPLETED_CLOSE_THROUGH,0.50,30,63,168,58,58,37,12,3,34.52,34.52,22.02,7.14,1.79,13,0.565000000000,0.605000000000,0.617500000000,0.605000000000,23,39.66,14,9,240
PDH,COMPLETED_CLOSE_THROUGH,1.00,5,63,168,9,11,9,137,2,5.36,6.55,5.36,81.55,1.19,2,0.277500000000,0.294800000000,0.412500000000,0.299800000000,1,11.11,1,0,60
PDH,COMPLETED_CLOSE_THROUGH,1.00,15,63,168,28,34,9,90,7,16.67,20.24,5.36,53.57,4.17,8,0.422500000000,0.495000000000,0.510000000000,0.495000000000,4,14.29,3,1,240
PDH,COMPLETED_CLOSE_THROUGH,1.00,30,63,168,46,51,9,54,8,27.38,30.36,5.36,32.14,4.76,13,0.565000000000,0.605000000000,0.617500000000,0.605000000000,6,13.04,4,2,270
PDH,UNKNOWN,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,UNKNOWN,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,UNKNOWN,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,UNKNOWN,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,UNKNOWN,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,UNKNOWN,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,UNKNOWN,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,UNKNOWN,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,UNKNOWN,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,NEVER_BREACHED,0.25,5,47,48,4,0,44,0,0,8.33,0.00,91.67,0.00,0.00,0,0.415000000000,0.471200000000,0.709950000000,0.507500000000,0,0.00,0,0,
PDL,NEVER_BREACHED,0.25,15,47,48,4,0,44,0,0,8.33,0.00,91.67,0.00,0.00,0,0.962500000000,0.730000000000,1.025000000000,0.730000000000,2,50.00,1,1,450
PDL,NEVER_BREACHED,0.25,30,47,48,4,0,44,0,0,8.33,0.00,91.67,0.00,0.00,1,1.407500000000,1.070000000000,1.407500000000,1.070000000000,2,50.00,1,1,450
PDL,NEVER_BREACHED,0.50,5,47,48,13,9,22,4,0,27.08,18.75,45.83,8.33,0.00,0,0.415000000000,0.471200000000,0.709950000000,0.507500000000,2,15.38,2,0,180
PDL,NEVER_BREACHED,0.50,15,47,48,16,9,22,1,0,33.33,18.75,45.83,2.08,0.00,0,0.962500000000,0.730000000000,1.025000000000,0.730000000000,2,12.50,2,0,180
PDL,NEVER_BREACHED,0.50,30,47,48,16,9,22,1,0,33.33,18.75,45.83,2.08,0.00,1,1.407500000000,1.070000000000,1.407500000000,1.070000000000,5,31.25,2,3,600
PDL,NEVER_BREACHED,1.00,5,47,48,7,7,5,29,0,14.58,14.58,10.42,60.42,0.00,0,0.415000000000,0.471200000000,0.709950000000,0.507500000000,2,28.57,2,0,150
PDL,NEVER_BREACHED,1.00,15,47,48,17,18,5,8,0,35.42,37.50,10.42,16.67,0.00,0,0.962500000000,0.730000000000,1.025000000000,0.730000000000,2,11.76,2,0,150
PDL,NEVER_BREACHED,1.00,30,47,48,18,22,5,3,0,37.50,45.83,10.42,6.25,0.00,1,1.407500000000,1.070000000000,1.407500000000,1.070000000000,4,22.22,2,2,270
PDL,PENETRATED_NO_CLOSE_THROUGH,0.25,5,6,6,2,2,2,0,0,33.33,33.33,33.33,0.00,0.00,0,0.247450000000,0.410000000000,0.460000000000,0.410000000000,2,100.00,2,0,90
PDL,PENETRATED_NO_CLOSE_THROUGH,0.25,15,6,6,2,2,2,0,0,33.33,33.33,33.33,0.00,0.00,0,0.615000000000,0.410000000000,0.705000000000,0.410000000000,2,100.00,2,0,90
PDL,PENETRATED_NO_CLOSE_THROUGH,0.25,30,6,6,2,2,2,0,0,33.33,33.33,33.33,0.00,0.00,0,0.860000000000,0.815000000000,0.875000000000,0.815000000000,2,100.00,2,0,90
PDL,PENETRATED_NO_CLOSE_THROUGH,0.50,5,6,6,1,0,2,3,0,16.67,0.00,33.33,50.00,0.00,0,0.247450000000,0.410000000000,0.460000000000,0.410000000000,0,0.00,0,0,
PDL,PENETRATED_NO_CLOSE_THROUGH,0.50,15,6,6,3,0,2,1,0,50.00,0.00,33.33,16.67,0.00,0,0.615000000000,0.410000000000,0.705000000000,0.410000000000,0,0.00,0,0,
PDL,PENETRATED_NO_CLOSE_THROUGH,0.50,30,6,6,3,1,2,0,0,50.00,16.67,33.33,0.00,0.00,0,0.860000000000,0.815000000000,0.875000000000,0.815000000000,0,0.00,0,0,
PDL,PENETRATED_NO_CLOSE_THROUGH,1.00,5,6,6,1,1,0,4,0,16.67,16.67,0.00,66.67,0.00,0,0.247450000000,0.410000000000,0.460000000000,0.410000000000,0,0.00,0,0,
PDL,PENETRATED_NO_CLOSE_THROUGH,1.00,15,6,6,1,2,0,3,0,16.67,33.33,0.00,50.00,0.00,0,0.615000000000,0.410000000000,0.705000000000,0.410000000000,0,0.00,0,0,
PDL,PENETRATED_NO_CLOSE_THROUGH,1.00,30,6,6,1,3,0,2,0,16.67,50.00,0.00,33.33,0.00,0,0.860000000000,0.815000000000,0.875000000000,0.815000000000,0,0.00,0,0,
PDL,COMPLETED_CLOSE_THROUGH,0.25,5,52,159,45,24,85,5,0,28.30,15.09,53.46,3.14,0.00,2,0.310000000000,0.340000000000,0.450000000000,0.360000000000,10,22.22,10,0,60
PDL,COMPLETED_CLOSE_THROUGH,0.25,15,52,159,47,26,85,1,0,29.56,16.35,53.46,0.63,0.00,10,0.530000000000,0.525000000000,0.610000000000,0.530000000000,28,59.57,16,12,270
PDL,COMPLETED_CLOSE_THROUGH,0.25,30,52,159,48,26,85,0,0,30.19,16.35,53.46,0.00,0.00,13,0.750000000000,0.770000000000,0.800000000000,0.790000000000,34,70.83,16,18,390
PDL,COMPLETED_CLOSE_THROUGH,0.50,5,52,159,32,44,37,46,0,20.13,27.67,23.27,28.93,0.00,2,0.310000000000,0.340000000000,0.450000000000,0.360000000000,1,3.12,1,0,60
PDL,COMPLETED_CLOSE_THROUGH,0.50,15,52,159,51,57,37,13,1,32.08,35.85,23.27,8.18,0.63,10,0.530000000000,0.525000000000,0.610000000000,0.530000000000,16,31.37,7,9,390
PDL,COMPLETED_CLOSE_THROUGH,0.50,30,52,159,56,62,37,3,1,35.22,38.99,23.27,1.89,0.63,13,0.750000000000,0.770000000000,0.800000000000,0.790000000000,28,50.00,9,19,510
PDL,COMPLETED_CLOSE_THROUGH,1.00,5,52,159,15,13,9,122,0,9.43,8.18,5.66,76.73,0.00,2,0.310000000000,0.340000000000,0.450000000000,0.360000000000,0,0.00,0,0,
