family,breach_history,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
PML,UNKNOWN,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,UNKNOWN,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,UNKNOWN,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,UNKNOWN,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,UNKNOWN,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,NEVER_BREACHED,0.25,5,154,154,29,13,108,4,0,18.83,8.44,70.13,2.60,0.00,1,0.380000000000,0.360000000000,0.522500000000,0.385000000000,9,31.03,9,0,120
ORH5,NEVER_BREACHED,0.25,15,154,154,31,15,108,0,0,20.13,9.74,70.13,0.00,0.00,2,0.730000000000,0.660000000000,0.745000000000,0.670000000000,19,61.29,11,8,120
ORH5,NEVER_BREACHED,0.25,30,154,154,31,15,108,0,0,20.13,9.74,70.13,0.00,0.00,2,1.050000000000,0.882500000000,1.090500000000,0.882500000000,22,70.97,11,11,300
ORH5,NEVER_BREACHED,0.50,5,154,154,38,34,43,39,0,24.68,22.08,27.92,25.32,0.00,1,0.380000000000,0.360000000000,0.522500000000,0.385000000000,7,18.42,7,0,60
ORH5,NEVER_BREACHED,0.50,15,154,154,53,50,43,8,0,34.42,32.47,27.92,5.19,0.00,2,0.730000000000,0.660000000000,0.745000000000,0.670000000000,25,47.17,15,10,180
ORH5,NEVER_BREACHED,0.50,30,154,154,55,55,43,1,0,35.71,35.71,27.92,0.65,0.00,2,1.050000000000,0.882500000000,1.090500000000,0.882500000000,38,69.09,16,22,510
ORH5,NEVER_BREACHED,1.00,5,154,154,25,14,7,108,0,16.23,9.09,4.55,70.13,0.00,1,0.380000000000,0.360000000000,0.522500000000,0.385000000000,1,4.00,1,0,60
ORH5,NEVER_BREACHED,1.00,15,154,154,53,41,7,53,0,34.42,26.62,4.55,34.42,0.00,2,0.730000000000,0.660000000000,0.745000000000,0.670000000000,14,26.42,5,9,420
ORH5,NEVER_BREACHED,1.00,30,154,154,65,58,7,24,0,42.21,37.66,4.55,15.58,0.00,2,1.050000000000,0.882500000000,1.090500000000,0.882500000000,28,43.08,7,21,510
ORH5,PENETRATED_NO_CLOSE_THROUGH,0.25,5,4,4,2,0,2,0,0,50.00,0.00,50.00,0.00,0.00,0,0.422500000000,0.575350000000,0.570000000000,0.575350000000,1,50.00,1,0,120
ORH5,PENETRATED_NO_CLOSE_THROUGH,0.25,15,4,4,2,0,2,0,0,50.00,0.00,50.00,0.00,0.00,0,1.272500000000,0.705350000000,1.357500000000,0.705350000000,1,50.00,1,0,120
ORH5,PENETRATED_NO_CLOSE_THROUGH,0.25,30,4,4,2,0,2,0,0,50.00,0.00,50.00,0.00,0.00,0,1.272500000000,0.705350000000,1.732500000000,0.705350000000,1,50.00,1,0,120
ORH5,PENETRATED_NO_CLOSE_THROUGH,0.50,5,4,4,2,0,1,1,0,50.00,0.00,25.00,25.00,0.00,0,0.422500000000,0.575350000000,0.570000000000,0.575350000000,1,50.00,1,0,120
ORH5,PENETRATED_NO_CLOSE_THROUGH,0.50,15,4,4,2,1,1,0,0,50.00,25.00,25.00,0.00,0.00,0,1.272500000000,0.705350000000,1.357500000000,0.705350000000,1,50.00,1,0,120
ORH5,PENETRATED_NO_CLOSE_THROUGH,0.50,30,4,4,2,1,1,0,0,50.00,25.00,25.00,0.00,0.00,0,1.272500000000,0.705350000000,1.732500000000,0.705350000000,1,50.00,1,0,120
ORH5,PENETRATED_NO_CLOSE_THROUGH,1.00,5,4,4,0,0,1,3,0,0.00,0.00,25.00,75.00,0.00,0,0.422500000000,0.575350000000,0.570000000000,0.575350000000,0,,0,0,
ORH5,PENETRATED_NO_CLOSE_THROUGH,1.00,15,4,4,2,0,1,1,0,50.00,0.00,25.00,25.00,0.00,0,1.272500000000,0.705350000000,1.357500000000,0.705350000000,0,0.00,0,0,
ORH5,PENETRATED_NO_CLOSE_THROUGH,1.00,30,4,4,2,0,1,1,0,50.00,0.00,25.00,25.00,0.00,0,1.272500000000,0.705350000000,1.732500000000,0.705350000000,1,50.00,0,1,840
ORH5,COMPLETED_CLOSE_THROUGH,0.25,5,102,281,54,40,162,25,0,19.22,14.23,57.65,8.90,0.00,7,0.270000000000,0.270000000000,0.390000000000,0.290000000000,14,25.93,14,0,120
ORH5,COMPLETED_CLOSE_THROUGH,0.25,15,102,281,67,50,162,2,0,23.84,17.79,57.65,0.71,0.00,13,0.499500000000,0.510000000000,0.600000000000,0.510000000000,33,49.25,22,11,180
ORH5,COMPLETED_CLOSE_THROUGH,0.25,30,102,281,68,51,162,0,0,24.20,18.15,57.65,0.00,0.00,18,0.705000000000,0.660000000000,0.760000000000,0.660000000000,46,67.65,23,23,300
ORH5,COMPLETED_CLOSE_THROUGH,0.50,5,102,281,54,49,56,120,2,19.22,17.44,19.93,42.70,0.71,7,0.270000000000,0.270000000000,0.390000000000,0.290000000000,3,5.56,3,0,120
ORH5,COMPLETED_CLOSE_THROUGH,0.50,15,102,281,90,93,56,37,5,32.03,33.10,19.93,13.17,1.78,13,0.499500000000,0.510000000000,0.600000000000,0.510000000000,29,32.22,16,13,300
ORH5,COMPLETED_CLOSE_THROUGH,0.50,30,102,281,99,107,56,13,6,35.23,38.08,19.93,4.63,2.14,18,0.705000000000,0.660000000000,0.760000000000,0.660000000000,50,50.51,16,34,480
ORH5,COMPLETED_CLOSE_THROUGH,1.00,5,102,281,16,20,8,231,6,5.69,7.12,2.85,82.21,2.14,7,0.270000000000,0.270000000000,0.390000000000,0.290000000000,0,0.00,0,0,
ORH5,COMPLETED_CLOSE_THROUGH,1.00,15,102,281,49,54,8,159,11,17.44,19.22,2.85,56.58,3.91,13,0.499500000000,0.510000000000,0.600000000000,0.510000000000,7,14.29,3,4,360
ORH5,COMPLETED_CLOSE_THROUGH,1.00,30,102,281,87,85,8,86,15,30.96,30.25,2.85,30.60,5.34,18,0.705000000000,0.660000000000,0.760000000000,0.660000000000,22,25.29,7,15,480
ORH5,UNKNOWN,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,UNKNOWN,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,UNKNOWN,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,UNKNOWN,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,UNKNOWN,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,UNKNOWN,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,UNKNOWN,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,UNKNOWN,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,UNKNOWN,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,NEVER_BREACHED,0.25,5,145,145,27,7,110,1,0,18.62,4.83,75.86,0.69,0.00,2,0.430000000000,0.380000000000,0.570000000000,0.406300000000,9,33.33,9,0,180
ORL5,NEVER_BREACHED,0.25,15,145,145,27,8,110,0,0,18.62,5.52,75.86,0.00,0.00,2,0.789900000000,0.732500000000,0.830000000000,0.755000000000,13,48.15,9,4,180
ORL5,NEVER_BREACHED,0.25,30,145,145,27,8,110,0,0,18.62,5.52,75.86,0.00,0.00,2,1.220000000000,0.940000000000,1.260000000000,0.990000000000,16,59.26,9,7,180
ORL5,NEVER_BREACHED,0.50,5,145,145,46,26,47,25,1,31.72,17.93,32.41,17.24,0.69,2,0.430000000000,0.380000000000,0.570000000000,0.406300000000,13,28.26,13,0,120
ORL5,NEVER_BREACHED,0.50,15,145,145,58,36,48,2,1,40.00,24.83,33.10,1.38,0.69,2,0.789900000000,0.732500000000,0.830000000000,0.755000000000,27,46.55,23,4,180
ORL5,NEVER_BREACHED,0.50,30,145,145,59,37,48,0,1,40.69,25.52,33.10,0.00,0.69,2,1.220000000000,0.940000000000,1.260000000000,0.990000000000,30,50.85,23,7,180
ORL5,NEVER_BREACHED,1.00,5,145,145,22,18,7,97,1,15.17,12.41,4.83,66.90,0.69,2,0.430000000000,0.380000000000,0.570000000000,0.406300000000,4,18.18,4,0,150
ORL5,NEVER_BREACHED,1.00,15,145,145,52,49,7,36,1,35.86,33.79,4.83,24.83,0.69,2,0.789900000000,0.732500000000,0.830000000000,0.755000000000,7,13.46,5,2,180
ORL5,NEVER_BREACHED,1.00,30,145,145,61,58,7,18,1,42.07,40.00,4.83,12.41,0.69,2,1.220000000000,0.940000000000,1.260000000000,0.990000000000,13,21.31,6,7,360
ORL5,PENETRATED_NO_CLOSE_THROUGH,0.25,5,12,13,3,1,9,0,0,23.08,7.69,69.23,0.00,0.00,0,0.385000000000,0.440000000000,0.560000000000,0.440000000000,1,33.33,1,0,120
ORL5,PENETRATED_NO_CLOSE_THROUGH,0.25,15,12,13,3,1,9,0,0,23.08,7.69,69.23,0.00,0.00,0,0.390000000000,0.660000000000,0.560000000000,0.884300000000,2,66.67,1,1,420
ORL5,PENETRATED_NO_CLOSE_THROUGH,0.25,30,12,13,3,1,9,0,0,23.08,7.69,69.23,0.00,0.00,0,0.790000000000,0.884300000000,0.938000000000,0.930000000000,2,66.67,1,1,420
ORL5,PENETRATED_NO_CLOSE_THROUGH,0.50,5,12,13,0,2,8,3,0,0.00,15.38,61.54,23.08,0.00,0,0.385000000000,0.440000000000,0.560000000000,0.440000000000,0,,0,0,
ORL5,PENETRATED_NO_CLOSE_THROUGH,0.50,15,12,13,0,3,8,2,0,0.00,23.08,61.54,15.38,0.00,0,0.390000000000,0.660000000000,0.560000000000,0.884300000000,0,,0,0,
ORL5,PENETRATED_NO_CLOSE_THROUGH,0.50,30,12,13,0,5,8,0,0,0.00,38.46,61.54,0.00,0.00,0,0.790000000000,0.884300000000,0.938000000000,0.930000000000,0,,0,0,
ORL5,PENETRATED_NO_CLOSE_THROUGH,1.00,5,12,13,1,2,0,10,0,7.69,15.38,0.00,76.92,0.00,0,0.385000000000,0.440000000000,0.560000000000,0.440000000000,0,0.00,0,0,
ORL5,PENETRATED_NO_CLOSE_THROUGH,1.00,15,12,13,4,5,0,4,0,30.77,38.46,0.00,30.77,0.00,0,0.390000000000,0.660000000000,0.560000000000,0.884300000000,0,0.00,0,0,
ORL5,PENETRATED_NO_CLOSE_THROUGH,1.00,30,12,13,5,6,0,2,0,38.46,46.15,0.00,15.38,0.00,0,0.790000000000,0.884300000000,0.938000000000,0.930000000000,0,0.00,0,0,
ORL5,COMPLETED_CLOSE_THROUGH,0.25,5,95,264,64,21,149,30,0,24.24,7.95,56.44,11.36,0.00,3,0.349950000000,0.223950000000,0.437500000000,0.239000000000,17,26.56,17,0,120
ORL5,COMPLETED_CLOSE_THROUGH,0.25,15,95,264,73,40,149,2,0,27.65,15.15,56.44,0.76,0.00,9,0.565000000000,0.450000000000,0.650000000000,0.455000000000,36,49.32,27,9,180
ORL5,COMPLETED_CLOSE_THROUGH,0.25,30,95,264,74,40,149,1,0,28.03,15.15,56.44,0.38,0.00,16,0.705000000000,0.670050000000,0.760000000000,0.671250000000,43,58.11,27,16,240
ORL5,COMPLETED_CLOSE_THROUGH,0.50,5,95,264,54,31,57,120,2,20.45,11.74,21.59,45.45,0.76,3,0.349950000000,0.223950000000,0.437500000000,0.239000000000,7,12.96,7,0,120
ORL5,COMPLETED_CLOSE_THROUGH,0.50,15,95,264,91,75,57,38,3,34.47,28.41,21.59,14.39,1.14,9,0.565000000000,0.450000000000,0.650000000000,0.455000000000,28,30.77,16,12,300
ORL5,COMPLETED_CLOSE_THROUGH,0.50,30,95,264,101,89,57,14,3,38.26,33.71,21.59,5.30,1.14,16,0.705000000000,0.670050000000,0.760000000000,0.671250000000,45,44.55,19,26,420
ORL5,COMPLETED_CLOSE_THROUGH,1.00,5,95,264,15,14,16,216,3,5.68,5.30,6.06,81.82,1.14,3,0.349950000000,0.223950000000,0.437500000000,0.239000000000,0,0.00,0,0,
ORL5,COMPLETED_CLOSE_THROUGH,1.00,15,95,264,60,53,16,127,8,22.73,20.08,6.06,48.11,3.03,9,0.565000000000,0.450000000000,0.650000000000,0.455000000000,4,6.67,4,0,150
ORL5,COMPLETED_CLOSE_THROUGH,1.00,30,95,264,78,71,16,87,12,29.55,26.89,6.06,32.95,4.55,16,0.705000000000,0.670050000000,0.760000000000,0.671250000000,20,25.64,6,14,570
ORL5,UNKNOWN,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,UNKNOWN,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,UNKNOWN,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,UNKNOWN,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,UNKNOWN,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,UNKNOWN,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,UNKNOWN,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,UNKNOWN,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,UNKNOWN,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,NEVER_BREACHED,0.25,5,16,16,1,1,10,4,0,6.25,6.25,62.50,25.00,0.00,0,0.215000000000,0.195000000000,0.610000000000,0.225000000000,0,0.00,0,0,
PWH,NEVER_BREACHED,0.25,15,16,16,5,1,10,0,0,31.25,6.25,62.50,0.00,0.00,0,0.382500000000,0.540000000000,0.610000000000,0.540000000000,1,20.00,1,0,240
PWH,NEVER_BREACHED,0.25,30,16,16,5,1,10,0,0,31.25,6.25,62.50,0.00,0.00,0,0.525000000000,0.770000000000,0.675000000000,0.770000000000,2,40.00,1,1,570
PWH,NEVER_BREACHED,0.50,5,16,16,2,1,7,6,0,12.50,6.25,43.75,37.50,0.00,0,0.215000000000,0.195000000000,0.610000000000,0.225000000000,0,0.00,0,0,
PWH,NEVER_BREACHED,0.50,15,16,16,2,3,7,4,0,12.50,18.75,43.75,25.00,0.00,0,0.382500000000,0.540000000000,0.610000000000,0.540000000000,0,0.00,0,0,
PWH,NEVER_BREACHED,0.50,30,16,16,4,3,7,2,0,25.00,18.75,43.75,12.50,0.00,0,0.525000000000,0.770000000000,0.675000000000,0.770000000000,0,0.00,0,0,
PWH,NEVER_BREACHED,1.00,5,16,16,0,1,2,13,0,0.00,6.25,12.50,81.25,0.00,0,0.215000000000,0.195000000000,0.610000000000,0.225000000000,0,,0,0,
PWH,NEVER_BREACHED,1.00,15,16,16,3,6,2,5,0,18.75,37.50,12.50,31.25,0.00,0,0.382500000000,0.540000000000,0.610000000000,0.540000000000,1,33.33,0,1,360
PWH,NEVER_BREACHED,1.00,30,16,16,4,6,2,4,0,25.00,37.50,12.50,25.00,0.00,0,0.525000000000,0.770000000000,0.675000000000,0.770000000000,1,25.00,0,1,360
PWH,PENETRATED_NO_CLOSE_THROUGH,0.25,5,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.829500000000,0.140000000000,0.829500000000,0.140000000000,0,0.00,0,0,
PWH,PENETRATED_NO_CLOSE_THROUGH,0.25,15,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.070000000000,0.140000000000,2.070000000000,0.140000000000,0,0.00,0,0,
PWH,PENETRATED_NO_CLOSE_THROUGH,0.25,30,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.600000000000,0.140000000000,2.600000000000,0.140000000000,0,0.00,0,0,
PWH,PENETRATED_NO_CLOSE_THROUGH,0.50,5,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.829500000000,0.140000000000,0.829500000000,0.140000000000,0,0.00,0,0,
PWH,PENETRATED_NO_CLOSE_THROUGH,0.50,15,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.070000000000,0.140000000000,2.070000000000,0.140000000000,0,0.00,0,0,
PWH,PENETRATED_NO_CLOSE_THROUGH,0.50,30,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.600000000000,0.140000000000,2.600000000000,0.140000000000,0,0.00,0,0,
PWH,PENETRATED_NO_CLOSE_THROUGH,1.00,5,1,1,0,0,0,1,0,0.00,0.00,0.00,100.00,0.00,0,0.829500000000,0.140000000000,0.829500000000,0.140000000000,0,,0,0,
PWH,PENETRATED_NO_CLOSE_THROUGH,1.00,15,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.070000000000,0.140000000000,2.070000000000,0.140000000000,0,0.00,0,0,
PWH,PENETRATED_NO_CLOSE_THROUGH,1.00,30,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.600000000000,0.140000000000,2.600000000000,0.140000000000,0,0.00,0,0,
PWH,COMPLETED_CLOSE_THROUGH,0.25,5,31,87,18,11,45,12,1,20.69,12.64,51.72,13.79,1.15,3,0.228000000000,0.240000000000,0.330000000000,0.250000000000,2,11.11,2,0,90
PWH,COMPLETED_CLOSE_THROUGH,0.25,15,31,87,23,16,45,2,1,26.44,18.39,51.72,2.30,1.15,5,0.435000000000,0.410000000000,0.480000000000,0.410000000000,7,30.43,4,3,300
PWH,COMPLETED_CLOSE_THROUGH,0.25,30,31,87,23,16,45,2,1,26.44,18.39,51.72,2.30,1.15,10,0.540000000000,0.580000000000,0.555000000000,0.580000000000,12,52.17,4,8,570
PWH,COMPLETED_CLOSE_THROUGH,0.50,5,31,87,14,10,16,44,3,16.09,11.49,18.39,50.57,3.45,3,0.228000000000,0.240000000000,0.330000000000,0.250000000000,1,7.14,1,0,120
PWH,COMPLETED_CLOSE_THROUGH,0.50,15,31,87,25,22,16,21,3,28.74,25.29,18.39,24.14,3.45,5,0.435000000000,0.410000000000,0.480000000000,0.410000000000,5,20.00,3,2,300
PWH,COMPLETED_CLOSE_THROUGH,0.50,30,31,87,29,29,16,9,4,33.33,33.33,18.39,10.34,4.60,10,0.540000000000,0.580000000000,0.555000000000,0.580000000000,12,41.38,4,8,720
PWH,COMPLETED_CLOSE_THROUGH,1.00,5,31,87,3,5,4,72,3,3.45,5.75,4.60,82.76,3.45,3,0.228000000000,0.240000000000,0.330000000000,0.250000000000,0,0.00,0,0,
PWH,COMPLETED_CLOSE_THROUGH,1.00,15,31,87,10,14,4,54,5,11.49,16.09,4.60,62.07,5.75,5,0.435000000000,0.410000000000,0.480000000000,0.410000000000,0,0.00,0,0,
PWH,COMPLETED_CLOSE_THROUGH,1.00,30,31,87,18,18,4,41,6,20.69,20.69,4.60,47.13,6.90,10,0.540000000000,0.580000000000,0.555000000000,0.580000000000,3,16.67,1,2,780
PWH,UNKNOWN,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,UNKNOWN,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,UNKNOWN,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,UNKNOWN,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,UNKNOWN,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,UNKNOWN,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,UNKNOWN,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,UNKNOWN,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,UNKNOWN,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,NEVER_BREACHED,0.25,5,9,9,1,0,8,0,0,11.11,0.00,88.89,0.00,0.00,1,0.390000000000,0.245000000000,0.395000000000,0.245000000000,0,0.00,0,0,
PWL,NEVER_BREACHED,0.25,15,9,9,1,0,8,0,0,11.11,0.00,88.89,0.00,0.00,1,1.245000000000,0.680000000000,1.245000000000,0.680000000000,1,100.00,1,0,240
PWL,NEVER_BREACHED,0.25,30,9,9,1,0,8,0,0,11.11,0.00,88.89,0.00,0.00,1,1.525000000000,0.800000000000,1.525000000000,0.800000000000,1,100.00,1,0,240
PWL,NEVER_BREACHED,0.50,5,9,9,2,2,2,2,1,22.22,22.22,22.22,22.22,11.11,1,0.390000000000,0.245000000000,0.395000000000,0.245000000000,0,0.00,0,0,
PWL,NEVER_BREACHED,0.50,15,9,9,4,2,2,0,1,44.44,22.22,22.22,0.00,11.11,1,1.245000000000,0.680000000000,1.245000000000,0.680000000000,1,25.00,1,0,60
PWL,NEVER_BREACHED,0.50,30,9,9,4,2,2,0,1,44.44,22.22,22.22,0.00,11.11,1,1.525000000000,0.800000000000,1.525000000000,0.800000000000,1,25.00,1,0,60
PWL,NEVER_BREACHED,1.00,5,9,9,0,1,1,6,1,0.00,11.11,11.11,66.67,11.11,1,0.390000000000,0.245000000000,0.395000000000,0.245000000000,0,,0,0,
PWL,NEVER_BREACHED,1.00,15,9,9,4,1,1,2,1,44.44,11.11,11.11,22.22,11.11,1,1.245000000000,0.680000000000,1.245000000000,0.680000000000,1,25.00,0,1,420
PWL,NEVER_BREACHED,1.00,30,9,9,4,2,1,1,1,44.44,22.22,11.11,11.11,11.11,1,1.525000000000,0.800000000000,1.525000000000,0.800000000000,1,25.00,0,1,420
PWL,PENETRATED_NO_CLOSE_THROUGH,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,PENETRATED_NO_CLOSE_THROUGH,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,PENETRATED_NO_CLOSE_THROUGH,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,PENETRATED_NO_CLOSE_THROUGH,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,PENETRATED_NO_CLOSE_THROUGH,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,PENETRATED_NO_CLOSE_THROUGH,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,PENETRATED_NO_CLOSE_THROUGH,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,PENETRATED_NO_CLOSE_THROUGH,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,PENETRATED_NO_CLOSE_THROUGH,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,COMPLETED_CLOSE_THROUGH,0.25,5,31,81,13,8,58,2,0,16.05,9.88,71.60,2.47,0.00,0,0.440000000000,0.460000000000,0.570000000000,0.495000000000,3,23.08,3,0,120
PWL,COMPLETED_CLOSE_THROUGH,0.25,15,31,81,15,8,58,0,0,18.52,9.88,71.60,0.00,0.00,2,0.860000000000,0.649900000000,0.888000000000,0.649900000000,8,53.33,5,3,240
PWL,COMPLETED_CLOSE_THROUGH,0.25,30,31,81,15,8,58,0,0,18.52,9.88,71.60,0.00,0.00,4,1.060000000000,0.845000000000,1.060000000000,0.845000000000,8,53.33,5,3,240
PWL,COMPLETED_CLOSE_THROUGH,0.50,5,31,81,16,12,36,17,0,19.75,14.81,44.44,20.99,0.00,0,0.440000000000,0.460000000000,0.570000000000,0.495000000000,1,6.25,1,0,120
PWL,COMPLETED_CLOSE_THROUGH,0.50,15,31,81,25,18,36,2,0,30.86,22.22,44.44,2.47,0.00,2,0.860000000000,0.649900000000,0.888000000000,0.649900000000,6,24.00,3,3,300
PWL,COMPLETED_CLOSE_THROUGH,0.50,30,31,81,26,19,36,0,0,32.10,23.46,44.44,0.00,0.00,4,1.060000000000,0.845000000000,1.060000000000,0.845000000000,12,46.15,4,8,510
PWL,COMPLETED_CLOSE_THROUGH,1.00,5,31,81,9,9,5,58,0,11.11,11.11,6.17,71.60,0.00,0,0.440000000000,0.460000000000,0.570000000000,0.495000000000,0,0.00,0,0,
PWL,COMPLETED_CLOSE_THROUGH,1.00,15,31,81,27,27,5,21,1,33.33,33.33,6.17,25.93,1.23,2,0.860000000000,0.649900000000,0.888000000000,0.649900000000,4,14.81,2,2,270
PWL,COMPLETED_CLOSE_THROUGH,1.00,30,31,81,31,33,5,10,2,38.27,40.74,6.17,12.35,2.47,4,1.060000000000,0.845000000000,1.060000000000,0.845000000000,10,32.26,4,6,450
PWL,UNKNOWN,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,UNKNOWN,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,UNKNOWN,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,UNKNOWN,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,UNKNOWN,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,UNKNOWN,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,UNKNOWN,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,UNKNOWN,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,UNKNOWN,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,NEVER_BREACHED,0.25,5,67,110,16,8,71,15,0,14.55,7.27,64.55,13.64,0.00,2,0.250000000000,0.315000000000,0.423200000000,0.349950000000,5,31.25,5,0,120
1H_HIGH,NEVER_BREACHED,0.25,15,67,110,24,12,71,3,0,21.82,10.91,64.55,2.73,0.00,7,0.430000000000,0.537500000000,0.585000000000,0.585050000000,10,41.67,8,2,210
1H_HIGH,NEVER_BREACHED,0.25,30,67,110,25,14,71,0,0,22.73,12.73,64.55,0.00,0.00,8,0.525000000000,0.775000000000,0.727500000000,0.775000000000,16,64.00,9,7,300
1H_HIGH,NEVER_BREACHED,0.50,5,67,110,12,8,40,50,0,10.91,7.27,36.36,45.45,0.00,2,0.250000000000,0.315000000000,0.423200000000,0.349950000000,2,16.67,2,0,180
1H_HIGH,NEVER_BREACHED,0.50,15,67,110,23,22,40,23,2,20.91,20.00,36.36,20.91,1.82,7,0.430000000000,0.537500000000,0.585000000000,0.585050000000,3,13.04,3,0,180
1H_HIGH,NEVER_BREACHED,0.50,30,67,110,25,29,40,14,2,22.73,26.36,36.36,12.73,1.82,8,0.525000000000,0.775000000000,0.727500000000,0.775000000000,10,40.00,3,7,660
1H_HIGH,NEVER_BREACHED,1.00,5,67,110,9,6,16,78,1,8.18,5.45,14.55,70.91,0.91,2,0.250000000000,0.315000000000,0.423200000000,0.349950000000,2,22.22,2,0,150
1H_HIGH,NEVER_BREACHED,1.00,15,67,110,18,23,16,47,6,16.36,20.91,14.55,42.73,5.45,7,0.430000000000,0.537500000000,0.585000000000,0.585050000000,6,33.33,4,2,180
