family,confluence,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,1,0.25,5,169,2992,604,302,1896,189,1,20.19,10.09,63.37,6.32,0.03,57,0.340000000000,0.309500000000,0.480000000000,0.325000000000,178,29.47,178,0,120
ALL,1,0.25,15,169,2992,687,391,1896,17,1,22.96,13.07,63.37,0.57,0.03,141,0.610000000000,0.565000000000,0.695000000000,0.579950000000,350,50.95,250,100,180
ALL,1,0.25,30,169,2992,696,396,1896,3,1,23.26,13.24,63.37,0.10,0.03,230,0.840000000000,0.770000000000,0.885150000000,0.780000000000,446,64.08,256,190,240
ALL,1,0.50,5,169,2992,650,488,843,988,23,21.72,16.31,28.18,33.02,0.77,57,0.340000000000,0.309500000000,0.480000000000,0.325000000000,83,12.77,83,0,120
ALL,1,0.50,15,169,2992,969,832,845,312,34,32.39,27.81,28.24,10.43,1.14,141,0.610000000000,0.565000000000,0.695000000000,0.579950000000,349,36.02,244,105,240
ALL,1,0.50,30,169,2992,1073,935,845,102,37,35.86,31.25,28.24,3.41,1.24,230,0.840000000000,0.770000000000,0.885150000000,0.780000000000,528,49.21,261,267,360
ALL,1,1.00,5,169,2992,283,253,177,2238,41,9.46,8.46,5.92,74.80,1.37,57,0.340000000000,0.309500000000,0.480000000000,0.325000000000,18,6.36,18,0,120
ALL,1,1.00,15,169,2992,783,709,177,1233,90,26.17,23.70,5.92,41.21,3.01,141,0.610000000000,0.565000000000,0.695000000000,0.579950000000,148,18.90,89,59,240
ALL,1,1.00,30,169,2992,1077,961,177,660,117,36.00,32.12,5.92,22.06,3.91,230,0.840000000000,0.770000000000,0.885150000000,0.780000000000,325,30.18,114,211,480
ALL,2,0.25,5,146,2602,542,245,1647,168,0,20.83,9.42,63.30,6.46,0.00,45,0.330000000000,0.320000000000,0.480000000000,0.340000000000,154,28.41,154,0,120
ALL,2,0.25,15,146,2602,610,323,1647,22,0,23.44,12.41,63.30,0.85,0.00,122,0.550000000000,0.590000000000,0.650100000000,0.600000000000,333,54.59,227,106,180
ALL,2,0.25,30,146,2602,622,330,1647,3,0,23.90,12.68,63.30,0.12,0.00,199,0.750000000000,0.795000000000,0.812500000000,0.800000000000,424,68.17,236,188,240
ALL,2,0.50,5,146,2602,524,413,782,869,14,20.14,15.87,30.05,33.40,0.54,45,0.330000000000,0.320000000000,0.480000000000,0.340000000000,72,13.74,72,0,120
