family,confluence,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,True,0.25,5,114,887,156,95,556,77,3,17.59,10.71,62.68,8.68,0.34,17,0.310000000000,0.350000000000,0.470000000000,0.360000000000,37,23.72,37,0,120
ALL,True,0.25,15,114,887,195,122,556,11,3,21.98,13.75,62.68,1.24,0.34,39,0.520000000000,0.570000000000,0.630000000000,0.580000000000,91,46.67,67,24,240
ALL,True,0.25,30,114,887,199,124,556,5,3,22.44,13.98,62.68,0.56,0.34,67,0.740000000000,0.790000000000,0.810000000000,0.790000000000,126,63.32,69,57,300
ALL,True,0.50,5,114,887,165,164,271,277,10,18.60,18.49,30.55,31.23,1.13,17,0.310000000000,0.350000000000,0.470000000000,0.360000000000,14,8.48,14,0,120
ALL,True,0.50,15,114,887,251,243,272,108,13,28.30,27.40,30.67,12.18,1.47,39,0.520000000000,0.570000000000,0.630000000000,0.580000000000,64,25.50,45,19,180
ALL,True,0.50,30,114,887,283,269,272,48,15,31.91,30.33,30.67,5.41,1.69,67,0.740000000000,0.790000000000,0.810000000000,0.790000000000,118,41.70,51,67,480
ALL,True,1.00,5,114,887,53,81,66,676,11,5.98,9.13,7.44,76.21,1.24,17,0.310000000000,0.350000000000,0.470000000000,0.360000000000,2,3.77,2,0,120
ALL,True,1.00,15,114,887,178,244,66,371,28,20.07,27.51,7.44,41.83,3.16,39,0.520000000000,0.570000000000,0.630000000000,0.580000000000,29,16.29,17,12,300
ALL,True,1.00,30,114,887,261,318,66,208,34,29.43,35.85,7.44,23.45,3.83,67,0.740000000000,0.790000000000,0.810000000000,0.790000000000,62,23.75,20,42,420
ALL,False,0.25,5,170,5483,1129,537,3479,337,1,20.59,9.79,63.45,6.15,0.02,107,0.340000000000,0.310000000000,0.480000000000,0.330000000000,317,28.08,317,0,120
ALL,False,0.25,15,170,5483,1277,695,3479,31,1,23.29,12.68,63.45,0.57,0.02,261,0.590000000000,0.570000000000,0.670000000000,0.580000000000,669,52.39,458,211,180
ALL,False,0.25,30,170,5483,1294,705,3479,4,1,23.60,12.86,63.45,0.07,0.02,412,0.795000000000,0.770000000000,0.860000000000,0.780000000000,840,64.91,471,369,240
ALL,False,0.50,5,170,5483,1161,898,1567,1819,38,21.17,16.38,28.58,33.18,0.69,107,0.340000000000,0.310000000000,0.480000000000,0.330000000000,157,13.52,157,0,120
