family,creation_first_touch,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
PDH,False,0.25,15,58,147,36,26,80,4,1,24.49,17.69,54.42,2.72,0.68,8,0.390000000000,0.485000000000,0.490000000000,0.485000000000,18,50.00,11,7,210
PDH,False,0.25,30,58,147,38,27,80,1,1,25.85,18.37,54.42,0.68,0.68,13,0.560000000000,0.605000000000,0.615000000000,0.605000000000,20,52.63,12,8,210
PDH,False,0.50,5,58,147,31,24,29,61,2,21.09,16.33,19.73,41.50,1.36,2,0.250000000000,0.250000000000,0.399900000000,0.280000000000,6,19.35,6,0,60
PDH,False,0.50,15,58,147,42,45,29,28,3,28.57,30.61,19.73,19.05,2.04,8,0.390000000000,0.485000000000,0.490000000000,0.485000000000,15,35.71,12,3,180
PDH,False,0.50,30,58,147,52,51,29,12,3,35.37,34.69,19.73,8.16,2.04,13,0.560000000000,0.605000000000,0.615000000000,0.605000000000,21,40.38,12,9,240
PDH,False,1.00,5,58,147,8,10,8,119,2,5.44,6.80,5.44,80.95,1.36,2,0.250000000000,0.250000000000,0.399900000000,0.280000000000,1,12.50,1,0,60
PDH,False,1.00,15,58,147,21,29,8,82,7,14.29,19.73,5.44,55.78,4.76,8,0.390000000000,0.485000000000,0.490000000000,0.485000000000,4,19.05,3,1,240
PDH,False,1.00,30,58,147,39,41,8,51,8,26.53,27.89,5.44,34.69,5.44,13,0.560000000000,0.605000000000,0.615000000000,0.605000000000,6,15.38,4,2,270
PDH,None,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,None,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,None,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,None,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,None,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,None,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,None,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,None,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,None,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,True,0.25,5,66,66,10,1,55,0,0,15.15,1.52,83.33,0.00,0.00,0,0.454950000000,0.447600000000,0.770000000000,0.471200000000,3,30.00,3,0,60
PDL,True,0.25,15,66,66,10,1,55,0,0,15.15,1.52,83.33,0.00,0.00,0,1.007500000000,0.705000000000,1.040000000000,0.705000000000,6,60.00,5,1,150
