family,creation_first_touch,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ORL5,True,1.00,5,145,145,22,18,7,97,1,15.17,12.41,4.83,66.90,0.69,2,0.430000000000,0.380000000000,0.570000000000,0.406300000000,4,18.18,4,0,150
ORL5,True,1.00,15,145,145,52,49,7,36,1,35.86,33.79,4.83,24.83,0.69,2,0.789900000000,0.732500000000,0.830000000000,0.755000000000,7,13.46,5,2,180
ORL5,True,1.00,30,145,145,61,58,7,18,1,42.07,40.00,4.83,12.41,0.69,2,1.220000000000,0.940000000000,1.260000000000,0.990000000000,13,21.31,6,7,360
ORL5,False,0.25,5,99,277,67,22,158,30,0,24.19,7.94,57.04,10.83,0.00,3,0.350000000000,0.230000000000,0.450000000000,0.240000000000,18,26.87,18,0,120
ORL5,False,0.25,15,99,277,76,41,158,2,0,27.44,14.80,57.04,0.72,0.00,9,0.550000000000,0.460000000000,0.650000000000,0.465000000000,38,50.00,28,10,180
ORL5,False,0.25,30,99,277,77,41,158,1,0,27.80,14.80,57.04,0.36,0.00,16,0.710000000000,0.670100000000,0.770000000000,0.680000000000,45,58.44,28,17,240
ORL5,False,0.50,5,99,277,54,33,65,123,2,19.49,11.91,23.47,44.40,0.72,3,0.350000000000,0.230000000000,0.450000000000,0.240000000000,7,12.96,7,0,120
ORL5,False,0.50,15,99,277,91,78,65,40,3,32.85,28.16,23.47,14.44,1.08,9,0.550000000000,0.460000000000,0.650000000000,0.465000000000,28,30.77,16,12,300
ORL5,False,0.50,30,99,277,101,94,65,14,3,36.46,33.94,23.47,5.05,1.08,16,0.710000000000,0.670100000000,0.770000000000,0.680000000000,45,44.55,19,26,420
ORL5,False,1.00,5,99,277,16,16,16,226,3,5.78,5.78,5.78,81.59,1.08,3,0.350000000000,0.230000000000,0.450000000000,0.240000000000,0,0.00,0,0,
ORL5,False,1.00,15,99,277,64,58,16,131,8,23.10,20.94,5.78,47.29,2.89,9,0.550000000000,0.460000000000,0.650000000000,0.465000000000,4,6.25,4,0,150
ORL5,False,1.00,30,99,277,83,77,16,89,12,29.96,27.80,5.78,32.13,4.33,16,0.710000000000,0.670100000000,0.770000000000,0.680000000000,20,24.10,6,14,570
ORL5,None,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,None,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,None,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,None,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,None,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,None,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,None,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,None,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,None,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,True,0.25,5,19,19,2,1,12,4,0,10.53,5.26,63.16,21.05,0.00,0,0.250000000000,0.230000000000,0.550000000000,0.285000000000,1,50.00,1,0,120
PWH,True,0.25,15,19,19,6,1,12,0,0,31.58,5.26,63.16,0.00,0.00,0,0.418000000000,0.740000000000,0.579000000000,0.740000000000,2,33.33,2,0,180
PWH,True,0.25,30,19,19,6,1,12,0,0,31.58,5.26,63.16,0.00,0.00,0,0.579000000000,0.800000000000,0.670000000000,0.800000000000,3,50.00,2,1,240
PWH,True,0.50,5,19,19,3,2,8,6,0,15.79,10.53,42.11,31.58,0.00,0,0.250000000000,0.230000000000,0.550000000000,0.285000000000,0,0.00,0,0,
PWH,True,0.50,15,19,19,3,4,8,4,0,15.79,21.05,42.11,21.05,0.00,0,0.418000000000,0.740000000000,0.579000000000,0.740000000000,1,33.33,1,0,300
PWH,True,0.50,30,19,19,5,4,8,2,0,26.32,21.05,42.11,10.53,0.00,0,0.579000000000,0.800000000000,0.670000000000,0.800000000000,1,20.00,1,0,300
PWH,True,1.00,5,19,19,0,1,3,15,0,0.00,5.26,15.79,78.95,0.00,0,0.250000000000,0.230000000000,0.550000000000,0.285000000000,0,,0,0,
PWH,True,1.00,15,19,19,3,7,3,6,0,15.79,36.84,15.79,31.58,0.00,0,0.418000000000,0.740000000000,0.579000000000,0.740000000000,1,33.33,0,1,360
PWH,True,1.00,30,19,19,4,7,3,5,0,21.05,36.84,15.79,26.32,0.00,0,0.579000000000,0.800000000000,0.670000000000,0.800000000000,1,25.00,0,1,360
PWH,False,0.25,5,31,85,18,11,43,12,1,21.18,12.94,50.59,14.12,1.18,3,0.228000000000,0.210000000000,0.330000000000,0.235000000000,1,5.56,1,0,60
PWH,False,0.25,15,31,85,23,16,43,2,1,27.06,18.82,50.59,2.35,1.18,5,0.430000000000,0.400000000000,0.464900000000,0.400000000000,6,26.09,3,3,330
PWH,False,0.25,30,31,85,23,16,43,2,1,27.06,18.82,50.59,2.35,1.18,10,0.540000000000,0.570000000000,0.555000000000,0.570000000000,11,47.83,3,8,600
PWH,False,0.50,5,31,85,14,9,15,44,3,16.47,10.59,17.65,51.76,3.53,3,0.228000000000,0.210000000000,0.330000000000,0.235000000000,1,7.14,1,0,120
PWH,False,0.50,15,31,85,25,21,15,21,3,29.41,24.71,17.65,24.71,3.53,5,0.430000000000,0.400000000000,0.464900000000,0.400000000000,4,16.00,2,2,300
PWH,False,0.50,30,31,85,29,28,15,9,4,34.12,32.94,17.65,10.59,4.71,10,0.540000000000,0.570000000000,0.555000000000,0.570000000000,11,37.93,3,8,780
PWH,False,1.00,5,31,85,3,5,3,71,3,3.53,5.88,3.53,83.53,3.53,3,0.228000000000,0.210000000000,0.330000000000,0.235000000000,0,0.00,0,0,
PWH,False,1.00,15,31,85,11,13,3,53,5,12.94,15.29,3.53,62.35,5.88,5,0.430000000000,0.400000000000,0.464900000000,0.400000000000,0,0.00,0,0,
PWH,False,1.00,30,31,85,19,17,3,40,6,22.35,20.00,3.53,47.06,7.06,10,0.540000000000,0.570000000000,0.555000000000,0.570000000000,3,15.79,1,2,780
PWH,None,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,None,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,None,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,None,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,None,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,None,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,None,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,None,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,None,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,True,0.25,5,16,16,2,1,13,0,0,12.50,6.25,81.25,0.00,0.00,1,0.325000000000,0.357450000000,0.454750000000,0.357450000000,1,50.00,1,0,120
PWL,True,0.25,15,16,16,2,1,13,0,0,12.50,6.25,81.25,0.00,0.00,1,1.135000000000,0.545000000000,1.135000000000,0.545000000000,2,100.00,2,0,180
PWL,True,0.25,30,16,16,2,1,13,0,0,12.50,6.25,81.25,0.00,0.00,1,1.275000000000,0.640000000000,1.275000000000,0.640000000000,2,100.00,2,0,180
PWL,True,0.50,5,16,16,2,3,6,4,1,12.50,18.75,37.50,25.00,6.25,1,0.325000000000,0.357450000000,0.454750000000,0.357450000000,0,0.00,0,0,
PWL,True,0.50,15,16,16,6,3,6,0,1,37.50,18.75,37.50,0.00,6.25,1,1.135000000000,0.545000000000,1.135000000000,0.545000000000,1,16.67,1,0,60
PWL,True,0.50,30,16,16,6,3,6,0,1,37.50,18.75,37.50,0.00,6.25,1,1.275000000000,0.640000000000,1.275000000000,0.640000000000,3,50.00,1,2,480
PWL,True,1.00,5,16,16,1,3,1,10,1,6.25,18.75,6.25,62.50,6.25,1,0.325000000000,0.357450000000,0.454750000000,0.357450000000,0,0.00,0,0,
PWL,True,1.00,15,16,16,7,4,1,3,1,43.75,25.00,6.25,18.75,6.25,1,1.135000000000,0.545000000000,1.135000000000,0.545000000000,2,28.57,0,2,420
PWL,True,1.00,30,16,16,7,5,1,2,1,43.75,31.25,6.25,12.50,6.25,1,1.275000000000,0.640000000000,1.275000000000,0.640000000000,3,42.86,0,3,420
PWL,False,0.25,5,29,74,12,7,53,2,0,16.22,9.46,71.62,2.70,0.00,0,0.445000000000,0.477500000000,0.575000000000,0.495000000000,2,16.67,2,0,180
PWL,False,0.25,15,29,74,14,7,53,0,0,18.92,9.46,71.62,0.00,0.00,2,0.872450000000,0.649950000000,0.904950000000,0.649950000000,7,50.00,4,3,240
PWL,False,0.25,30,29,74,14,7,53,0,0,18.92,9.46,71.62,0.00,0.00,4,1.022500000000,0.917500000000,1.022500000000,0.917500000000,7,50.00,4,3,240
PWL,False,0.50,5,29,74,16,11,32,15,0,21.62,14.86,43.24,20.27,0.00,0,0.445000000000,0.477500000000,0.575000000000,0.495000000000,1,6.25,1,0,120
PWL,False,0.50,15,29,74,23,17,32,2,0,31.08,22.97,43.24,2.70,0.00,2,0.872450000000,0.649950000000,0.904950000000,0.649950000000,6,26.09,3,3,300
PWL,False,0.50,30,29,74,24,18,32,0,0,32.43,24.32,43.24,0.00,0.00,4,1.022500000000,0.917500000000,1.022500000000,0.917500000000,10,41.67,4,6,480
PWL,False,1.00,5,29,74,8,7,5,54,0,10.81,9.46,6.76,72.97,0.00,0,0.445000000000,0.477500000000,0.575000000000,0.495000000000,0,0.00,0,0,
PWL,False,1.00,15,29,74,24,24,5,20,1,32.43,32.43,6.76,27.03,1.35,2,0.872450000000,0.649950000000,0.904950000000,0.649950000000,3,12.50,2,1,120
PWL,False,1.00,30,29,74,28,30,5,9,2,37.84,40.54,6.76,12.16,2.70,4,1.022500000000,0.917500000000,1.022500000000,0.917500000000,8,28.57,4,4,390
PWL,None,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,None,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,None,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,None,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,None,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,None,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,None,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,None,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,None,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,True,0.25,5,77,128,18,11,84,15,0,14.06,8.59,65.62,11.72,0.00,2,0.295000000000,0.350000000000,0.490000000000,0.365000000000,6,33.33,6,0,120
1H_HIGH,True,0.25,15,77,128,26,15,84,3,0,20.31,11.72,65.62,2.34,0.00,7,0.460000000000,0.640000000000,0.631300000000,0.665000000000,11,42.31,9,2,180
1H_HIGH,True,0.25,30,77,128,27,17,84,0,0,21.09,13.28,65.62,0.00,0.00,9,0.617500000000,0.790000000000,0.794500000000,0.790000000000,17,62.96,10,7,300
1H_HIGH,True,0.50,5,77,128,15,10,50,53,0,11.72,7.81,39.06,41.41,0.00,2,0.295000000000,0.350000000000,0.490000000000,0.365000000000,2,13.33,2,0,180
1H_HIGH,True,0.50,15,77,128,27,25,50,24,2,21.09,19.53,39.06,18.75,1.56,7,0.460000000000,0.640000000000,0.631300000000,0.665000000000,4,14.81,4,0,180
1H_HIGH,True,0.50,30,77,128,29,33,50,14,2,22.66,25.78,39.06,10.94,1.56,9,0.617500000000,0.790000000000,0.794500000000,0.790000000000,11,37.93,4,7,600
1H_HIGH,True,1.00,5,77,128,11,6,18,92,1,8.59,4.69,14.06,71.88,0.78,2,0.295000000000,0.350000000000,0.490000000000,0.365000000000,2,18.18,2,0,150
1H_HIGH,True,1.00,15,77,128,24,29,18,51,6,18.75,22.66,14.06,39.84,4.69,7,0.460000000000,0.640000000000,0.631300000000,0.665000000000,6,25.00,4,2,180
1H_HIGH,True,1.00,30,77,128,31,35,18,38,6,24.22,27.34,14.06,29.69,4.69,9,0.617500000000,0.790000000000,0.794500000000,0.790000000000,8,25.81,4,4,270
1H_HIGH,False,0.25,5,132,2170,482,221,1275,190,2,22.21,10.18,58.76,8.76,0.09,46,0.310000000000,0.280000000000,0.449900000000,0.300000000000,122,25.31,122,0,120
1H_HIGH,False,0.25,15,132,2170,569,306,1275,18,2,26.22,14.10,58.76,0.83,0.09,105,0.550000000000,0.530000000000,0.630000000000,0.540000000000,281,49.38,192,89,180
1H_HIGH,False,0.25,30,132,2170,579,311,1275,3,2,26.68,14.33,58.76,0.14,0.09,184,0.745000000000,0.710000000000,0.795000000000,0.720000000000,375,64.77,199,176,300
1H_HIGH,False,0.50,5,132,2170,428,348,572,803,19,19.72,16.04,26.36,37.00,0.88,46,0.310000000000,0.280000000000,0.449900000000,0.300000000000,48,11.21,48,0,120
1H_HIGH,False,0.50,15,132,2170,688,609,572,274,27,31.71,28.06,26.36,12.63,1.24,105,0.550000000000,0.530000000000,0.630000000000,0.540000000000,219,31.83,144,75,240
1H_HIGH,False,0.50,30,132,2170,768,689,572,111,30,35.39,31.75,26.36,5.12,1.38,184,0.745000000000,0.710000000000,0.795000000000,0.720000000000,359,46.74,160,199,360
1H_HIGH,False,1.00,5,132,2170,190,176,111,1653,40,8.76,8.11,5.12,76.18,1.84,46,0.310000000000,0.280000000000,0.449900000000,0.300000000000,8,4.21,8,0,90
1H_HIGH,False,1.00,15,132,2170,510,499,111,977,73,23.50,23.00,5.12,45.02,3.36,105,0.550000000000,0.530000000000,0.630000000000,0.540000000000,92,18.04,51,41,300
1H_HIGH,False,1.00,30,132,2170,715,670,111,575,99,32.95,30.88,5.12,26.50,4.56,184,0.745000000000,0.710000000000,0.795000000000,0.720000000000,187,26.15,57,130,480
1H_HIGH,None,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,None,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,None,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,None,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,None,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,None,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,None,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,None,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,None,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,True,0.25,5,67,119,21,6,90,2,0,17.65,5.04,75.63,1.68,0.00,4,0.394500000000,0.400000000000,0.570000000000,0.445000000000,5,23.81,5,0,120
1H_LOW,True,0.25,15,67,119,21,8,90,0,0,17.65,6.72,75.63,0.00,0.00,7,0.730000000000,0.780000000000,0.840000000000,0.800000000000,11,52.38,9,2,240
1H_LOW,True,0.25,30,67,119,21,8,90,0,0,17.65,6.72,75.63,0.00,0.00,13,0.977500000000,1.049700000000,1.040000000000,1.140000000000,14,66.67,9,5,270
1H_LOW,True,0.50,5,67,119,24,26,46,23,0,20.17,21.85,38.66,19.33,0.00,4,0.394500000000,0.400000000000,0.570000000000,0.445000000000,4,16.67,4,0,120
1H_LOW,True,0.50,15,67,119,29,38,46,5,1,24.37,31.93,38.66,4.20,0.84,7,0.730000000000,0.780000000000,0.840000000000,0.800000000000,8,27.59,8,0,150
1H_LOW,True,0.50,30,67,119,31,40,46,1,1,26.05,33.61,38.66,0.84,0.84,13,0.977500000000,1.049700000000,1.040000000000,1.140000000000,16,51.61,8,8,390
1H_LOW,True,1.00,5,67,119,13,12,14,80,0,10.92,10.08,11.76,67.23,0.00,4,0.394500000000,0.400000000000,0.570000000000,0.445000000000,0,0.00,0,0,
1H_LOW,True,1.00,15,67,119,33,34,14,37,1,27.73,28.57,11.76,31.09,0.84,7,0.730000000000,0.780000000000,0.840000000000,0.800000000000,9,27.27,4,5,360
1H_LOW,True,1.00,30,67,119,41,46,14,16,2,34.45,38.66,11.76,13.45,1.68,13,0.977500000000,1.049700000000,1.040000000000,1.140000000000,15,36.59,5,10,420
1H_LOW,False,0.25,5,136,2441,457,240,1645,99,0,18.72,9.83,67.39,4.06,0.00,51,0.360000000000,0.350000000000,0.510000000000,0.370000000000,141,30.85,141,0,120
1H_LOW,False,0.25,15,136,2441,502,284,1645,10,0,20.57,11.63,67.39,0.41,0.00,128,0.620000000000,0.640000000000,0.710000000000,0.640000000000,280,55.78,198,82,180
1H_LOW,False,0.25,30,136,2441,507,287,1645,2,0,20.77,11.76,67.39,0.08,0.00,191,0.856100000000,0.852400000000,0.920000000000,0.860000000000,340,67.06,203,137,240
1H_LOW,False,0.50,5,136,2441,535,420,767,701,18,21.92,17.21,31.42,28.72,0.74,51,0.360000000000,0.350000000000,0.510000000000,0.370000000000,72,13.46,72,0,90
1H_LOW,False,0.50,15,136,2441,765,667,768,214,27,31.34,27.32,31.46,8.77,1.11,128,0.620000000000,0.640000000000,0.710000000000,0.640000000000,297,38.82,201,96,240
1H_LOW,False,0.50,30,136,2441,842,731,768,72,28,34.49,29.95,31.46,2.95,1.15,191,0.856100000000,0.852400000000,0.920000000000,0.860000000000,426,50.59,212,214,360
1H_LOW,False,1.00,5,136,2441,242,227,172,1764,36,9.91,9.30,7.05,72.27,1.47,51,0.360000000000,0.350000000000,0.510000000000,0.370000000000,11,4.55,11,0,120
1H_LOW,False,1.00,15,136,2441,635,655,172,896,83,26.01,26.83,7.05,36.71,3.40,128,0.620000000000,0.640000000000,0.710000000000,0.640000000000,124,19.53,75,49,300
1H_LOW,False,1.00,30,136,2441,868,860,172,448,93,35.56,35.23,7.05,18.35,3.81,191,0.856100000000,0.852400000000,0.920000000000,0.860000000000,248,28.57,91,157,420
1H_LOW,None,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,None,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,None,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,None,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,None,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,None,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,None,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,None,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,None,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
