family,confluence,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,1,0.25,5,170,3697,751,370,2345,230,1,20.31,10.01,63.43,6.22,0.03,61,0.350000000000,0.310000000000,0.490000000000,0.340000000000,215,28.63,215,0,120
ALL,1,0.25,15,170,3697,844,483,2345,24,1,22.83,13.06,63.43,0.65,0.03,159,0.610000000000,0.570000000000,0.692500000000,0.580000000000,432,51.18,304,128,180
ALL,1,0.25,30,170,3697,857,491,2345,3,1,23.18,13.28,63.43,0.08,0.03,263,0.835000000000,0.780000000000,0.880150000000,0.790000000000,550,64.18,312,238,270
ALL,1,0.50,5,170,3697,812,610,1077,1180,18,21.96,16.50,29.13,31.92,0.49,61,0.350000000000,0.310000000000,0.490000000000,0.340000000000,107,13.18,107,0,120
ALL,1,0.50,15,170,3697,1194,1029,1079,361,34,32.30,27.83,29.19,9.76,0.92,159,0.610000000000,0.570000000000,0.692500000000,0.580000000000,443,37.10,304,139,240
ALL,1,0.50,30,170,3697,1312,1142,1079,126,38,35.49,30.89,29.19,3.41,1.03,263,0.835000000000,0.780000000000,0.880150000000,0.790000000000,669,50.99,326,343,360
ALL,1,1.00,5,170,3697,370,320,226,2738,43,10.01,8.66,6.11,74.06,1.16,61,0.350000000000,0.310000000000,0.490000000000,0.340000000000,23,6.22,23,0,120
ALL,1,1.00,15,170,3697,967,892,226,1506,106,26.16,24.13,6.11,40.74,2.87,159,0.610000000000,0.570000000000,0.692500000000,0.580000000000,184,19.03,104,80,300
ALL,1,1.00,30,170,3697,1320,1214,226,803,134,35.70,32.84,6.11,21.72,3.62,263,0.835000000000,0.780000000000,0.880150000000,0.790000000000,406,30.76,131,275,480
ALL,2,0.25,5,136,1812,366,175,1173,98,0,20.20,9.66,64.74,5.41,0.00,39,0.330000000000,0.320000000000,0.480000000000,0.340000000000,108,29.51,108,0,120
ALL,2,0.25,15,136,1812,410,224,1173,5,0,22.63,12.36,64.74,0.28,0.00,86,0.555000000000,0.570000000000,0.650000000000,0.580000000000,229,55.85,157,72,180
ALL,2,0.25,30,136,1812,413,224,1173,2,0,22.79,12.36,64.74,0.11,0.00,135,0.790000000000,0.780000000000,0.860000000000,0.790000000000,277,67.07,162,115,240
ALL,2,0.50,5,136,1812,350,291,541,613,17,19.32,16.06,29.86,33.83,0.94,39,0.330000000000,0.320000000000,0.480000000000,0.340000000000,44,12.57,44,0,120
ALL,2,0.50,15,136,1812,550,514,541,182,25,30.35,28.37,29.86,10.04,1.38,86,0.555000000000,0.570000000000,0.650000000000,0.580000000000,163,29.64,107,56,240
ALL,2,0.50,30,136,1812,610,573,541,61,27,33.66,31.62,29.86,3.37,1.49,135,0.790000000000,0.780000000000,0.860000000000,0.790000000000,268,43.93,118,150,420
ALL,2,1.00,5,136,1812,159,172,126,1321,34,8.77,9.49,6.95,72.90,1.88,39,0.330000000000,0.320000000000,0.480000000000,0.340000000000,7,4.40,7,0,120
ALL,2,1.00,15,136,1812,417,448,126,759,62,23.01,24.72,6.95,41.89,3.42,86,0.555000000000,0.570000000000,0.650000000000,0.580000000000,80,19.18,47,33,300
ALL,2,1.00,30,136,1812,598,588,126,421,79,33.00,32.45,6.95,23.23,4.36,135,0.790000000000,0.780000000000,0.860000000000,0.790000000000,141,23.58,57,84,360
ALL,3+,0.25,5,80,861,168,87,517,86,3,19.51,10.10,60.05,9.99,0.35,24,0.280000000000,0.310000000000,0.440000000000,0.320000000000,31,18.45,31,0,120
ALL,3+,0.25,15,80,861,218,110,517,13,3,25.32,12.78,60.05,1.51,0.35,55,0.487500000000,0.559750000000,0.590000000000,0.570000000000,99,45.41,64,35,240
ALL,3+,0.25,30,80,861,223,114,517,4,3,25.90,13.24,60.05,0.46,0.35,81,0.630000000000,0.735000000000,0.700000000000,0.740000000000,139,62.33,66,73,360
ALL,3+,0.50,5,80,861,164,161,220,303,13,19.05,18.70,25.55,35.19,1.51,24,0.280000000000,0.310000000000,0.440000000000,0.320000000000,20,12.20,20,0,120
ALL,3+,0.50,15,80,861,249,236,220,140,16,28.92,27.41,25.55,16.26,1.86,55,0.487500000000,0.559750000000,0.590000000000,0.570000000000,84,33.73,50,34,300
ALL,3+,0.50,30,80,861,281,276,220,68,16,32.64,32.06,25.55,7.90,1.86,81,0.630000000000,0.735000000000,0.700000000000,0.740000000000,128,45.55,53,75,360
ALL,3+,1.00,5,80,861,58,51,48,688,16,6.74,5.92,5.57,79.91,1.86,24,0.280000000000,0.310000000000,0.440000000000,0.320000000000,0,0.00,0,0,
ALL,3+,1.00,15,80,861,180,230,48,365,38,20.91,26.71,5.57,42.39,4.41,55,0.487500000000,0.559750000000,0.590000000000,0.570000000000,26,14.44,15,11,300
ALL,3+,1.00,30,80,861,236,299,48,237,41,27.41,34.73,5.57,27.53,4.76,81,0.630000000000,0.735000000000,0.700000000000,0.740000000000,46,19.49,15,31,360
PDH,1,0.25,5,32,86,16,10,55,5,0,18.60,11.63,63.95,5.81,0.00,0,0.305000000000,0.325000000000,0.510000000000,0.330000000000,5,31.25,5,0,120
PDH,1,0.25,15,32,86,17,14,55,0,0,19.77,16.28,63.95,0.00,0.00,1,0.545000000000,0.550000000000,0.612500000000,0.550000000000,11,64.71,6,5,240
PDH,1,0.25,30,32,86,17,14,55,0,0,19.77,16.28,63.95,0.00,0.00,4,0.660000000000,0.718550000000,0.724500000000,0.718550000000,11,64.71,6,5,240
PDH,1,0.50,5,32,86,23,11,24,28,0,26.74,12.79,27.91,32.56,0.00,0,0.305000000000,0.325000000000,0.510000000000,0.330000000000,5,21.74,5,0,120
PDH,1,0.50,15,32,86,28,23,24,10,1,32.56,26.74,27.91,11.63,1.16,1,0.545000000000,0.550000000000,0.612500000000,0.550000000000,17,60.71,12,5,180
PDH,1,0.50,30,32,86,34,26,24,1,1,39.53,30.23,27.91,1.16,1.16,4,0.660000000000,0.718550000000,0.724500000000,0.718550000000,20,58.82,12,8,270
PDH,1,1.00,5,32,86,9,4,2,71,0,10.47,4.65,2.33,82.56,0.00,0,0.305000000000,0.325000000000,0.510000000000,0.330000000000,1,11.11,1,0,60
PDH,1,1.00,15,32,86,22,14,2,47,1,25.58,16.28,2.33,54.65,1.16,1,0.545000000000,0.550000000000,0.612500000000,0.550000000000,8,36.36,5,3,270
