family,confluence,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,True,0.25,5,102,713,131,78,431,70,3,18.37,10.94,60.45,9.82,0.42,14,0.300000000000,0.340000000000,0.450000000000,0.350000000000,28,21.37,28,0,120
ALL,True,0.25,15,102,713,167,101,431,11,3,23.42,14.17,60.45,1.54,0.42,29,0.495000000000,0.555000000000,0.590000000000,0.570000000000,74,44.31,52,22,240
ALL,True,0.25,30,102,713,171,103,431,5,3,23.98,14.45,60.45,0.70,0.42,53,0.710000000000,0.775000000000,0.789000000000,0.790000000000,105,61.40,54,51,300
ALL,True,0.50,5,102,713,128,129,216,232,8,17.95,18.09,30.29,32.54,1.12,14,0.300000000000,0.340000000000,0.450000000000,0.350000000000,12,9.38,12,0,120
ALL,True,0.50,15,102,713,192,196,216,99,10,26.93,27.49,30.29,13.88,1.40,29,0.495000000000,0.555000000000,0.590000000000,0.570000000000,41,21.35,27,14,180
ALL,True,0.50,30,102,713,220,220,216,45,12,30.86,30.86,30.29,6.31,1.68,53,0.710000000000,0.775000000000,0.789000000000,0.790000000000,89,40.45,33,56,540
ALL,True,1.00,5,102,713,42,69,58,536,8,5.89,9.68,8.13,75.18,1.12,14,0.300000000000,0.340000000000,0.450000000000,0.350000000000,2,4.76,2,0,120
ALL,True,1.00,15,102,713,136,192,58,306,21,19.07,26.93,8.13,42.92,2.95,29,0.495000000000,0.555000000000,0.590000000000,0.570000000000,23,16.91,12,11,300
ALL,True,1.00,30,102,713,197,255,58,176,27,27.63,35.76,8.13,24.68,3.79,53,0.710000000000,0.775000000000,0.789000000000,0.790000000000,51,25.89,14,37,420
ALL,False,0.25,5,170,5657,1154,554,3604,344,1,20.40,9.79,63.71,6.08,0.02,110,0.340000000000,0.310000000000,0.480000000000,0.330000000000,326,28.25,326,0,120
ALL,False,0.25,15,170,5657,1305,716,3604,31,1,23.07,12.66,63.71,0.55,0.02,271,0.590000000000,0.570000000000,0.680000000000,0.580000000000,686,52.57,473,213,180
ALL,False,0.25,30,170,5657,1322,726,3604,4,1,23.37,12.83,63.71,0.07,0.02,426,0.800000000000,0.771000000000,0.860000000000,0.780000000000,861,65.13,486,375,240
ALL,False,0.50,5,170,5657,1198,933,1622,1864,40,21.18,16.49,28.67,32.95,0.71,110,0.340000000000,0.310000000000,0.480000000000,0.330000000000,159,13.27,159,0,120
ALL,False,0.50,15,170,5657,1801,1583,1624,584,65,31.84,27.98,28.71,10.32,1.15,271,0.590000000000,0.570000000000,0.680000000000,0.580000000000,649,36.04,434,215,240
ALL,False,0.50,30,170,5657,1983,1771,1624,210,69,35.05,31.31,28.71,3.71,1.22,426,0.800000000000,0.771000000000,0.860000000000,0.780000000000,976,49.22,464,512,360
ALL,False,1.00,5,170,5657,545,474,342,4211,85,9.63,8.38,6.05,74.44,1.50,110,0.340000000000,0.310000000000,0.480000000000,0.330000000000,28,5.14,28,0,120
ALL,False,1.00,15,170,5657,1428,1378,342,2324,185,25.24,24.36,6.05,41.08,3.27,271,0.590000000000,0.570000000000,0.680000000000,0.580000000000,267,18.70,154,113,300
ALL,False,1.00,30,170,5657,1957,1846,342,1285,227,34.59,32.63,6.05,22.72,4.01,426,0.800000000000,0.771000000000,0.860000000000,0.780000000000,542,27.70,189,353,420
PDH,True,0.25,5,45,112,17,14,60,20,1,15.18,12.50,53.57,17.86,0.89,2,0.227500000000,0.287500000000,0.330000000000,0.292550000000,6,35.29,6,0,90
PDH,True,0.25,15,45,112,26,21,60,4,1,23.21,18.75,53.57,3.57,0.89,5,0.350000000000,0.530000000000,0.455000000000,0.530000000000,10,38.46,8,2,150
PDH,True,0.25,30,45,112,28,22,60,1,1,25.00,19.64,53.57,0.89,0.89,7,0.492500000000,0.635000000000,0.589950000000,0.635000000000,13,46.43,9,4,180
