family,time_of_day,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,11:00-12:00,1.00,30,152,906,350,298,27,231,0,38.63,32.89,2.98,25.50,0.00,0,0.820000000000,0.740000000000,0.860000000000,0.740000000000,82,23.43,24,58,480
ALL,12:00-14:00,0.25,5,156,1471,316,203,783,169,0,21.48,13.80,53.23,11.49,0.00,0,0.280000000000,0.245000000000,0.390000000000,0.270000000000,69,21.84,69,0,120
ALL,12:00-14:00,0.25,15,156,1471,382,287,783,19,0,25.97,19.51,53.23,1.29,0.00,0,0.500000000000,0.470000000000,0.550000000000,0.475000000000,184,48.17,126,58,180
ALL,12:00-14:00,0.25,30,156,1471,390,295,783,3,0,26.51,20.05,53.23,0.20,0.00,0,0.700000000000,0.650000000000,0.730000000000,0.650000000000,248,63.59,128,120,300
ALL,12:00-14:00,0.50,5,156,1471,256,230,284,701,0,17.40,15.64,19.31,47.65,0.00,0,0.280000000000,0.245000000000,0.390000000000,0.270000000000,17,6.64,17,0,120
ALL,12:00-14:00,0.50,15,156,1471,471,445,284,271,0,32.02,30.25,19.31,18.42,0.00,0,0.500000000000,0.470000000000,0.550000000000,0.475000000000,126,26.75,77,49,300
ALL,12:00-14:00,0.50,30,156,1471,549,533,284,105,0,37.32,36.23,19.31,7.14,0.00,0,0.700000000000,0.650000000000,0.730000000000,0.650000000000,239,43.53,85,154,420
ALL,12:00-14:00,1.00,5,156,1471,81,64,51,1275,0,5.51,4.35,3.47,86.68,0.00,0,0.280000000000,0.245000000000,0.390000000000,0.270000000000,2,2.47,2,0,120
ALL,12:00-14:00,1.00,15,156,1471,307,258,51,855,0,20.87,17.54,3.47,58.12,0.00,0,0.500000000000,0.470000000000,0.550000000000,0.475000000000,41,13.36,29,12,300
ALL,12:00-14:00,1.00,30,156,1471,468,398,51,554,0,31.82,27.06,3.47,37.66,0.00,0,0.700000000000,0.650000000000,0.730000000000,0.650000000000,107,22.86,38,69,480
ALL,14:00-15:00,0.25,5,139,714,147,77,389,101,0,20.59,10.78,54.48,14.15,0.00,0,0.270000000000,0.230000000000,0.395000000000,0.242500000000,24,16.33,24,0,120
ALL,14:00-15:00,0.25,15,139,714,197,116,389,12,0,27.59,16.25,54.48,1.68,0.00,0,0.476250000000,0.425000000000,0.560000000000,0.432500000000,83,42.13,49,34,240
ALL,14:00-15:00,0.25,30,139,714,205,119,389,1,0,28.71,16.67,54.48,0.14,0.00,0,0.640100000000,0.590000000000,0.700000000000,0.590000000000,131,63.90,55,76,420
ALL,14:00-15:00,0.50,5,139,714,117,104,160,333,0,16.39,14.57,22.41,46.64,0.00,0,0.270000000000,0.230000000000,0.395000000000,0.242500000000,14,11.97,14,0,120
ALL,14:00-15:00,0.50,15,139,714,217,191,160,146,0,30.39,26.75,22.41,20.45,0.00,0,0.476250000000,0.425000000000,0.560000000000,0.432500000000,60,27.65,37,23,240
ALL,14:00-15:00,0.50,30,139,714,251,221,160,82,0,35.15,30.95,22.41,11.48,0.00,0,0.640100000000,0.590000000000,0.700000000000,0.590000000000,116,46.22,46,70,420
ALL,14:00-15:00,1.00,5,139,714,37,36,60,581,0,5.18,5.04,8.40,81.37,0.00,0,0.270000000000,0.230000000000,0.395000000000,0.242500000000,3,8.11,3,0,120
ALL,14:00-15:00,1.00,15,139,714,119,125,60,410,0,16.67,17.51,8.40,57.42,0.00,0,0.476250000000,0.425000000000,0.560000000000,0.432500000000,17,14.29,7,10,360
ALL,14:00-15:00,1.00,30,139,714,196,180,60,278,0,27.45,25.21,8.40,38.94,0.00,0,0.640100000000,0.590000000000,0.700000000000,0.590000000000,48,24.49,12,36,510
ALL,15:00-close,0.25,5,141,875,177,101,508,85,4,20.23,11.54,58.06,9.71,0.46,124,0.245000000000,0.240000000000,0.400000000000,0.270000000000,47,26.55,47,0,120
ALL,15:00-close,0.25,15,141,875,217,138,508,8,4,24.80,15.77,58.06,0.91,0.46,300,0.410700000000,0.430000000000,0.510000000000,0.450000000000,103,47.47,72,31,180
ALL,15:00-close,0.25,30,141,875,221,138,508,4,4,25.26,15.77,58.06,0.46,0.46,479,0.500000000000,0.570000000000,0.610000000000,0.600000000000,127,57.47,76,51,240
ALL,15:00-close,0.50,5,141,875,136,129,201,361,48,15.54,14.74,22.97,41.26,5.49,124,0.245000000000,0.240000000000,0.400000000000,0.270000000000,7,5.15,7,0,120
ALL,15:00-close,0.50,15,141,875,233,245,202,120,75,26.63,28.00,23.09,13.71,8.57,300,0.410700000000,0.430000000000,0.510000000000,0.450000000000,60,25.75,40,20,240
