family,multiple_breach_episodes,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
1H_LOW,2+,1.00,5,134,2382,232,223,168,1723,36,9.74,9.36,7.05,72.33,1.51,50,0.360000000000,0.350000000000,0.510000000000,0.370000000000,11,4.74,11,0,120
1H_LOW,2+,1.00,15,134,2382,615,640,168,876,83,25.82,26.87,7.05,36.78,3.48,126,0.610000000000,0.640000000000,0.700000000000,0.640000000000,123,20.00,75,48,300
1H_LOW,2+,1.00,30,134,2382,842,840,168,439,93,35.35,35.26,7.05,18.43,3.90,188,0.850000000000,0.855000000000,0.920000000000,0.860000000000,244,28.98,91,153,420
1H_LOW,UNKNOWN,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,UNKNOWN,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,UNKNOWN,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,UNKNOWN,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,UNKNOWN,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,UNKNOWN,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,UNKNOWN,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,UNKNOWN,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,UNKNOWN,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
