family,confluence,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,1,0.25,5,170,4932,1001,495,3138,297,1,20.30,10.04,63.63,6.02,0.02,99,0.340000000000,0.320000000000,0.480000000000,0.340000000000,288,28.77,288,0,120
ALL,1,0.25,15,170,4932,1126,641,3138,26,1,22.83,13.00,63.63,0.53,0.02,230,0.590000000000,0.579900000000,0.679900000000,0.590000000000,584,51.87,411,173,180
ALL,1,0.25,30,170,4932,1139,650,3138,4,1,23.09,13.18,63.63,0.08,0.02,362,0.810000000000,0.780000000000,0.868000000000,0.790000000000,732,64.27,422,310,240
ALL,1,0.50,5,170,4932,1041,809,1432,1616,34,21.11,16.40,29.03,32.77,0.69,99,0.340000000000,0.320000000000,0.480000000000,0.340000000000,145,13.93,145,0,120
ALL,1,0.50,15,170,4932,1563,1391,1434,491,53,31.69,28.20,29.08,9.96,1.07,230,0.590000000000,0.579900000000,0.679900000000,0.590000000000,565,36.15,383,182,240
ALL,1,0.50,30,170,4932,1724,1552,1434,165,57,34.96,31.47,29.08,3.35,1.16,362,0.810000000000,0.780000000000,0.868000000000,0.790000000000,846,49.07,412,434,360
ALL,1,1.00,5,170,4932,477,423,304,3651,77,9.67,8.58,6.16,74.03,1.56,99,0.340000000000,0.320000000000,0.480000000000,0.340000000000,28,5.87,28,0,120
ALL,1,1.00,15,170,4932,1254,1208,304,2009,157,25.43,24.49,6.16,40.73,3.18,230,0.590000000000,0.579900000000,0.679900000000,0.590000000000,243,19.38,140,103,300
ALL,1,1.00,30,170,4932,1729,1626,304,1080,193,35.06,32.97,6.16,21.90,3.91,362,0.810000000000,0.780000000000,0.868000000000,0.790000000000,497,28.74,175,322,420
ALL,2,0.25,5,121,1301,254,131,826,90,0,19.52,10.07,63.49,6.92,0.00,18,0.329750000000,0.320000000000,0.475000000000,0.340000000000,63,24.80,63,0,120
ALL,2,0.25,15,121,1301,295,167,826,13,0,22.67,12.84,63.49,1.00,0.00,55,0.560000000000,0.570000000000,0.656500000000,0.580000000000,156,52.88,107,49,240
