family,confluence,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
PDH,1,0.50,5,42,122,29,18,40,35,0,23.77,14.75,32.79,28.69,0.00,0,0.325000000000,0.357500000000,0.525000000000,0.373300000000,6,20.69,6,0,90
PDH,1,0.50,15,42,122,36,34,40,11,1,29.51,27.87,32.79,9.02,0.82,4,0.537500000000,0.562500000000,0.620000000000,0.567500000000,18,50.00,13,5,180
PDH,1,0.50,30,42,122,43,37,40,1,1,35.25,30.33,32.79,0.82,0.82,7,0.650000000000,0.750000000000,0.755000000000,0.752500000000,24,55.81,14,10,270
PDH,1,1.00,5,42,122,10,8,10,94,0,8.20,6.56,8.20,77.05,0.00,0,0.325000000000,0.357500000000,0.525000000000,0.373300000000,1,10.00,1,0,60
PDH,1,1.00,15,42,122,29,26,10,54,3,23.77,21.31,8.20,44.26,2.46,4,0.537500000000,0.562500000000,0.620000000000,0.567500000000,8,27.59,5,3,270
PDH,1,1.00,30,42,122,40,40,10,29,3,32.79,32.79,8.20,23.77,2.46,7,0.650000000000,0.750000000000,0.755000000000,0.752500000000,11,27.50,7,4,300
PDH,2,0.25,5,38,98,16,14,54,14,0,16.33,14.29,55.10,14.29,0.00,0,0.238750000000,0.337500000000,0.335000000000,0.337500000000,6,37.50,6,0,90
PDH,2,0.25,15,38,98,21,20,54,3,0,21.43,20.41,55.10,3.06,0.00,2,0.372500000000,0.570000000000,0.465000000000,0.570000000000,10,47.62,8,2,150
PDH,2,0.25,30,38,98,23,21,54,0,0,23.47,21.43,55.10,0.00,0.00,4,0.535000000000,0.665000000000,0.644900000000,0.665000000000,12,52.17,9,3,180
PDH,2,0.50,5,38,98,18,18,22,40,0,18.37,18.37,22.45,40.82,0.00,0,0.238750000000,0.337500000000,0.335000000000,0.337500000000,2,11.11,2,0,120
PDH,2,0.50,15,38,98,23,32,22,20,1,23.47,32.65,22.45,20.41,1.02,2,0.372500000000,0.570000000000,0.465000000000,0.570000000000,2,8.70,2,0,120
PDH,2,0.50,30,38,98,28,37,22,10,1,28.57,37.76,22.45,10.20,1.02,4,0.535000000000,0.665000000000,0.644900000000,0.665000000000,5,17.86,2,3,480
PDH,2,1.00,5,38,98,4,9,9,76,0,4.08,9.18,9.18,77.55,0.00,0,0.238750000000,0.337500000000,0.335000000000,0.337500000000,1,25.00,1,0,120
PDH,2,1.00,15,38,98,12,23,9,52,2,12.24,23.47,9.18,53.06,2.04,2,0.372500000000,0.570000000000,0.465000000000,0.570000000000,1,8.33,1,0,120
PDH,2,1.00,30,38,98,24,32,9,30,3,24.49,32.65,9.18,30.61,3.06,4,0.535000000000,0.665000000000,0.644900000000,0.665000000000,2,8.33,1,1,240
PDH,3+,0.25,5,6,13,1,0,5,6,1,7.69,0.00,38.46,46.15,7.69,2,0.180000000000,0.130000000000,0.190000000000,0.210000000000,0,0.00,0,0,
PDH,3+,0.25,15,6,13,5,1,5,1,1,38.46,7.69,38.46,7.69,7.69,3,0.280700000000,0.210000000000,0.350000000000,0.220000000000,0,0.00,0,0,
PDH,3+,0.25,30,6,13,5,1,5,1,1,38.46,7.69,38.46,7.69,7.69,3,0.350000000000,0.210000000000,0.415000000000,0.220000000000,1,20.00,0,1,900
PDH,3+,0.50,5,6,13,0,0,3,8,2,0.00,0.00,23.08,61.54,15.38,2,0.180000000000,0.130000000000,0.190000000000,0.210000000000,0,,0,0,
PDH,3+,0.50,15,6,13,1,2,3,5,2,7.69,15.38,23.08,38.46,15.38,3,0.280700000000,0.210000000000,0.350000000000,0.220000000000,0,0.00,0,0,
PDH,3+,0.50,30,6,13,3,2,3,3,2,23.08,15.38,23.08,23.08,15.38,3,0.350000000000,0.210000000000,0.415000000000,0.220000000000,0,0.00,0,0,
PDH,3+,1.00,5,6,13,0,0,0,11,2,0.00,0.00,0.00,84.62,15.38,2,0.180000000000,0.130000000000,0.190000000000,0.210000000000,0,,0,0,
PDH,3+,1.00,15,6,13,1,2,0,7,3,7.69,15.38,0.00,53.85,23.08,3,0.280700000000,0.210000000000,0.350000000000,0.220000000000,1,100.00,0,1,360
PDH,3+,1.00,30,6,13,2,2,0,6,3,15.38,15.38,0.00,46.15,23.08,3,0.350000000000,0.210000000000,0.415000000000,0.220000000000,1,50.00,0,1,360
PDL,1,0.25,5,32,116,26,17,68,5,0,22.41,14.66,58.62,4.31,0.00,0,0.290000000000,0.330050000000,0.460000000000,0.355000000000,7,26.92,7,0,60
PDL,1,0.25,15,32,116,28,19,68,1,0,24.14,16.38,58.62,0.86,0.00,6,0.525000000000,0.525000000000,0.595000000000,0.525000000000,20,71.43,11,9,240
PDL,1,0.25,30,32,116,29,19,68,0,0,25.00,16.38,58.62,0.00,0.00,7,0.685000000000,0.715050000000,0.775000000000,0.715050000000,21,72.41,11,10,300
PDL,1,0.50,5,32,116,24,26,31,35,0,20.69,22.41,26.72,30.17,0.00,0,0.290000000000,0.330050000000,0.460000000000,0.355000000000,1,4.17,1,0,180
PDL,1,0.50,15,32,116,35,38,31,11,1,30.17,32.76,26.72,9.48,0.86,6,0.525000000000,0.525000000000,0.595000000000,0.525000000000,10,28.57,5,5,330
PDL,1,0.50,30,32,116,39,42,31,3,1,33.62,36.21,26.72,2.59,0.86,7,0.685000000000,0.715050000000,0.775000000000,0.715050000000,18,46.15,6,12,570
PDL,1,1.00,5,32,116,13,10,5,88,0,11.21,8.62,4.31,75.86,0.00,0,0.290000000000,0.330050000000,0.460000000000,0.355000000000,2,15.38,2,0,150
PDL,1,1.00,15,32,116,26,24,5,55,6,22.41,20.69,4.31,47.41,5.17,6,0.525000000000,0.525000000000,0.595000000000,0.525000000000,5,19.23,2,3,420
PDL,1,1.00,30,32,116,35,40,5,30,6,30.17,34.48,4.31,25.86,5.17,7,0.685000000000,0.715050000000,0.775000000000,0.715050000000,9,25.71,2,7,660
PDL,2,0.25,5,33,95,25,9,61,0,0,26.32,9.47,64.21,0.00,0.00,2,0.360000000000,0.400000000000,0.530000000000,0.430000000000,5,20.00,5,0,60
PDL,2,0.25,15,33,95,25,9,61,0,0,26.32,9.47,64.21,0.00,0.00,4,0.660000000000,0.525000000000,0.780000000000,0.585000000000,12,48.00,8,4,240
PDL,2,0.25,30,33,95,25,9,61,0,0,26.32,9.47,64.21,0.00,0.00,7,0.879000000000,0.880000000000,0.985000000000,0.880000000000,17,68.00,8,9,420
PDL,2,0.50,5,33,95,22,26,29,18,0,23.16,27.37,30.53,18.95,0.00,2,0.360000000000,0.400000000000,0.530000000000,0.430000000000,2,9.09,2,0,120
PDL,2,0.50,15,33,95,35,27,29,4,0,36.84,28.42,30.53,4.21,0.00,4,0.660000000000,0.525000000000,0.780000000000,0.585000000000,8,22.86,4,4,300
PDL,2,0.50,30,33,95,36,29,29,1,0,37.89,30.53,30.53,1.05,0.00,7,0.879000000000,0.880000000000,0.985000000000,0.880000000000,15,41.67,5,10,480
PDL,2,1.00,5,33,95,10,10,9,66,0,10.53,10.53,9.47,69.47,0.00,2,0.360000000000,0.400000000000,0.530000000000,0.430000000000,0,0.00,0,0,
PDL,2,1.00,15,33,95,25,25,9,34,2,26.32,26.32,9.47,35.79,2.11,4,0.660000000000,0.525000000000,0.780000000000,0.585000000000,5,20.00,4,1,180
PDL,2,1.00,30,33,95,36,35,9,13,2,37.89,36.84,9.47,13.68,2.11,7,0.879000000000,0.880000000000,0.985000000000,0.880000000000,11,30.56,4,7,360
PDL,3+,0.25,5,1,2,0,0,2,0,0,0.00,0.00,100.00,0.00,0.00,0,0.330000000000,0.880000000000,0.550000000000,0.880000000000,0,,0,0,
PDL,3+,0.25,15,1,2,0,0,2,0,0,0.00,0.00,100.00,0.00,0.00,0,0.655000000000,1.480000000000,0.875000000000,1.480000000000,0,,0,0,
PDL,3+,0.25,30,1,2,0,0,2,0,0,0.00,0.00,100.00,0.00,0.00,0,1.485000000000,1.495000000000,1.485000000000,1.495000000000,0,,0,0,
PDL,3+,0.50,5,1,2,0,1,1,0,0,0.00,50.00,50.00,0.00,0.00,0,0.330000000000,0.880000000000,0.550000000000,0.880000000000,0,,0,0,
PDL,3+,0.50,15,1,2,0,1,1,0,0,0.00,50.00,50.00,0.00,0.00,0,0.655000000000,1.480000000000,0.875000000000,1.480000000000,0,,0,0,
PDL,3+,0.50,30,1,2,0,1,1,0,0,0.00,50.00,50.00,0.00,0.00,0,1.485000000000,1.495000000000,1.485000000000,1.495000000000,0,,0,0,
PDL,3+,1.00,5,1,2,0,1,0,1,0,0.00,50.00,0.00,50.00,0.00,0,0.330000000000,0.880000000000,0.550000000000,0.880000000000,0,,0,0,
PDL,3+,1.00,15,1,2,0,2,0,0,0,0.00,100.00,0.00,0.00,0.00,0,0.655000000000,1.480000000000,0.875000000000,1.480000000000,0,,0,0,
PDL,3+,1.00,30,1,2,0,2,0,0,0,0.00,100.00,0.00,0.00,0.00,0,1.485000000000,1.495000000000,1.485000000000,1.495000000000,0,,0,0,
PMH,1,0.25,5,2,3,1,0,2,0,0,33.33,0.00,66.67,0.00,0.00,0,0.630000000000,0.690000000000,0.630000000000,0.690000000000,0,0.00,0,0,
PMH,1,0.25,15,2,3,1,0,2,0,0,33.33,0.00,66.67,0.00,0.00,0,1.200000000000,0.740000000000,1.200000000000,0.740000000000,0,0.00,0,0,
PMH,1,0.25,30,2,3,1,0,2,0,0,33.33,0.00,66.67,0.00,0.00,0,2.160000000000,0.740000000000,2.160000000000,0.740000000000,0,0.00,0,0,
PMH,1,0.50,5,2,3,2,1,0,0,0,66.67,33.33,0.00,0.00,0.00,0,0.630000000000,0.690000000000,0.630000000000,0.690000000000,1,50.00,1,0,60
PMH,1,0.50,15,2,3,2,1,0,0,0,66.67,33.33,0.00,0.00,0.00,0,1.200000000000,0.740000000000,1.200000000000,0.740000000000,1,50.00,1,0,60
PMH,1,0.50,30,2,3,2,1,0,0,0,66.67,33.33,0.00,0.00,0.00,0,2.160000000000,0.740000000000,2.160000000000,0.740000000000,1,50.00,1,0,60
PMH,1,1.00,5,2,3,1,0,0,2,0,33.33,0.00,0.00,66.67,0.00,0,0.630000000000,0.690000000000,0.630000000000,0.690000000000,0,0.00,0,0,
PMH,1,1.00,15,2,3,2,0,0,1,0,66.67,0.00,0.00,33.33,0.00,0,1.200000000000,0.740000000000,1.200000000000,0.740000000000,0,0.00,0,0,
