family,one_retest_rejection,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
PWL,False,1.00,30,33,85,30,35,6,11,3,35.29,41.18,7.06,12.94,3.53,5,0.985000000000,0.990000000000,0.985000000000,0.990000000000,9,30.00,4,5,420
1H_HIGH,True,0.25,5,9,9,9,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.310000000000,0.060000000000,0.310000000000,0.085000000000,2,22.22,2,0,90
1H_HIGH,True,0.25,15,36,45,45,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.430000000000,0.170000000000,0.430000000000,0.170000000000,12,26.67,10,2,150
1H_HIGH,True,0.25,30,36,48,48,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,0.543000000000,0.220050000000,0.543000000000,0.220050000000,29,60.42,11,18,540
1H_HIGH,True,0.50,5,7,8,8,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.562500000000,0.195000000000,0.562500000000,0.195000000000,2,25.00,2,0,60
1H_HIGH,True,0.50,15,55,81,81,0,0,0,0,100.00,0.00,0.00,0.00,0.00,4,0.720000000000,0.225000000000,0.720000000000,0.230000000000,17,20.99,13,4,120
1H_HIGH,True,0.50,30,65,116,116,0,0,0,0,100.00,0.00,0.00,0.00,0.00,12,0.877500000000,0.255000000000,0.877500000000,0.260000000000,46,39.66,19,27,360
1H_HIGH,True,1.00,5,3,3,3,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.380000000000,0.340000000000,1.380000000000,0.360000000000,1,33.33,1,0,60
1H_HIGH,True,1.00,15,40,69,69,0,0,0,0,100.00,0.00,0.00,0.00,0.00,4,1.410000000000,0.330000000000,1.410000000000,0.340000000000,9,13.04,6,3,240
1H_HIGH,True,1.00,30,70,159,159,0,0,0,0,100.00,0.00,0.00,0.00,0.00,11,1.475000000000,0.470000000000,1.475000000000,0.470000000000,26,16.35,9,17,420
1H_HIGH,False,0.25,5,140,2289,491,232,1359,205,2,21.45,10.14,59.37,8.96,0.09,48,0.310000000000,0.290000000000,0.450000000000,0.310000000000,126,25.66,126,0,120
1H_HIGH,False,0.25,15,140,2253,550,321,1359,21,2,24.41,14.25,60.32,0.93,0.09,112,0.550000000000,0.540000000000,0.640000000000,0.550000000000,280,50.91,191,89,180
1H_HIGH,False,0.25,30,140,2250,558,328,1359,3,2,24.80,14.58,60.40,0.13,0.09,192,0.750000000000,0.735000000000,0.800000000000,0.740000000000,363,65.05,198,165,300
1H_HIGH,False,0.50,5,140,2290,435,358,622,856,19,19.00,15.63,27.16,37.38,0.83,48,0.310000000000,0.290000000000,0.449900000000,0.310000000000,48,11.03,48,0,120
1H_HIGH,False,0.50,15,140,2217,634,634,622,298,29,28.60,28.60,28.06,13.44,1.31,108,0.520000000000,0.550000000000,0.622500000000,0.560000000000,206,32.49,135,71,240
1H_HIGH,False,0.50,30,140,2182,681,722,622,125,32,31.21,33.09,28.51,5.73,1.47,181,0.720000000000,0.750000000000,0.780000000000,0.769500000000,324,47.58,145,179,360
1H_HIGH,False,1.00,5,140,2295,198,182,129,1745,41,8.63,7.93,5.62,76.03,1.79,48,0.310000000000,0.290000000000,0.450000000000,0.309450000000,9,4.55,9,0,120
1H_HIGH,False,1.00,15,140,2229,465,528,129,1028,79,20.86,23.69,5.79,46.12,3.54,108,0.520000000000,0.540000000000,0.610000000000,0.550000000000,89,19.14,49,40,300
1H_HIGH,False,1.00,30,140,2139,587,705,129,613,105,27.44,32.96,6.03,28.66,4.91,182,0.677500000000,0.760000000000,0.735000000000,0.770000000000,169,28.79,52,117,480
1H_LOW,True,0.25,5,6,7,7,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.380000000000,0.070000000000,0.380000000000,0.070000000000,0,0.00,0,0,
1H_LOW,True,0.25,15,16,20,20,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.464950000000,0.122500000000,0.464950000000,0.122500000000,6,30.00,4,2,210
1H_LOW,True,0.25,30,16,23,23,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,0.610000000000,0.160000000000,0.610000000000,0.160000000000,13,56.52,6,7,480
1H_LOW,True,0.50,5,16,21,21,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.690000000000,0.100000000000,0.690000000000,0.150000000000,1,4.76,1,0,120
1H_LOW,True,0.50,15,61,101,101,0,0,0,0,100.00,0.00,0.00,0.00,0.00,2,0.735000000000,0.200300000000,0.735000000000,0.210000000000,25,24.75,16,9,240
1H_LOW,True,0.50,30,70,126,126,0,0,0,0,100.00,0.00,0.00,0.00,0.00,6,0.989500000000,0.344000000000,0.989500000000,0.344000000000,68,53.97,24,44,420
1H_LOW,True,1.00,5,8,9,9,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.280000000000,0.100000000000,1.280000000000,0.120000000000,0,0.00,0,0,
1H_LOW,True,1.00,15,55,100,100,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,1.429850000000,0.282500000000,1.429850000000,0.305000000000,11,11.00,8,3,240
1H_LOW,True,1.00,30,77,191,191,0,0,0,0,100.00,0.00,0.00,0.00,0.00,3,1.610000000000,0.470000000000,1.610000000000,0.475000000000,46,24.08,20,26,390
1H_LOW,False,0.25,5,140,2553,471,246,1735,101,0,18.45,9.64,67.96,3.96,0.00,55,0.360000000000,0.351750000000,0.510000000000,0.370550000000,146,31.00,146,0,120
1H_LOW,False,0.25,15,140,2540,503,292,1735,10,0,19.80,11.50,68.31,0.39,0.00,135,0.630000000000,0.650000000000,0.717500000000,0.655000000000,285,56.66,203,82,180
1H_LOW,False,0.25,30,140,2537,505,295,1735,2,0,19.91,11.63,68.39,0.08,0.00,203,0.860000000000,0.863600000000,0.930000000000,0.870000000000,341,67.52,206,135,240
1H_LOW,False,0.50,5,140,2539,538,446,813,724,18,21.19,17.57,32.02,28.52,0.71,55,0.360000000000,0.358000000000,0.510000000000,0.376250000000,75,13.94,75,0,60
1H_LOW,False,0.50,15,140,2459,693,705,814,219,28,28.18,28.67,33.10,8.91,1.14,133,0.600000000000,0.670000000000,0.710000000000,0.680000000000,280,40.40,193,87,240
1H_LOW,False,0.50,30,140,2434,747,771,814,73,29,30.69,31.68,33.44,3.00,1.19,198,0.840000000000,0.890000000000,0.920000000000,0.895000000000,374,50.07,196,178,300
1H_LOW,False,1.00,5,140,2551,246,239,186,1844,36,9.64,9.37,7.29,72.29,1.41,55,0.360000000000,0.351750000000,0.510000000000,0.370550000000,11,4.47,11,0,120
1H_LOW,False,1.00,15,140,2460,568,689,186,933,84,23.09,28.01,7.56,37.93,3.41,134,0.590000000000,0.665000000000,0.690000000000,0.677000000000,122,21.48,71,51,300
1H_LOW,False,1.00,30,140,2369,718,906,186,464,95,30.31,38.24,7.85,19.59,4.01,201,0.770000000000,0.920000000000,0.850000000000,0.930000000000,217,30.22,76,141,420
