family,one_retest_rejection,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
PDH,False,1.00,5,86,233,14,17,19,181,2,6.01,7.30,8.15,77.68,0.86,2,0.270000000000,0.330000000000,0.440000000000,0.335000000000,2,14.29,2,0,90
PDH,False,1.00,15,85,228,37,51,19,113,8,16.23,22.37,8.33,49.56,3.51,9,0.395000000000,0.562500000000,0.525000000000,0.567500000000,10,27.03,6,4,270
PDH,False,1.00,30,84,222,55,74,19,65,9,24.77,33.33,8.56,29.28,4.05,14,0.579950000000,0.743550000000,0.637500000000,0.748550000000,12,21.82,7,5,270
PDL,True,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,True,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,True,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,True,0.50,5,3,3,3,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.650000000000,0.170000000000,0.650000000000,0.170000000000,0,0.00,0,0,
PDL,True,0.50,15,8,8,8,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.760000000000,0.220000000000,0.760000000000,0.220000000000,2,25.00,0,2,540
PDL,True,0.50,30,8,8,8,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.050000000000,0.260000000000,1.050000000000,0.260000000000,4,50.00,0,4,690
PDL,True,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
