family,rejection_path,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,MULTIPLE_TESTS,0.25,30,13,22,22,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.432500000000,0.167500000000,0.432500000000,0.167500000000,10,45.45,7,3,240
ALL,MULTIPLE_TESTS,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ALL,MULTIPLE_TESTS,0.50,15,29,39,39,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,0.600000000000,0.168000000000,0.600000000000,0.168000000000,3,7.69,3,0,180
ALL,MULTIPLE_TESTS,0.50,30,64,109,109,0,0,0,0,100.00,0.00,0.00,0.00,0.00,8,0.730000000000,0.255000000000,0.730000000000,0.255000000000,24,22.02,14,10,300
ALL,MULTIPLE_TESTS,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ALL,MULTIPLE_TESTS,1.00,15,28,35,35,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,1.270000000000,0.310000000000,1.270000000000,0.310000000000,3,8.57,3,0,300
ALL,MULTIPLE_TESTS,1.00,30,92,175,175,0,0,0,0,100.00,0.00,0.00,0.00,0.00,7,1.429900000000,0.462500000000,1.429900000000,0.462500000000,19,10.86,7,12,480
ALL,NO_CONFIRMED_REJECTION,0.25,5,170,5085,0,632,4035,414,4,0.00,12.43,79.35,8.14,0.08,103,0.250000000000,0.390000000000,0.450000000000,0.400000000000,0,,0,0,
ALL,NO_CONFIRMED_REJECTION,0.25,15,169,4898,0,817,4035,42,4,0.00,16.68,82.38,0.86,0.08,237,0.510000000000,0.690000000000,0.640000000000,0.700000000000,0,,0,0,
ALL,NO_CONFIRMED_REJECTION,0.25,30,169,4877,0,829,4035,9,4,0.00,17.00,82.74,0.18,0.08,368,0.740000000000,0.905000000000,0.820000000000,0.917500000000,0,,0,0,
ALL,NO_CONFIRMED_REJECTION,0.50,5,170,5044,0,1062,1838,2096,48,0.00,21.05,36.44,41.55,0.95,105,0.240000000000,0.400000000000,0.390000000000,0.410000000000,0,,0,0,
ALL,NO_CONFIRMED_REJECTION,0.50,15,169,4377,0,1779,1840,683,75,0.00,40.64,42.04,15.60,1.71,230,0.370000000000,0.780000000000,0.480000000000,0.800000000000,0,,0,0,
ALL,NO_CONFIRMED_REJECTION,0.50,30,169,4167,0,1991,1840,255,81,0.00,47.78,44.16,6.12,1.94,338,0.470000000000,1.066000000000,0.640000000000,1.080000000000,0,,0,0,
ALL,NO_CONFIRMED_REJECTION,1.00,5,170,5783,0,543,400,4747,93,0.00,9.39,6.92,82.09,1.61,116,0.290000000000,0.350000000000,0.440000000000,0.360000000000,0,,0,0,
ALL,NO_CONFIRMED_REJECTION,1.00,15,170,4806,0,1570,400,2630,206,0.00,32.67,8.32,54.72,4.29,262,0.410000000000,0.720100000000,0.510000000000,0.740000000000,0,,0,0,
ALL,NO_CONFIRMED_REJECTION,1.00,30,170,4216,0,2101,400,1461,254,0.00,49.83,9.49,34.65,6.02,382,0.480000000000,1.130000000000,0.570000000000,1.140000000000,0,,0,0,
PDH,IMMEDIATE_SINGLE_TOUCH,0.25,5,16,17,17,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.830000000000,0,0.830000000000,0.180000000000,7,41.18,7,0,120
PDH,IMMEDIATE_SINGLE_TOUCH,0.25,15,16,17,17,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,1.230000000000,0.290000000000,1.230000000000,0.290000000000,9,52.94,7,2,180
PDH,IMMEDIATE_SINGLE_TOUCH,0.25,30,16,17,17,0,0,0,0,100.00,0.00,0.00,0.00,0.00,2,1.590000000000,0.290000000000,1.590000000000,0.290000000000,9,52.94,7,2,180
PDH,IMMEDIATE_SINGLE_TOUCH,0.50,5,6,6,6,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.175000000000,0,1.175000000000,0.200000000000,2,33.33,2,0,120
PDH,IMMEDIATE_SINGLE_TOUCH,0.50,15,6,6,6,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.490000000000,0,1.490000000000,0.200000000000,2,33.33,2,0,120
PDH,IMMEDIATE_SINGLE_TOUCH,0.50,30,6,6,6,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.095000000000,0,2.095000000000,0.200000000000,2,33.33,2,0,120
PDH,IMMEDIATE_SINGLE_TOUCH,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,IMMEDIATE_SINGLE_TOUCH,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,IMMEDIATE_SINGLE_TOUCH,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,SINGLE_TOUCH_LATER,0.25,5,18,22,22,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,0.452450000000,0.052500000000,0.452450000000,0.085450000000,4,18.18,4,0,120
PDH,SINGLE_TOUCH_LATER,0.25,15,19,23,23,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,0.520000000000,0.210000000000,0.520000000000,0.210000000000,12,52.17,7,5,210
PDH,SINGLE_TOUCH_LATER,0.25,30,20,24,24,0,0,0,0,100.00,0.00,0.00,0.00,0.00,2,0.615000000000,0.360000000000,0.615000000000,0.360000000000,15,62.50,8,7,240
PDH,SINGLE_TOUCH_LATER,0.50,5,28,39,39,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.740000000000,0.115000000000,0.740000000000,0.150000000000,6,15.38,6,0,90
PDH,SINGLE_TOUCH_LATER,0.50,15,34,50,50,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,0.960000000000,0.212500000000,0.960000000000,0.222500000000,16,32.00,12,4,180
PDH,SINGLE_TOUCH_LATER,0.50,30,38,57,57,0,0,0,0,100.00,0.00,0.00,0.00,0.00,2,1.240000000000,0.330000000000,1.240000000000,0.330000000000,25,43.86,13,12,300
PDH,SINGLE_TOUCH_LATER,1.00,5,13,14,14,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.270000000000,0.102500000000,1.270000000000,0.222500000000,2,14.29,2,0,90
PDH,SINGLE_TOUCH_LATER,1.00,15,32,35,35,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.355000000000,0.290000000000,1.355000000000,0.290000000000,10,28.57,6,4,270
PDH,SINGLE_TOUCH_LATER,1.00,30,37,48,48,0,0,0,0,100.00,0.00,0.00,0.00,0.00,2,1.545050000000,0.235000000000,1.545050000000,0.290000000000,11,22.92,6,5,300
PDH,ONE_RETEST,0.25,5,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.250000000000,0.119900000000,0.250000000000,0.119900000000,1,100.00,1,0,60
PDH,ONE_RETEST,0.25,15,8,8,8,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.360000000000,0.159950000000,0.360000000000,0.159950000000,3,37.50,2,1,180
PDH,ONE_RETEST,0.25,30,8,8,8,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,0.622450000000,0.159950000000,0.622450000000,0.159950000000,4,50.00,2,2,270
PDH,ONE_RETEST,0.50,5,2,2,2,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.640000000000,0.110000000000,0.640000000000,0.110000000000,0,0.00,0,0,
PDH,ONE_RETEST,0.50,15,3,3,3,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.630000000000,0.620000000000,0.630000000000,0.620000000000,2,66.67,1,1,270
PDH,ONE_RETEST,0.50,30,6,6,6,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.665000000000,0.170000000000,0.665000000000,0.170000000000,2,33.33,1,1,270
PDH,ONE_RETEST,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,ONE_RETEST,1.00,15,5,5,5,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.550000000000,0.330000000000,1.550000000000,0.380000000000,0,0.00,0,0,
PDH,ONE_RETEST,1.00,30,11,11,11,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.350000000000,0.510000000000,1.350000000000,0.510000000000,2,18.18,1,1,330
PDH,MULTIPLE_TESTS,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,MULTIPLE_TESTS,0.25,15,2,2,2,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.427500000000,0.042500000000,0.427500000000,0.042500000000,0,0.00,0,0,
PDH,MULTIPLE_TESTS,0.25,30,3,3,3,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.520000000000,0.070000000000,0.520000000000,0.070000000000,0,0.00,0,0,
PDH,MULTIPLE_TESTS,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,MULTIPLE_TESTS,0.50,15,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.555000000000,0.015000000000,0.555000000000,0.015000000000,0,0.00,0,0,
PDH,MULTIPLE_TESTS,0.50,30,4,5,5,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.635000000000,0.080000000000,0.635000000000,0.080000000000,0,0.00,0,0,
PDH,MULTIPLE_TESTS,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,MULTIPLE_TESTS,1.00,15,2,2,2,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.490000000000,0.326250000000,2.490000000000,0.326250000000,0,0.00,0,0,
PDH,MULTIPLE_TESTS,1.00,30,6,7,7,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.450000000000,0.395000000000,1.450000000000,0.395000000000,1,14.29,1,0,240
PDH,NO_CONFIRMED_REJECTION,0.25,5,81,193,0,25,142,25,1,0.00,12.95,73.58,12.95,0.52,1,0.220000000000,0.410000000000,0.405000000000,0.410000000000,0,,0,0,
PDH,NO_CONFIRMED_REJECTION,0.25,15,80,183,0,36,142,4,1,0.00,19.67,77.60,2.19,0.55,7,0.350000000000,0.630000000000,0.510000000000,0.640000000000,0,,0,0,
PDH,NO_CONFIRMED_REJECTION,0.25,30,80,181,0,37,142,1,1,0.00,20.44,78.45,0.55,0.55,9,0.540000000000,0.850000000000,0.649800000000,0.865000000000,0,,0,0,
PDH,NO_CONFIRMED_REJECTION,0.50,5,78,186,0,36,65,83,2,0.00,19.35,34.95,44.62,1.08,2,0.210000000000,0.422500000000,0.349950000000,0.422500000000,0,,0,0,
PDH,NO_CONFIRMED_REJECTION,0.50,15,77,173,0,68,65,36,4,0.00,39.31,37.57,20.81,2.31,8,0.300000000000,0.700000000000,0.410000000000,0.740000000000,0,,0,0,
PDH,NO_CONFIRMED_REJECTION,0.50,30,77,159,0,76,65,14,4,0.00,47.80,40.88,8.81,2.52,12,0.370000000000,1.090000000000,0.470000000000,1.130000000000,0,,0,0,
