family,month,validated_sessions,partial_month,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
1H_LOW,2026-02,19,False,1.00,30,19,704,240,269,48,126,21,34.09,38.21,6.82,17.90,2.98,48,0.860000000000,0.915000000000,0.935000000000,0.915000000000,73,30.42,27,46,480
1H_LOW,2026-03,22,False,0.25,5,21,482,75,41,357,9,0,15.56,8.51,74.07,1.87,0.00,8,0.403750000000,0.400000000000,0.570000000000,0.401200000000,24,32.00,24,0,120
1H_LOW,2026-03,22,False,0.25,15,21,482,80,45,357,0,0,16.60,9.34,74.07,0.00,0.00,17,0.790000000000,0.713000000000,0.819500000000,0.730000000000,46,57.50,34,12,180
1H_LOW,2026-03,22,False,0.25,30,21,482,80,45,357,0,0,16.60,9.34,74.07,0.00,0.00,33,1.070000000000,0.930000000000,1.095000000000,0.945000000000,56,70.00,35,21,240
1H_LOW,2026-03,22,False,0.50,5,21,482,110,91,180,98,3,22.82,18.88,37.34,20.33,0.62,8,0.403750000000,0.400000000000,0.570000000000,0.401200000000,16,14.55,16,0,90
1H_LOW,2026-03,22,False,0.50,15,21,482,150,128,180,21,3,31.12,26.56,37.34,4.36,0.62,17,0.790000000000,0.713000000000,0.819500000000,0.730000000000,51,34.00,35,16,180
1H_LOW,2026-03,22,False,0.50,30,21,482,160,133,180,6,3,33.20,27.59,37.34,1.24,0.62,33,1.070000000000,0.930000000000,1.095000000000,0.945000000000,78,48.75,38,40,360
1H_LOW,2026-03,22,False,1.00,5,21,482,57,48,39,330,8,11.83,9.96,8.09,68.46,1.66,8,0.403750000000,0.400000000000,0.570000000000,0.401200000000,3,5.26,3,0,180
1H_LOW,2026-03,22,False,1.00,15,21,482,159,132,39,137,15,32.99,27.39,8.09,28.42,3.11,17,0.790000000000,0.713000000000,0.819500000000,0.730000000000,34,21.38,22,12,240
1H_LOW,2026-03,22,False,1.00,30,21,482,204,172,39,49,18,42.32,35.68,8.09,10.17,3.73,33,1.070000000000,0.930000000000,1.095000000000,0.945000000000,73,35.78,28,45,420
1H_LOW,2026-04,21,False,0.25,5,15,217,45,22,134,16,0,20.74,10.14,61.75,7.37,0.00,2,0.360000000000,0.280000000000,0.497500000000,0.310000000000,18,40.00,18,0,90
1H_LOW,2026-04,21,False,0.25,15,15,217,51,30,134,2,0,23.50,13.82,61.75,0.92,0.00,10,0.580000000000,0.530000000000,0.710000000000,0.539000000000,27,52.94,20,7,120
1H_LOW,2026-04,21,False,0.25,30,15,217,52,31,134,0,0,23.96,14.29,61.75,0.00,0.00,19,0.880000000000,0.815000000000,0.950000000000,0.815000000000,34,65.38,20,14,210
1H_LOW,2026-04,21,False,0.50,5,15,217,42,19,69,85,2,19.35,8.76,31.80,39.17,0.92,2,0.360000000000,0.280000000000,0.497500000000,0.310000000000,3,7.14,3,0,180
1H_LOW,2026-04,21,False,0.50,15,15,217,71,47,69,24,6,32.72,21.66,31.80,11.06,2.76,10,0.580000000000,0.530000000000,0.710000000000,0.539000000000,20,28.17,13,7,300
1H_LOW,2026-04,21,False,0.50,30,15,217,77,60,69,5,6,35.48,27.65,31.80,2.30,2.76,19,0.880000000000,0.815000000000,0.950000000000,0.815000000000,29,37.66,13,16,420
1H_LOW,2026-04,21,False,1.00,5,15,217,19,14,20,162,2,8.76,6.45,9.22,74.65,0.92,2,0.360000000000,0.280000000000,0.497500000000,0.310000000000,1,5.26,1,0,120
1H_LOW,2026-04,21,False,1.00,15,15,217,60,43,20,85,9,27.65,19.82,9.22,39.17,4.15,10,0.580000000000,0.530000000000,0.710000000000,0.539000000000,11,18.33,8,3,240
1H_LOW,2026-04,21,False,1.00,30,15,217,83,66,20,37,11,38.25,30.41,9.22,17.05,5.07,19,0.880000000000,0.815000000000,0.950000000000,0.815000000000,20,24.10,8,12,390
1H_LOW,2026-05,20,False,0.25,5,7,29,4,2,22,1,0,13.79,6.90,75.86,3.45,0.00,0,0.420000000000,0.310000000000,0.610000000000,0.375000000000,1,25.00,1,0,120
1H_LOW,2026-05,20,False,0.25,15,7,29,4,3,22,0,0,13.79,10.34,75.86,0.00,0.00,1,0.815000000000,0.530000000000,0.940000000000,0.530000000000,1,25.00,1,0,120
1H_LOW,2026-05,20,False,0.25,30,7,29,4,3,22,0,0,13.79,10.34,75.86,0.00,0.00,2,1.315000000000,0.635000000000,1.315000000000,0.635000000000,1,25.00,1,0,120
1H_LOW,2026-05,20,False,0.50,5,7,29,9,6,9,5,0,31.03,20.69,31.03,17.24,0.00,0,0.420000000000,0.310000000000,0.610000000000,0.375000000000,1,11.11,1,0,120
1H_LOW,2026-05,20,False,0.50,15,7,29,12,7,9,1,0,41.38,24.14,31.03,3.45,0.00,1,0.815000000000,0.530000000000,0.940000000000,0.530000000000,4,33.33,2,2,330
