family,history_complete,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ORH5,True,0.50,15,154,439,145,144,100,45,5,33.03,32.80,22.78,10.25,1.14,15,0.560000000000,0.550000000000,0.650000000000,0.560000000000,55,37.93,32,23,300
ORH5,True,0.50,30,154,439,156,163,100,14,6,35.54,37.13,22.78,3.19,1.37,20,0.790000000000,0.730000000000,0.840000000000,0.735000000000,89,57.05,33,56,480
ORH5,True,1.00,5,154,439,41,34,16,342,6,9.34,7.74,3.64,77.90,1.37,8,0.300000000000,0.300000000000,0.440000000000,0.310000000000,1,2.44,1,0,60
ORH5,True,1.00,15,154,439,104,95,16,213,11,23.69,21.64,3.64,48.52,2.51,15,0.560000000000,0.550000000000,0.650000000000,0.560000000000,21,20.19,8,13,420
ORH5,True,1.00,30,154,439,154,143,16,111,15,35.08,32.57,3.64,25.28,3.42,20,0.790000000000,0.730000000000,0.840000000000,0.735000000000,51,33.12,14,37,540
ORH5,False,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,False,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,False,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,False,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,False,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,False,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,False,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,False,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,False,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,True,0.25,5,145,422,94,29,268,31,0,22.27,6.87,63.51,7.35,0.00,5,0.376050000000,0.270000000000,0.485000000000,0.290000000000,27,28.72,27,0,120
ORL5,True,0.25,15,145,422,103,49,268,2,0,24.41,11.61,63.51,0.47,0.00,11,0.635000000000,0.525000000000,0.700000000000,0.545000000000,51,49.51,37,14,180
ORL5,True,0.25,30,145,422,104,49,268,1,0,24.64,11.61,63.51,0.24,0.00,18,0.795000000000,0.738800000000,0.825000000000,0.750000000000,61,58.65,37,24,240
ORL5,True,0.50,5,145,422,100,59,112,148,3,23.70,13.98,26.54,35.07,0.71,5,0.376050000000,0.270000000000,0.485000000000,0.290000000000,20,20.00,20,0,120
