family,confluence,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,1,0.25,5,167,2003,409,194,1277,123,0,20.42,9.69,63.75,6.14,0.00,38,0.349950000000,0.300000000000,0.494050000000,0.320000000000,120,29.34,120,0,120
ALL,1,0.25,15,167,2003,458,254,1277,14,0,22.87,12.68,63.75,0.70,0.00,90,0.630000000000,0.580000000000,0.710000000000,0.590000000000,234,51.09,167,67,180
ALL,1,0.25,30,167,2003,466,258,1277,2,0,23.27,12.88,63.75,0.10,0.00,146,0.840000000000,0.780000000000,0.910000000000,0.800000000000,301,64.59,172,129,240
ALL,1,0.50,5,167,2003,449,309,593,639,13,22.42,15.43,29.61,31.90,0.65,38,0.349950000000,0.300000000000,0.494050000000,0.320000000000,60,13.36,60,0,120
ALL,1,0.50,15,167,2003,652,542,594,194,21,32.55,27.06,29.66,9.69,1.05,90,0.630000000000,0.580000000000,0.710000000000,0.590000000000,250,38.34,176,74,240
ALL,1,0.50,30,167,2003,712,602,594,72,23,35.55,30.05,29.66,3.59,1.15,146,0.840000000000,0.780000000000,0.910000000000,0.800000000000,371,52.11,187,184,300
ALL,1,1.00,5,167,2003,198,179,131,1471,24,9.89,8.94,6.54,73.44,1.20,38,0.349950000000,0.300000000000,0.494050000000,0.320000000000,11,5.56,11,0,120
ALL,1,1.00,15,167,2003,538,479,131,801,54,26.86,23.91,6.54,39.99,2.70,90,0.630000000000,0.580000000000,0.710000000000,0.590000000000,95,17.66,52,43,300
ALL,1,1.00,30,167,2003,732,652,131,418,70,36.55,32.55,6.54,20.87,3.49,146,0.840000000000,0.780000000000,0.910000000000,0.800000000000,219,29.92,66,153,480
ALL,2,0.25,5,144,2019,418,204,1263,134,0,20.70,10.10,62.56,6.64,0.00,31,0.350000000000,0.313750000000,0.480000000000,0.337500000000,116,27.75,116,0,120
ALL,2,0.25,15,144,2019,476,272,1263,8,0,23.58,13.47,62.56,0.40,0.00,83,0.581750000000,0.557250000000,0.652550000000,0.560000000000,253,53.15,167,86,180
ALL,2,0.25,30,144,2019,478,275,1263,3,0,23.68,13.62,62.56,0.15,0.00,145,0.810000000000,0.770000000000,0.870000000000,0.780000000000,308,64.44,169,139,240
ALL,2,0.50,5,144,2019,393,332,592,692,10,19.47,16.44,29.32,34.27,0.50,31,0.350000000000,0.313750000000,0.480000000000,0.337500000000,44,11.20,44,0,120
ALL,2,0.50,15,144,2019,613,578,592,216,20,30.36,28.63,29.32,10.70,0.99,83,0.581750000000,0.557250000000,0.652550000000,0.560000000000,205,33.44,123,82,300
ALL,2,0.50,30,144,2019,684,648,592,71,24,33.88,32.10,29.32,3.52,1.19,145,0.810000000000,0.770000000000,0.870000000000,0.780000000000,321,46.93,140,181,420
ALL,2,1.00,5,144,2019,187,170,117,1521,24,9.26,8.42,5.79,75.33,1.19,31,0.350000000000,0.313750000000,0.480000000000,0.337500000000,13,6.95,13,0,120
ALL,2,1.00,15,144,2019,488,479,117,875,60,24.17,23.72,5.79,43.34,2.97,83,0.581750000000,0.557250000000,0.652550000000,0.560000000000,103,21.11,58,45,300
ALL,2,1.00,30,144,2019,683,649,117,487,83,33.83,32.14,5.79,24.12,4.11,145,0.810000000000,0.770000000000,0.870000000000,0.780000000000,199,29.14,70,129,480
ALL,3+,0.25,5,104,2348,458,234,1495,157,4,19.51,9.97,63.67,6.69,0.17,55,0.310000000000,0.335000000000,0.468700000000,0.350000000000,118,25.76,118,0,120
ALL,3+,0.25,15,104,2348,538,291,1495,20,4,22.91,12.39,63.67,0.85,0.17,127,0.530000000000,0.580000000000,0.640000000000,0.590000000000,273,50.74,191,82,180
ALL,3+,0.25,30,104,2348,549,296,1495,4,4,23.38,12.61,63.67,0.17,0.17,188,0.730000000000,0.769900000000,0.800000000000,0.775000000000,357,65.03,199,158,300
ALL,3+,0.50,5,104,2348,484,421,653,765,25,20.61,17.93,27.81,32.58,1.06,55,0.310000000000,0.335000000000,0.468700000000,0.350000000000,67,13.84,67,0,120
ALL,3+,0.50,15,104,2348,728,659,654,273,34,31.01,28.07,27.85,11.63,1.45,127,0.530000000000,0.580000000000,0.640000000000,0.590000000000,235,32.28,162,73,240
ALL,3+,0.50,30,104,2348,807,741,654,112,34,34.37,31.56,27.85,4.77,1.45,188,0.730000000000,0.769900000000,0.800000000000,0.775000000000,373,46.22,170,203,360
ALL,3+,1.00,5,104,2348,202,194,152,1755,45,8.60,8.26,6.47,74.74,1.92,55,0.310000000000,0.335000000000,0.468700000000,0.350000000000,6,2.97,6,0,90
ALL,3+,1.00,15,104,2348,538,612,152,954,92,22.91,26.06,6.47,40.63,3.92,127,0.530000000000,0.580000000000,0.640000000000,0.590000000000,92,17.10,56,36,300
ALL,3+,1.00,30,104,2348,739,800,152,556,101,31.47,34.07,6.47,23.68,4.30,188,0.730000000000,0.769900000000,0.800000000000,0.775000000000,175,23.68,67,108,360
PDH,1,0.25,5,19,36,9,2,23,2,0,25.00,5.56,63.89,5.56,0.00,0,0.405000000000,0.337500000000,0.620100000000,0.360800000000,2,22.22,2,0,210
PDH,1,0.25,15,19,36,10,3,23,0,0,27.78,8.33,63.89,0.00,0.00,0,0.749500000000,0.530000000000,0.840000000000,0.530000000000,5,50.00,2,3,540
PDH,1,0.25,30,19,36,10,3,23,0,0,27.78,8.33,63.89,0.00,0.00,2,1.027500000000,0.592500000000,1.027500000000,0.592500000000,5,50.00,2,3,540
PDH,1,0.50,5,19,36,12,2,14,8,0,33.33,5.56,38.89,22.22,0.00,0,0.405000000000,0.337500000000,0.620100000000,0.360800000000,3,25.00,3,0,120
PDH,1,0.50,15,19,36,13,6,14,3,0,36.11,16.67,38.89,8.33,0.00,0,0.749500000000,0.530000000000,0.840000000000,0.530000000000,7,53.85,5,2,180
PDH,1,0.50,30,19,36,15,6,14,1,0,41.67,16.67,38.89,2.78,0.00,2,1.027500000000,0.592500000000,1.027500000000,0.592500000000,8,53.33,5,3,240
PDH,1,1.00,5,19,36,5,3,1,27,0,13.89,8.33,2.78,75.00,0.00,0,0.405000000000,0.337500000000,0.620100000000,0.360800000000,0,0.00,0,0,
PDH,1,1.00,15,19,36,14,7,1,14,0,38.89,19.44,2.78,38.89,0.00,0,0.749500000000,0.530000000000,0.840000000000,0.530000000000,4,28.57,4,0,210
PDH,1,1.00,30,19,36,16,10,1,9,0,44.44,27.78,2.78,25.00,0.00,2,1.027500000000,0.592500000000,1.027500000000,0.592500000000,5,31.25,5,0,240
PDH,2,0.25,5,38,109,13,17,68,11,0,11.93,15.60,62.39,10.09,0.00,0,0.260000000000,0.330000000000,0.455000000000,0.330000000000,5,38.46,5,0,60
PDH,2,0.25,15,38,109,16,25,68,0,0,14.68,22.94,62.39,0.00,0.00,6,0.400000000000,0.550000000000,0.510000000000,0.550000000000,9,56.25,6,3,120
PDH,2,0.25,30,38,109,16,25,68,0,0,14.68,22.94,62.39,0.00,0.00,7,0.620000000000,0.680000000000,0.650000000000,0.680000000000,10,62.50,6,4,150
PDH,2,0.50,5,38,109,22,18,27,42,0,20.18,16.51,24.77,38.53,0.00,0,0.260000000000,0.330000000000,0.455000000000,0.330000000000,4,18.18,4,0,60
PDH,2,0.50,15,38,109,31,34,27,15,2,28.44,31.19,24.77,13.76,1.83,6,0.400000000000,0.550000000000,0.510000000000,0.550000000000,10,32.26,8,2,150
PDH,2,0.50,30,38,109,38,38,27,4,2,34.86,34.86,24.77,3.67,1.83,7,0.620000000000,0.680000000000,0.650000000000,0.680000000000,16,42.11,9,7,270
PDH,2,1.00,5,38,109,7,8,9,85,0,6.42,7.34,8.26,77.98,0.00,0,0.260000000000,0.330000000000,0.455000000000,0.330000000000,2,28.57,2,0,90
PDH,2,1.00,15,38,109,16,21,9,58,5,14.68,19.27,8.26,53.21,4.59,6,0.400000000000,0.550000000000,0.510000000000,0.550000000000,4,25.00,2,2,240
PDH,2,1.00,30,38,109,30,33,9,31,6,27.52,30.28,8.26,28.44,5.50,7,0.620000000000,0.680000000000,0.650000000000,0.680000000000,5,16.67,2,3,360
PDH,3+,0.25,5,36,88,18,6,51,12,1,20.45,6.82,57.95,13.64,1.14,2,0.250000000000,0.337500000000,0.362500000000,0.337500000000,5,27.78,5,0,120
PDH,3+,0.25,15,36,88,24,8,51,4,1,27.27,9.09,57.95,4.55,1.14,3,0.358750000000,0.580000000000,0.485000000000,0.590000000000,10,41.67,8,2,180
PDH,3+,0.25,30,36,88,26,9,51,1,1,29.55,10.23,57.95,1.14,1.14,5,0.475000000000,0.777500000000,0.572450000000,0.780000000000,13,50.00,9,4,180
PDH,3+,0.50,5,36,88,13,16,24,33,2,14.77,18.18,27.27,37.50,2.27,2,0.250000000000,0.337500000000,0.362500000000,0.337500000000,1,7.69,1,0,180
PDH,3+,0.50,15,36,88,16,28,24,18,2,18.18,31.82,27.27,20.45,2.27,3,0.358750000000,0.580000000000,0.485000000000,0.590000000000,3,18.75,2,1,180
PDH,3+,0.50,30,36,88,21,32,24,9,2,23.86,36.36,27.27,10.23,2.27,5,0.475000000000,0.777500000000,0.572450000000,0.780000000000,5,23.81,2,3,360
PDH,3+,1.00,5,36,88,2,6,9,69,2,2.27,6.82,10.23,78.41,2.27,2,0.250000000000,0.337500000000,0.362500000000,0.337500000000,0,0.00,0,0,
PDH,3+,1.00,15,36,88,12,23,9,41,3,13.64,26.14,10.23,46.59,3.41,3,0.358750000000,0.580000000000,0.485000000000,0.590000000000,2,16.67,0,2,360
PDH,3+,1.00,30,36,88,20,31,9,25,3,22.73,35.23,10.23,28.41,3.41,5,0.475000000000,0.777500000000,0.572450000000,0.780000000000,4,20.00,1,3,360
PDL,1,0.25,5,21,76,12,11,49,4,0,15.79,14.47,64.47,5.26,0.00,0,0.239950000000,0.370000000000,0.453500000000,0.405000000000,4,33.33,4,0,60
PDL,1,0.25,15,21,76,14,13,49,0,0,18.42,17.11,64.47,0.00,0.00,3,0.540000000000,0.595000000000,0.625000000000,0.595000000000,10,71.43,8,2,90
PDL,1,0.25,30,21,76,14,13,49,0,0,18.42,17.11,64.47,0.00,0.00,4,0.810000000000,0.822500000000,0.865000000000,0.822500000000,11,78.57,8,3,120
PDL,1,0.50,5,21,76,14,18,21,23,0,18.42,23.68,27.63,30.26,0.00,0,0.239950000000,0.370000000000,0.453500000000,0.405000000000,1,7.14,1,0,180
PDL,1,0.50,15,21,76,21,27,21,7,0,27.63,35.53,27.63,9.21,0.00,3,0.540000000000,0.595000000000,0.625000000000,0.595000000000,5,23.81,3,2,300
PDL,1,0.50,30,21,76,24,30,21,1,0,31.58,39.47,27.63,1.32,0.00,4,0.810000000000,0.822500000000,0.865000000000,0.822500000000,9,37.50,3,6,660
PDL,1,1.00,5,21,76,8,7,4,57,0,10.53,9.21,5.26,75.00,0.00,0,0.239950000000,0.370000000000,0.453500000000,0.405000000000,2,25.00,2,0,150
PDL,1,1.00,15,21,76,18,17,4,34,3,23.68,22.37,5.26,44.74,3.95,3,0.540000000000,0.595000000000,0.625000000000,0.595000000000,4,22.22,2,2,300
PDL,1,1.00,30,21,76,25,31,4,13,3,32.89,40.79,5.26,17.11,3.95,4,0.810000000000,0.822500000000,0.865000000000,0.822500000000,6,24.00,2,4,450
PDL,2,0.25,5,18,55,16,7,31,1,0,29.09,12.73,56.36,1.82,0.00,1,0.390000000000,0.390000000000,0.530000000000,0.395000000000,4,25.00,4,0,90
PDL,2,0.25,15,18,55,16,7,31,1,0,29.09,12.73,56.36,1.82,0.00,2,0.530000000000,0.480000000000,0.735000000000,0.480000000000,10,62.50,5,5,330
PDL,2,0.25,30,18,55,17,7,31,0,0,30.91,12.73,56.36,0.00,0.00,4,0.830000000000,0.790000000000,0.970000000000,0.790000000000,12,70.59,5,7,540
PDL,2,0.50,5,18,55,12,12,17,14,0,21.82,21.82,30.91,25.45,0.00,1,0.390000000000,0.390000000000,0.530000000000,0.395000000000,1,8.33,1,0,60
PDL,2,0.50,15,18,55,18,15,17,5,0,32.73,27.27,30.91,9.09,0.00,2,0.530000000000,0.480000000000,0.735000000000,0.480000000000,7,38.89,2,5,420
PDL,2,0.50,30,18,55,19,16,17,3,0,34.55,29.09,30.91,5.45,0.00,4,0.830000000000,0.790000000000,0.970000000000,0.790000000000,11,57.89,4,7,420
PDL,2,1.00,5,18,55,7,6,4,38,0,12.73,10.91,7.27,69.09,0.00,1,0.390000000000,0.390000000000,0.530000000000,0.395000000000,0,0.00,0,0,
PDL,2,1.00,15,18,55,14,14,4,22,1,25.45,25.45,7.27,40.00,1.82,2,0.530000000000,0.480000000000,0.735000000000,0.480000000000,3,21.43,2,1,300
PDL,2,1.00,30,18,55,18,19,4,13,1,32.73,34.55,7.27,23.64,1.82,4,0.830000000000,0.790000000000,0.970000000000,0.790000000000,6,33.33,2,4,450
PDL,3+,0.25,5,27,82,23,8,51,0,0,28.05,9.76,62.20,0.00,0.00,1,0.387000000000,0.400000000000,0.505000000000,0.435000000000,4,17.39,4,0,60
PDL,3+,0.25,15,27,82,23,8,51,0,0,28.05,9.76,62.20,0.00,0.00,5,0.635050000000,0.525000000000,0.709950000000,0.557500000000,12,52.17,6,6,330
PDL,3+,0.25,30,27,82,23,8,51,0,0,28.05,9.76,62.20,0.00,0.00,6,0.810000000000,0.717500000000,0.854500000000,0.737500000000,15,65.22,6,9,420
PDL,3+,0.50,5,27,82,20,23,23,16,0,24.39,28.05,28.05,19.51,0.00,1,0.387000000000,0.400000000000,0.505000000000,0.435000000000,1,5.00,1,0,180
PDL,3+,0.50,15,27,82,31,24,23,3,1,37.80,29.27,28.05,3.66,1.22,5,0.635050000000,0.525000000000,0.709950000000,0.557500000000,6,19.35,4,2,270
PDL,3+,0.50,30,27,82,32,26,23,0,1,39.02,31.71,28.05,0.00,1.22,6,0.810000000000,0.717500000000,0.854500000000,0.737500000000,13,40.62,4,9,720
PDL,3+,1.00,5,27,82,8,8,6,60,0,9.76,9.76,7.32,73.17,0.00,1,0.387000000000,0.400000000000,0.505000000000,0.435000000000,0,0.00,0,0,
PDL,3+,1.00,15,27,82,19,20,6,33,4,23.17,24.39,7.32,40.24,4.88,5,0.635050000000,0.525000000000,0.709950000000,0.557500000000,3,15.79,2,1,180
PDL,3+,1.00,30,27,82,28,27,6,17,4,34.15,32.93,7.32,20.73,4.88,6,0.810000000000,0.717500000000,0.854500000000,0.737500000000,8,28.57,2,6,810
PMH,1,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,1,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,1,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,1,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,1,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,1,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,1,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,1,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,1,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,2,0.25,5,1,1,0,0,1,0,0,0.00,0.00,100.00,0.00,0.00,0,0.200000000000,0.690000000000,0.260000000000,0.690000000000,0,,0,0,
PMH,2,0.25,15,1,1,0,0,1,0,0,0.00,0.00,100.00,0.00,0.00,0,0.200000000000,0.780000000000,0.260000000000,0.780000000000,0,,0,0,
PMH,2,0.25,30,1,1,0,0,1,0,0,0.00,0.00,100.00,0.00,0.00,0,2.660000000000,0.780000000000,2.660000000000,0.780000000000,0,,0,0,
PMH,2,0.50,5,1,1,0,1,0,0,0,0.00,100.00,0.00,0.00,0.00,0,0.200000000000,0.690000000000,0.260000000000,0.690000000000,0,,0,0,
PMH,2,0.50,15,1,1,0,1,0,0,0,0.00,100.00,0.00,0.00,0.00,0,0.200000000000,0.780000000000,0.260000000000,0.780000000000,0,,0,0,
PMH,2,0.50,30,1,1,0,1,0,0,0,0.00,100.00,0.00,0.00,0.00,0,2.660000000000,0.780000000000,2.660000000000,0.780000000000,0,,0,0,
PMH,2,1.00,5,1,1,0,0,0,1,0,0.00,0.00,0.00,100.00,0.00,0,0.200000000000,0.690000000000,0.260000000000,0.690000000000,0,,0,0,
PMH,2,1.00,15,1,1,0,0,0,1,0,0.00,0.00,0.00,100.00,0.00,0,0.200000000000,0.780000000000,0.260000000000,0.780000000000,0,,0,0,
PMH,2,1.00,30,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.660000000000,0.780000000000,2.660000000000,0.780000000000,0,0.00,0,0,
PMH,3+,0.25,5,1,2,1,0,1,0,0,50.00,0.00,50.00,0.00,0.00,0,0.925000000000,0.370000000000,0.925000000000,0.370000000000,0,0.00,0,0,
PMH,3+,0.25,15,1,2,1,0,1,0,0,50.00,0.00,50.00,0.00,0.00,0,1.310000000000,0.390000000000,1.310000000000,0.390000000000,0,0.00,0,0,
PMH,3+,0.25,30,1,2,1,0,1,0,0,50.00,0.00,50.00,0.00,0.00,0,1.680000000000,0.390000000000,1.680000000000,0.390000000000,0,0.00,0,0,
PMH,3+,0.50,5,1,2,2,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.925000000000,0.370000000000,0.925000000000,0.370000000000,1,50.00,1,0,60
PMH,3+,0.50,15,1,2,2,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.310000000000,0.390000000000,1.310000000000,0.390000000000,1,50.00,1,0,60
PMH,3+,0.50,30,1,2,2,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.680000000000,0.390000000000,1.680000000000,0.390000000000,1,50.00,1,0,60
PMH,3+,1.00,5,1,2,1,0,0,1,0,50.00,0.00,0.00,50.00,0.00,0,0.925000000000,0.370000000000,0.925000000000,0.370000000000,0,0.00,0,0,
PMH,3+,1.00,15,1,2,2,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.310000000000,0.390000000000,1.310000000000,0.390000000000,0,0.00,0,0,
PMH,3+,1.00,30,1,2,2,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.680000000000,0.390000000000,1.680000000000,0.390000000000,0,0.00,0,0,
PML,1,0.25,5,1,2,1,0,1,0,0,50.00,0.00,50.00,0.00,0.00,0,1.315000000000,0.235000000000,1.555000000000,0.270000000000,0,0.00,0,0,
PML,1,0.25,15,1,2,1,0,1,0,0,50.00,0.00,50.00,0.00,0.00,0,1.795000000000,0.435000000000,1.795000000000,0.435000000000,0,0.00,0,0,
PML,1,0.25,30,1,2,1,0,1,0,0,50.00,0.00,50.00,0.00,0.00,0,1.795000000000,2.287500000000,1.795000000000,2.287500000000,1,100.00,0,1,1620
PML,1,0.50,5,1,2,0,0,2,0,0,0.00,0.00,100.00,0.00,0.00,0,1.315000000000,0.235000000000,1.555000000000,0.270000000000,0,,0,0,
