event_id,session_date,direction,entry_style,entry_timestamp,entry_price,ORH5,ORL5,next_level_type,next_level_price,distance_to_next_level,time_bucket,weekday,reclaim_timestamp,5m_mfe,5m_mae,5m_directional_return,5m_complete,15m_mfe,15m_mae,15m_directional_return,15m_complete,30m_mfe,30m_mae,30m_directional_return,30m_complete,60m_mfe,60m_mae,60m_directional_return,60m_complete,EOD_mfe,EOD_mae,EOD_directional_return,EOD_complete,PRE_RECLAIM_mfe,PRE_RECLAIM_mae,PRE_RECLAIM_directional_return,PRE_RECLAIM_complete,plus0.25_minus0.25,plus0.25_minus0.25_favorable_time,plus0.25_minus0.25_adverse_time,plus0.50_minus0.25,plus0.50_minus0.25_favorable_time,plus0.50_minus0.25_adverse_time,plus0.75_minus0.25,plus0.75_minus0.25_favorable_time,plus0.75_minus0.25_adverse_time,plus1.00_minus0.25,plus1.00_minus0.25_favorable_time,plus1.00_minus0.25_adverse_time,plus0.50_minus0.30,plus0.50_minus0.30_favorable_time,plus0.50_minus0.30_adverse_time,plus0.75_minus0.30,plus0.75_minus0.30_favorable_time,plus0.75_minus0.30_adverse_time,plus1.00_minus0.30,plus1.00_minus0.30_favorable_time,plus1.00_minus0.30_adverse_time,plus1.50_minus0.30,plus1.50_minus0.30_favorable_time,plus1.50_minus0.30_adverse_time,plus2.00_minus0.30,plus2.00_minus0.30_favorable_time,plus2.00_minus0.30_adverse_time
SPY:2026-01-05:LONG:2026-01-05T20:59:00+00:00:v1,2026-01-05,LONG,FIRST_HOLD,2026-01-05T21:00:00+00:00,687.730000000000,687.640000000000,686.375000000000,,,,15:00-close,Monday,,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,NO_FUTURE_DATA,,,NO_FUTURE_DATA,,,NO_FUTURE_DATA,,,NO_FUTURE_DATA,,,NO_FUTURE_DATA,,,NO_FUTURE_DATA,,,NO_FUTURE_DATA,,,NO_FUTURE_DATA,,,NO_FUTURE_DATA,,
SPY:2026-01-06:LONG:2026-01-06T14:45:00+00:00:v1,2026-01-06,LONG,FIRST_HOLD,2026-01-06T14:50:00+00:00,689.235000000000,688.660000000000,687.860000000000,PDH,689.430000000000,0.195000000000,09:35-10:00,Tuesday,2026-01-06T16:05:00+00:00,0.645000000000,0.015000000000,0.485100000000,True,1.145000000000,0.015000000000,0.890000000000,True,1.455000000000,0.015000000000,1.275000000000,True,1.625000000000,0.015000000000,0.610000000000,True,3.080000000000,0.935000000000,2.565000000000,True,1.625000000000,0.655000000000,-0.592300000000,True,FAVORABLE_FIRST,2026-01-06 14:51:00+00:00,2026-01-06 15:55:00+00:00,FAVORABLE_FIRST,2026-01-06 14:51:00+00:00,2026-01-06 15:55:00+00:00,FAVORABLE_FIRST,2026-01-06 14:57:00+00:00,2026-01-06 15:55:00+00:00,FAVORABLE_FIRST,2026-01-06 15:00:00+00:00,2026-01-06 15:55:00+00:00,FAVORABLE_FIRST,2026-01-06 14:51:00+00:00,2026-01-06 15:55:00+00:00,FAVORABLE_FIRST,2026-01-06 14:57:00+00:00,2026-01-06 15:55:00+00:00,FAVORABLE_FIRST,2026-01-06 15:00:00+00:00,2026-01-06 15:55:00+00:00,FAVORABLE_FIRST,2026-01-06 15:25:00+00:00,2026-01-06 15:55:00+00:00,ADVERSE_FIRST,2026-01-06 18:43:00+00:00,2026-01-06 15:55:00+00:00
SPY:2026-01-06:LONG:2026-01-06T14:45:00+00:00:v1,2026-01-06,LONG,STRONG_HOLD,2026-01-06T14:55:00+00:00,689.720100000000,688.660000000000,687.860000000000,,,,09:35-10:00,Tuesday,2026-01-06T16:05:00+00:00,0.439900000000,0.050100000000,0.354900000000,True,0.879900000000,0.050100000000,0.469900000000,True,0.969900000000,0.050100000000,0.809900000000,True,1.139900000000,0.720100000000,-0.480100000000,True,2.594900000000,1.420100000000,2.079900000000,True,1.139900000000,1.140100000000,-1.077400000000,True,FAVORABLE_FIRST,2026-01-06 14:57:00+00:00,2026-01-06 15:52:00+00:00,FAVORABLE_FIRST,2026-01-06 15:00:00+00:00,2026-01-06 15:52:00+00:00,FAVORABLE_FIRST,2026-01-06 15:06:00+00:00,2026-01-06 15:52:00+00:00,FAVORABLE_FIRST,2026-01-06 15:25:00+00:00,2026-01-06 15:52:00+00:00,FAVORABLE_FIRST,2026-01-06 15:00:00+00:00,2026-01-06 15:52:00+00:00,FAVORABLE_FIRST,2026-01-06 15:06:00+00:00,2026-01-06 15:52:00+00:00,FAVORABLE_FIRST,2026-01-06 15:25:00+00:00,2026-01-06 15:52:00+00:00,ADVERSE_FIRST,2026-01-06 18:43:00+00:00,2026-01-06 15:52:00+00:00,ADVERSE_FIRST,2026-01-06 18:59:00+00:00,2026-01-06 15:52:00+00:00
SPY:2026-01-06:LONG:2026-01-06T16:05:00+00:00:v1,2026-01-06,LONG,FIRST_HOLD,2026-01-06T16:10:00+00:00,688.855000000000,688.660000000000,687.860000000000,PMH,689.070000000000,0.215000000000,11:00-12:00,Tuesday,,0.264800000000,0.065000000000,0.010000000000,True,0.645000000000,0.125000000000,0.535000000000,True,0.645000000000,0.125000000000,0.325000000000,True,1.015000000000,0.235000000000,0.965000000000,True,3.460000000000,0.235000000000,2.945000000000,True,3.460000000000,0.235000000000,2.945000000000,True,FAVORABLE_FIRST,2026-01-06 16:12:00+00:00,,FAVORABLE_FIRST,2026-01-06 16:24:00+00:00,,FAVORABLE_FIRST,2026-01-06 17:05:00+00:00,,FAVORABLE_FIRST,2026-01-06 17:08:00+00:00,,FAVORABLE_FIRST,2026-01-06 16:24:00+00:00,,FAVORABLE_FIRST,2026-01-06 17:05:00+00:00,,FAVORABLE_FIRST,2026-01-06 17:08:00+00:00,,FAVORABLE_FIRST,2026-01-06 17:22:00+00:00,,FAVORABLE_FIRST,2026-01-06 17:38:00+00:00,
SPY:2026-01-06:LONG:2026-01-06T16:05:00+00:00:v1,2026-01-06,LONG,STRONG_HOLD,2026-01-06T16:15:00+00:00,688.865000000000,688.660000000000,687.860000000000,PMH,689.070000000000,0.205000000000,11:00-12:00,Tuesday,,0.244900000000,0.135000000000,0.174900000000,True,0.635000000000,0.135000000000,0.180000000000,True,0.635000000000,0.245000000000,-0.115000000000,True,1.115000000000,0.245000000000,0.989200000000,True,3.450000000000,0.245000000000,2.935000000000,True,3.450000000000,0.245000000000,2.935000000000,True,FAVORABLE_FIRST,2026-01-06 16:22:00+00:00,,FAVORABLE_FIRST,2026-01-06 16:24:00+00:00,,FAVORABLE_FIRST,2026-01-06 17:05:00+00:00,,FAVORABLE_FIRST,2026-01-06 17:08:00+00:00,,FAVORABLE_FIRST,2026-01-06 16:24:00+00:00,,FAVORABLE_FIRST,2026-01-06 17:05:00+00:00,,FAVORABLE_FIRST,2026-01-06 17:08:00+00:00,,FAVORABLE_FIRST,2026-01-06 17:22:00+00:00,,FAVORABLE_FIRST,2026-01-06 17:38:00+00:00,
SPY:2026-01-07:LONG:2026-01-07T14:40:00+00:00:v1,2026-01-07,LONG,FIRST_HOLD,2026-01-07T14:45:00+00:00,692.741300000000,692.430000000000,691.710000000000,,,,09:35-10:00,Wednesday,2026-01-07T15:05:00+00:00,0.348700000000,0.111300000000,-0.051300000000,True,0.348700000000,0.361300000000,-0.174800000000,True,0.348700000000,1.211300000000,-1.121300000000,True,0.348700000000,1.781300000000,-1.011300000000,True,1.218700000000,3.421300000000,-3.151300000000,True,0.348700000000,1.146300000000,-0.836300000000,True,FAVORABLE_FIRST,2026-01-07 14:46:00+00:00,2026-01-07 14:51:00+00:00,ADVERSE_FIRST,2026-01-07 16:44:00+00:00,2026-01-07 14:51:00+00:00,ADVERSE_FIRST,2026-01-07 16:57:00+00:00,2026-01-07 14:51:00+00:00,ADVERSE_FIRST,2026-01-07 17:05:00+00:00,2026-01-07 14:51:00+00:00,ADVERSE_FIRST,2026-01-07 16:44:00+00:00,2026-01-07 14:51:00+00:00,ADVERSE_FIRST,2026-01-07 16:57:00+00:00,2026-01-07 14:51:00+00:00,ADVERSE_FIRST,2026-01-07 17:05:00+00:00,2026-01-07 14:51:00+00:00,ADVERSE_FIRST,,2026-01-07 14:51:00+00:00,ADVERSE_FIRST,,2026-01-07 14:51:00+00:00
SPY:2026-01-07:LONG:2026-01-07T14:40:00+00:00:v1,2026-01-07,LONG,STRONG_HOLD,2026-01-07T14:50:00+00:00,692.690000000000,692.430000000000,691.710000000000,,,,09:35-10:00,Wednesday,2026-01-07T15:05:00+00:00,0.095000000000,0.310000000000,-0.130000000000,True,0.145000000000,1.095000000000,-0.785000000000,True,0.145000000000,1.570000000000,-1.440000000000,True,0.145000000000,1.730000000000,-0.300000000000,True,1.270000000000,3.370000000000,-3.100000000000,True,0.145000000000,1.095000000000,-0.785000000000,True,ADVERSE_FIRST,2026-01-07 16:43:00+00:00,2026-01-07 14:51:00+00:00,ADVERSE_FIRST,2026-01-07 16:43:00+00:00,2026-01-07 14:51:00+00:00,ADVERSE_FIRST,2026-01-07 16:55:00+00:00,2026-01-07 14:51:00+00:00,ADVERSE_FIRST,2026-01-07 17:04:00+00:00,2026-01-07 14:51:00+00:00,ADVERSE_FIRST,2026-01-07 16:43:00+00:00,2026-01-07 14:51:00+00:00,ADVERSE_FIRST,2026-01-07 16:55:00+00:00,2026-01-07 14:51:00+00:00,ADVERSE_FIRST,2026-01-07 17:04:00+00:00,2026-01-07 14:51:00+00:00,ADVERSE_FIRST,,2026-01-07 14:51:00+00:00,ADVERSE_FIRST,,2026-01-07 14:51:00+00:00
SPY:2026-01-07:SHORT:2026-01-07T15:11:00+00:00:v1,2026-01-07,SHORT,FIRST_HOLD,2026-01-07T15:15:00+00:00,691.620000000000,692.430000000000,691.710000000000,PML,690.000000000000,1.620000000000,10:00-10:30,Wednesday,2026-01-07T15:35:00+00:00,0.500000000000,0,0.370000000000,True,0.520000000000,0.319500000000,-0.052000000000,True,0.660000000000,0.900000000000,-0.110000000000,True,0.660000000000,1.205000000000,-0.965000000000,True,2.300000000000,2.340000000000,2.030000000000,True,0.520000000000,0.540000000000,-0.501000000000,True,FAVORABLE_FIRST,2026-01-07 15:16:00+00:00,2026-01-07 15:28:00+00:00,FAVORABLE_FIRST,2026-01-07 15:17:00+00:00,2026-01-07 15:28:00+00:00,ADVERSE_FIRST,2026-01-07 20:13:00+00:00,2026-01-07 15:28:00+00:00,ADVERSE_FIRST,2026-01-07 20:15:00+00:00,2026-01-07 15:28:00+00:00,FAVORABLE_FIRST,2026-01-07 15:17:00+00:00,2026-01-07 15:28:00+00:00,ADVERSE_FIRST,2026-01-07 20:13:00+00:00,2026-01-07 15:28:00+00:00,ADVERSE_FIRST,2026-01-07 20:15:00+00:00,2026-01-07 15:28:00+00:00,ADVERSE_FIRST,2026-01-07 20:28:00+00:00,2026-01-07 15:28:00+00:00,ADVERSE_FIRST,2026-01-07 20:35:00+00:00,2026-01-07 15:28:00+00:00
SPY:2026-01-07:SHORT:2026-01-07T15:11:00+00:00:v1,2026-01-07,SHORT,STRONG_HOLD,2026-01-07T15:20:00+00:00,691.250000000000,692.430000000000,691.710000000000,PML,690.000000000000,1.250000000000,10:00-10:30,Wednesday,2026-01-07T15:35:00+00:00,0,0.430000000000,-0.320000000000,True,0,0.910000000000,-0.871000000000,True,0.290000000000,1.270000000000,-1.140000000000,True,0.290000000000,1.575000000000,-1.370000000000,True,1.930000000000,2.710000000000,1.660000000000,True,0,0.910000000000,-0.871000000000,True,ADVERSE_FIRST,2026-01-07 15:39:00+00:00,2026-01-07 15:21:00+00:00,ADVERSE_FIRST,2026-01-07 20:14:00+00:00,2026-01-07 15:21:00+00:00,ADVERSE_FIRST,2026-01-07 20:15:00+00:00,2026-01-07 15:21:00+00:00,ADVERSE_FIRST,2026-01-07 20:27:00+00:00,2026-01-07 15:21:00+00:00,ADVERSE_FIRST,2026-01-07 20:14:00+00:00,2026-01-07 15:21:00+00:00,ADVERSE_FIRST,2026-01-07 20:15:00+00:00,2026-01-07 15:21:00+00:00,ADVERSE_FIRST,2026-01-07 20:27:00+00:00,2026-01-07 15:21:00+00:00,ADVERSE_FIRST,2026-01-07 20:34:00+00:00,2026-01-07 15:21:00+00:00,ADVERSE_FIRST,,2026-01-07 15:21:00+00:00
SPY:2026-01-07:LONG:2026-01-07T15:55:00+00:00:v1,2026-01-07,LONG,FIRST_HOLD,2026-01-07T16:00:00+00:00,692.505000000000,692.430000000000,691.710000000000,,,,11:00-12:00,Wednesday,2026-01-07T16:25:00+00:00,0.320000000000,0,0.215000000000,True,0.320000000000,0.085000000000,0.080000000000,True,0.320000000000,0.585000000000,-0.255000000000,True,1.055000000000,0.585000000000,1.000000000000,True,1.455000000000,3.185000000000,-2.915000000000,True,0.320000000000,0.195000000000,-0.110000000000,True,FAVORABLE_FIRST,2026-01-07 16:03:00+00:00,2026-01-07 16:25:00+00:00,ADVERSE_FIRST,2026-01-07 16:43:00+00:00,2026-01-07 16:25:00+00:00,ADVERSE_FIRST,2026-01-07 16:45:00+00:00,2026-01-07 16:25:00+00:00,ADVERSE_FIRST,2026-01-07 16:57:00+00:00,2026-01-07 16:25:00+00:00,ADVERSE_FIRST,2026-01-07 16:43:00+00:00,2026-01-07 16:25:00+00:00,ADVERSE_FIRST,2026-01-07 16:45:00+00:00,2026-01-07 16:25:00+00:00,ADVERSE_FIRST,2026-01-07 16:57:00+00:00,2026-01-07 16:25:00+00:00,ADVERSE_FIRST,,2026-01-07 16:25:00+00:00,ADVERSE_FIRST,,2026-01-07 16:25:00+00:00
